Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
WPPGF,WPP plc,"WPP plc, a creative transformation company, provides communications, experience, commerce, and technology services in North America, the United Kingdom, Western Continental Europe, the Asia Pacific, Latin America, Africa, the Middle East, and Cent...",USD,4.76,4.76,2025-12-30,3.62,2025-11-14,-5.1,13.84,2022-02-15,3.62,2025-11-14,73.8,2920,0.036,2025-12-30,46.0,2025-12-30,46.0,3.62,2025-11-14,2025-12-30,True
WPP,WPP plc,"WPP plc, a creative transformation company, provides communications, experience, commerce, and technology services in North America, the United Kingdom, Western Continental Europe, the Asia Pacific, Latin America, Africa, the Middle East, and Cent...",USD,22.91,22.91,2025-12-30,17.62,2025-11-06,-5.7,67.72,2022-02-09,17.62,2025-11-06,74.0,663893,0.0358,2025-12-30,54.0,2025-12-30,54.0,17.62,2025-11-06,2025-12-30,True
COLD,AMERICOLD REALTY TRUST,Americold is a global leader in temperature-controlled logistics real estate and value-added services.,USD,13.36,13.36,2025-12-30,10.12,2025-11-20,8.5,34.62,2021-07-20,10.12,2025-11-20,70.8,6902716,0.0276,2025-12-30,40.0,2025-12-30,40.0,10.12,2025-11-20,2025-12-30,True
CNXC,Concentrix Corp,"Concentrix Corporation designs, builds, and runs integrated customer experience (CX) solutions worldwide.",USD,41.73,41.73,2025-12-30,32.5,2025-11-18,-12.8,192.99,2022-02-09,32.5,2025-11-18,83.2,1095906,0.0236,2025-12-29,41.0,2025-12-29,41.0,32.5,2025-11-18,2025-12-29,True
DLMAF,Dollarama Inc./ADR,Dollarama Inc. operates a chain of stores and provides related logistical and administrative support activities.,USD,150.43,150.43,2025-12-30,92.05,2025-01-17,15.6,160.86,2025-12-26,,,,8066,0.0163,,,2025-04-14,87.0,116.91,2025-05-14,2025-12-26,True
KRUS,"KURA SUSHI USA, INC.","Kura Sushi USA, Inc. operates technology-enabled Japanese restaurants in the United States.",USD,51.44,51.44,2025-12-30,41.46,2025-04-08,-11.8,119.98,2024-03-27,41.46,2025-04-08,65.4,320680,0.0393,2025-04-09,1.0,2025-04-09,1.0,42.67,2025-11-20,2025-12-26,True
FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,"Fairfax Financial Holdings Limited, through its subsidiaries, provides property and casualty insurance and reinsurance, and investment management services in the United States, Canada, the Middle East, Asia, and internationally.",USD,1916.53,1916.53,2025-12-30,1325.53,2025-01-13,10.0,1916.53,2025-12-30,,,,9663,0.0138,,,2025-06-13,151.0,1457.89,2025-04-14,2025-12-26,True
CRERF,CARREFOUR SA,"Carrefour SA operates as a food retailer in France, Spain, Italy, Belgium, Poland, Romania, Brazil, Argentina, the Middle East, Africa, and Asia.",USD,16.68,16.68,2025-12-30,11.61,2025-02-20,10.4,18.42,2022-04-19,11.61,2025-02-20,36.9,890,0.0244,2025-05-22,91.0,2025-05-22,91.0,13.6,2025-04-15,2025-12-26,True
DVAX,DYNAVAX TECHNOLOGIES CORP,"Dynavax Technologies Corporation, a commercial stage biopharmaceutical company, focuses on developing and commercializing vaccines in the United States and internationally.",USD,15.37,15.37,2025-12-30,9.36,2025-09-15,49.5,20.94,2021-11-03,7.45,2022-05-11,64.4,3064250,0.044,2022-05-16,5.0,2025-12-24,100.0,9.36,2025-09-15,2025-12-24,True
FFA,FIRST TRUST ENHANCED EQUITY INCOME FUND,First Trust Enhanced Equity Income Fund is a closed-ended equity mutual fund launched and managed by First Trust Advisors L.,USD,21.92,21.92,2025-12-30,15.7,2025-04-07,2.8,21.92,2025-12-30,,,,20730,0.0075,,,2025-08-13,128.0,16.64,2025-04-21,2025-12-24,True
PSNY,Polestar Automotive Holding UK PLC,"Polestar Automotive Holding UK PLC engages in the research and development, marketing, commercialization, and sale of battery electric vehicles and related technology solutions.",USD,19.52,19.52,2025-12-30,12.01,2025-12-11,-29.9,459.9,2021-11-16,12.01,2025-12-11,97.4,322247,0.0739,2025-12-24,13.0,2025-12-24,13.0,12.01,2025-12-11,2025-12-24,True
TJX,TJX COMPANIES INC /DE/,"The TJX Companies, Inc. , together with its subsidiaries, operates as an off-price apparel and home fashions retailer worldwide.",USD,155.35,155.35,2025-12-30,111.77,2025-03-13,8.0,157.29,2025-12-24,,,,5629510,0.0099,,,2025-11-10,242.0,120.62,2025-07-16,2025-12-24,True
ZKH,ZKH Group Ltd,"ZKH Group Limited develops and operates a maintenance, repair, and operating (MRO) products trading and service platform that offers spare parts, chemicals, manufacturing parts, general consumables, and office supplies in the People's Republic of ...",USD,3.68,3.68,2025-12-30,2.67,2025-04-22,28.7,20.52,2024-02-15,2.62,2024-08-06,87.2,231870,0.0283,2024-08-19,13.0,2025-12-24,246.0,2.67,2025-04-22,2025-12-24,True
MFC,MANULIFE FINANCIAL CORP,"Manulife Financial Corporation, together with its subsidiaries, provides financial products and services in the United States, Canada, Asia, and internationally.",USD,36.53,36.53,2025-12-30,26.66,2025-04-08,16.2,36.75,2025-12-23,36.53,2025-12-30,0.6,2330646,0.0095,,,2025-11-24,230.0,28.12,2025-04-21,2025-12-23,True
