Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D,Net Income LTM,Market Cap (USD),Cash Flow Yield,Net Debt (USD),EV at Low Date (USD),P/E at Low Date,Debt Years
KMT,KENNAMETAL INC,"Kennametal Inc. engages in development and application of tungsten carbides, ceramics, and hard materials and solutions worldwide.",USD,28.65,28.65,2025-12-30,17.08,2025-04-08,37.1,36.67,2021-03-15,17.08,2025-04-08,53.4,752943,0.0246,2025-06-25,78.0,2025-06-25,78.0,18.09,2025-04-21,2025-07-01,True,465530000,2283195392,0.0814,538091992,1875228792,12.3,4.51
THR,"Thermon Group Holdings, Inc.","Thermon Group Holdings, Inc. provides engineered industrial process heating solutions for process industries in the United States and Latin America, Canada, Europe, the Middle East, Africa, and the Asia-Pacific.",USD,37.34,37.34,2025-12-30,23.6,2025-04-08,36.9,40.91,2025-12-11,37.34,2025-12-30,8.7,346943,0.0254,,,2025-11-06,212.0,24.08,2025-04-21,2025-11-06,True,158861000,1243906176,0.0369,121871008,1356518972,20.91,2.43
TBLA,Taboola.com Ltd.,Taboola. com Ltd.,USD,4.54,4.54,2025-12-30,2.54,2025-04-08,34.7,10.5,2021-07-01,1.6,2022-11-08,84.8,1804616,0.0266,2022-11-28,20.0,2025-05-08,30.0,2.75,2025-04-14,2025-05-28,True,-122723000,1271440384,0.2826,53161000,527911234,,0.32
LCII,LCI INDUSTRIES,"LCI Industries, together with its subsidiaries, manufactures and supplies engineered components for the manufacturers of recreational vehicles (RVs) and adjacent industries in the United States and internationally.",USD,122.89,122.89,2025-12-30,72.56,2025-04-08,34.1,137.41,2021-12-06,72.56,2025-04-08,47.2,260320,0.0206,2025-07-02,85.0,2025-07-02,85.0,73.01,2025-04-16,2025-07-02,True,889775000,3138543872,0.0701,999816032,2819834349,19.24,3.23
FLS,FLOWSERVE CORP,"Flowserve Corporation designs, manufactures, distributes, and services industrial flow management equipment in the United States, Canada, Mexico, Europe, the Middle East, Africa, and the Asia Pacific.",USD,70.16,70.16,2025-12-30,39.06,2025-04-08,33.4,73.26,2025-12-11,69.0,2025-12-17,5.8,1285113,0.0378,,,2025-05-13,35.0,40.04,2025-04-21,2025-06-27,True,784140000,9331312640,0.0636,837304000,9887434747,19.99,1.33
CAH,CARDINAL HEALTH INC,"Cardinal Health, Inc. operates as a healthcare services and products company in the United States and internationally.",USD,207.21,207.21,2025-12-30,116.25,2024-12-30,31.2,213.73,2025-11-25,197.89,2025-12-16,7.4,2190853,0.0206,,,2025-05-07,128.0,130.35,2025-04-21,2025-10-30,True,1805000000,48615510016,0.0865,4438999552,51456682268,29.48,1.0
EXPE,"Expedia Group, Inc.","Expedia Group, Inc. operates as an online travel company in the United States and internationally.",USD,285.0,285.0,2025-12-30,135.82,2025-04-08,31.0,289.29,2025-12-22,285.0,2025-12-30,1.5,1990160,0.0308,,,2025-07-07,90.0,145.8,2025-04-21,2025-07-23,True,2395000000,36784353280,0.0843,320000000,35578941155,25.4,0.11
YETI,"YETI Holdings, Inc.","YETI Holdings, Inc. designs, retails, and distributes outdoor products under the YETI brand name.",USD,44.31,44.31,2025-12-30,26.94,2025-04-16,30.9,107.73,2021-11-05,26.94,2025-04-16,75.0,1944206,0.0233,2025-07-17,92.0,2025-07-17,92.0,26.94,2025-04-16,2025-07-17,True,647869000,3935719936,0.0687,58046992,2246227630,17.36,0.32
LFST,"LifeStance Health Group, Inc.","LifeStance Health Group, Inc. , through its subsidiaries, provides outpatient mental health services to children, adolescents, adults, and geriatrics in the United States.",USD,7.13,7.13,2025-12-30,3.79,2025-08-01,30.8,28.95,2021-07-07,3.79,2025-08-01,86.9,2216736,0.0378,2025-08-13,12.0,2025-08-13,12.0,3.79,2025-08-01,2025-08-13,True,-766466000,2886382080,0.0688,269738976,1744050026,,2.26
CMRE,Costamare Inc.,Costamare Inc. owns and operates containerships and dry bulk vessels worldwide.,USD,15.8,15.8,2025-12-30,6.97,2025-05-07,30.4,16.51,2024-06-25,6.97,2025-05-07,57.8,471810,0.018,2025-06-06,30.0,2025-06-06,30.0,6.97,2025-05-07,2025-06-06,True,1695744000,1950622720,0.1208,1023813952,1872827103,3.93,5.12
COKE,"Coca-Cola Consolidated, Inc.","Coca-Cola Consolidated, Inc. , together with its subsidiaries, manufactures, markets, and distributes nonalcoholic beverages primarily products of The Coca-Cola Company in the United States.",USD,154.66,154.66,2025-12-30,105.28,2025-06-17,30.3,168.08,2025-12-05,154.62,2025-12-29,8.0,540440,0.0162,,,2025-11-07,143.0,105.28,2025-06-17,2025-11-07,True,1661238000,9905830912,0.0567,234886016,10534738660,16.82,0.39
LNTH,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc. develops, manufactures, and commercializes diagnostic and therapeutic products that assist clinicians in diagnosis and treatment of heart, cancer, and other diseases worldwide.",USD,67.16,67.16,2025-12-30,50.11,2025-09-22,30.1,123.62,2024-07-11,50.11,2025-09-22,59.5,1090906,0.0233,2025-12-12,81.0,2025-12-12,81.0,50.11,2025-09-22,2025-12-12,True,595891000,4728993280,0.1298,237430976,3644617824,12.57,0.58
