Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
AFJK,"Aimei Health Technology Co., Ltd.","Aimei Health Technology Co. , Ltd does not have significant operations.",USD,82.58,82.58,2025-12-30,8.0,2025-12-05,628.2,88.5,2025-12-09,26.01,2025-12-17,70.6,383553,0.3695,2025-12-18,1.0,2025-12-09,4.0,8.0,2025-12-05,2025-12-09,True
PSKRF,Protector Forsikring/ADR,"Protector Forsikring ASA, operates as a non-life insurance company, provides direct general insurance and reinsurance to the commercial lines of business, public sector, and affinity schemes.",USD,52.75,52.75,2025-12-30,3.38,2024-12-27,520.6,52.75,2025-12-24,,,,169,0.181,,,2025-02-06,41.0,5.19,2025-04-14,2025-04-30,True
PRAX,"Praxis Precision Medicines, Inc.","Praxis Precision Medicines, Inc.",USD,297.02,297.02,2025-12-30,28.47,2025-04-10,460.2,903.0,2021-01-07,12.06,2023-03-30,98.7,960483,0.1442,2023-04-17,18.0,2025-04-29,19.0,29.67,2025-04-15,2025-05-02,True
TERN,"Terns Pharmaceuticals, Inc.","Terns Pharmaceuticals, Inc. , a clinical-stage biopharmaceutical company, develops small-molecule product candidates for the treatment of oncology and obesity.",USD,40.59,40.59,2025-12-30,2.0,2025-04-07,419.7,47.09,2025-12-11,39.82,2025-12-18,15.4,4420413,0.0895,,,2025-04-21,14.0,2.24,2025-04-16,2025-04-24,True
ANRO,"Alto Neuroscience, Inc.","Alto Neuroscience, Inc. operates as a clinical-stage biopharmaceutical company in the United States.",USD,17.94,17.94,2025-12-30,1.8,2025-04-04,340.8,21.8,2024-02-05,1.8,2025-04-04,91.7,408493,0.112,2025-04-15,11.0,2025-04-15,11.0,2.08,2025-04-14,2025-05-20,True
OMER,OMEROS CORP,"Omeros Corporation, a clinical-stage biopharmaceutical company, discovers, develops, and commercializes small-molecule and protein therapeutics, and orphan indications targeting immunologic diseases.",USD,16.96,16.96,2025-12-30,2.97,2025-07-01,309.7,23.53,2021-02-19,1.08,2023-10-27,95.4,2857326,0.1494,2023-11-07,11.0,2025-07-14,13.0,2.97,2025-07-01,2025-07-14,True
CAPR,"CAPRICOR THERAPEUTICS, INC.","Capricor Therapeutics, Inc. , a clinical-stage biotechnology company, engages in the development of transformative cell and exosome-based therapeutics for treating duchenne muscular dystrophy (DMD) and other diseases with unmet medical needs in th...",USD,28.96,28.96,2025-12-30,4.6,2025-11-25,270.3,30.04,2025-12-29,,,,4253893,0.2057,,,2025-12-01,6.0,4.6,2025-11-25,2025-12-01,True
HYMC,HYCROFT MINING HOLDING CORP,"Hycroft Mining Holding Corporation, together with its subsidiaries, operates as a gold and silver exploration and development company in the United States.",USD,23.48,23.48,2025-12-30,2.03,2025-01-13,258.5,82.4,2021-01-06,1.76,2023-11-14,97.9,3520976,0.0787,2023-12-27,43.0,2025-02-12,30.0,2.76,2025-05-19,2025-06-03,True
AXTI,AXT INC,"AXT, Inc. designs, develops, manufactures, and distributes compound and single element semiconductor substrates.",USD,15.8,15.8,2025-12-30,1.16,2025-04-11,221.8,16.38,2025-12-11,12.36,2025-12-17,24.5,3728743,0.0711,,,2025-05-12,31.0,1.16,2025-04-14,2025-05-12,True
PACS,"PACS Group, Inc.","PACS Group, Inc. , through its subsidiaries, operates skilled nursing facilities and assisted living facilities in the United States.",USD,39.27,39.27,2025-12-30,7.71,2025-09-10,179.9,42.94,2024-11-01,7.71,2025-09-10,82.0,2399823,0.0821,2025-09-15,5.0,2025-09-15,5.0,7.71,2025-09-10,2025-09-15,True
RHLD,"Resolute Holdings Management, Inc.","Resolute Holdings Management, Inc.",USD,206.81,206.81,2025-12-30,24.91,2025-04-21,179.6,219.72,2025-12-24,,,,70860,0.0954,,,2025-05-19,28.0,24.91,2025-04-21,2025-05-19,True
FRGE,"Forge Global Holdings, Inc.","Forge Global Holdings, Inc. operates a financial services platform in California.",USD,44.54,44.54,2025-12-30,7.43,2025-04-04,177.2,564.6,2022-03-30,7.43,2025-04-04,98.7,460150,0.0726,2025-04-15,11.0,2025-04-15,11.0,8.64,2025-04-16,2025-04-21,True
ALTB,Alpine Auto Brokers Inc.,"Alpine Auto Brokers Inc. , through its subsidiary, Yinao (Dongguan) Technology Co.",USD,8.0,8.0,2025-12-30,2.02,2024-12-27,166.7,10.0,2020-12-23,0.51,2021-08-10,94.9,6,0.0747,2021-08-31,21.0,2025-06-24,179.0,2.02,2025-04-14,2025-06-24,True
COGT,"Cogent Biosciences, Inc.","Cogent Biosciences, Inc. , a biotechnology company, focuses on developing precision therapies for genetically defined diseases.",USD,37.12,37.12,2025-12-30,4.02,2025-04-10,162.7,42.11,2025-12-12,37.12,2025-12-30,11.8,2723526,0.1038,,,2025-05-01,21.0,4.27,2025-04-16,2025-05-01,True
GPCR,Structure Therapeutics Inc.,"Structure Therapeutics Inc. , a clinical stage global biopharmaceutical company, develops and delivers novel oral small molecule therapeutics to treat various chronic diseases with unmet medical needs in the United States.",USD,67.78,67.78,2025-12-30,14.15,2025-04-08,160.3,74.3,2023-10-31,14.15,2025-04-08,81.0,2092520,0.0969,2025-04-14,6.0,2025-04-14,6.0,16.2,2025-08-07,2025-09-05,True
SUPV,Grupo Supervielle S.A.,Grupo Supervielle S. A.,USD,11.78,11.78,2025-12-30,4.69,2025-10-01,151.2,18.91,2025-01-10,4.69,2025-10-01,75.2,1400083,0.0744,2025-10-09,8.0,2025-10-09,8.0,4.69,2025-10-01,2025-10-09,True
WVE,Wave Life Sciences Ltd.,"Wave Life Sciences Ltd. , a clinical-stage biotechnology company, designs, develops, and commercializes ribonucleic acid (RNA) medicines through PRISM, a discovery and drug development platform.",USD,17.15,17.15,2025-12-30,5.48,2025-04-10,144.0,21.31,2025-12-09,15.54,2025-12-18,27.1,9872716,0.1259,,,2025-04-29,19.0,5.84,2025-04-16,2025-04-30,True
ALMS,ALUMIS INC.,"Alumis Inc. , a clinical stage biopharmaceutical company, focuses on the development and commercialization of medicines for autoimmune disorders.",USD,9.88,9.88,2025-12-30,2.8,2025-06-23,143.3,13.3,2024-06-28,2.8,2025-06-23,78.9,1268446,0.0526,2025-07-23,30.0,2025-07-23,30.0,2.8,2025-06-23,2025-07-23,True
NUVB,Nuvation Bio Inc.,"Nuvation Bio Inc. , a clinical-stage biopharmaceutical company, focuses on developing therapeutic candidates for oncology.",USD,8.94,8.94,2025-12-30,1.66,2025-04-03,141.6,14.57,2021-03-19,0.96,2023-10-31,93.4,8579400,0.0652,2023-11-02,2.0,2025-04-28,25.0,1.71,2025-06-17,2025-07-09,True
SGHT,"Sight Sciences, Inc.","Sight Sciences, Inc. , an ophthalmic medical device company, focuses on the development and commercialization of surgical and nonsurgical technologies for the treatment of eye prevalent diseases.",USD,8.0,8.0,2025-12-30,2.09,2025-04-08,138.8,39.1,2021-08-09,1.29,2023-10-26,96.7,244090,0.0582,2023-11-02,7.0,2025-04-21,13.0,2.41,2025-04-14,2025-04-23,True
REPL,"Replimune Group, Inc.","Replimune Group, Inc. , a clinical-stage biotechnology company, focuses on the development and commercialization of oncolytic immunotherapies to treat cancer.",USD,9.82,9.82,2025-12-30,2.81,2025-07-22,133.3,45.57,2021-01-14,2.81,2025-07-22,93.8,1569083,0.0937,2025-07-29,7.0,2025-07-29,7.0,2.81,2025-07-22,2025-07-29,True
VICR,VICOR CORP,"Vicor Corporation, together with its subsidiaries, designs, develops, manufactures, and markets modular power components and power systems for converting electrical power for use in electrically-powered devices.",USD,113.7,113.7,2025-12-30,39.41,2025-05-01,130.6,162.93,2021-11-17,31.82,2024-05-01,80.5,359606,0.0489,2024-07-31,91.0,2025-07-23,83.0,39.41,2025-05-01,2025-07-23,True
INBX,"Inhibrx Biosciences, Inc.","Inhibrx Biosciences, Inc. , a clinical-stage biopharmaceutical company, engages in the development of biologic therapeutics for people with life-threatening conditions.",USD,77.98,77.98,2025-12-30,10.84,2025-05-14,129.5,93.51,2025-12-08,76.21,2025-12-15,18.5,247206,0.1012,,,2025-06-09,26.0,10.84,2025-05-14,2025-06-09,True
CDTX,"Cidara Therapeutics, Inc.","Cidara Therapeutics, Inc. operates as a biotechnology company that focuses on developing targeted therapies for patients facing cancers and other serious diseases.",USD,220.8,220.8,2025-12-30,16.43,2025-04-04,129.2,220.98,2025-12-03,219.6,2025-12-10,0.6,1300580,0.0951,,,2025-04-22,18.0,18.63,2025-05-09,2025-05-16,True
OLMA,"Olema Pharmaceuticals, Inc.","Olema Pharmaceuticals, Inc. , a clinical-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of therapies for women's cancers.",USD,25.07,25.07,2025-12-30,3.06,2025-04-08,127.1,53.64,2021-02-19,2.04,2022-05-11,96.2,6525380,0.1201,2022-05-25,14.0,2025-04-14,6.0,4.01,2025-06-17,2025-08-01,True
BBAR,Banco BBVA Argentina S.A.,Banco BBVA Argentina S. A.,USD,18.12,18.12,2025-12-30,7.96,2025-10-07,124.8,23.65,2025-01-22,7.96,2025-10-07,66.3,703180,0.057,2025-10-27,20.0,2025-10-27,20.0,7.96,2025-10-07,2025-10-27,True
CEPU,CENTRAL PUERTO S.A.,Central Puerto S. A.,USD,17.32,17.32,2025-12-30,7.68,2025-09-19,123.2,17.95,2025-12-03,16.07,2025-12-16,10.5,308360,0.0571,,,2025-10-27,38.0,7.68,2025-09-19,2025-10-27,True
CELC,Celcuity Inc.,"Celcuity Inc. , a clinical-stage biotechnology company, focuses on the development of targeted therapies for the treatment of various solid tumors in the United States.",USD,99.92,99.92,2025-12-30,8.21,2025-04-08,121.0,105.87,2025-12-04,99.05,2025-12-17,6.4,921043,0.0515,,,2025-04-22,14.0,9.75,2025-04-14,2025-06-06,True
LITE,Lumentum Holdings Inc.,"Lumentum Holdings Inc. manufactures and sells optical and photonic products in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa.",USD,371.18,371.18,2025-12-30,49.56,2025-04-04,116.6,395.92,2025-12-24,,,,4391003,0.0604,,,2025-05-07,33.0,50.07,2025-04-21,2025-05-07,True
GLUE,"Monte Rosa Therapeutics, Inc.","Monte Rosa Therapeutics, Inc. , a clinical-stage biotechnology company, engages in the development of novel small molecule precision medicines that employ the body's natural mechanisms to selectively degrade therapeutically relevant proteins.",USD,15.97,15.97,2025-12-30,3.7,2025-05-14,112.9,42.21,2021-09-03,2.5,2023-10-25,94.1,1042520,0.0537,2023-10-31,6.0,2025-06-06,23.0,3.7,2025-05-14,2025-06-06,True
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,"Tactile Systems Technology, Inc.",USD,29.25,29.25,2025-12-30,9.42,2025-05-23,111.5,62.48,2021-02-12,6.55,2022-06-13,89.5,391670,0.0488,2022-08-02,50.0,2025-08-05,74.0,9.42,2025-05-23,2025-08-05,True
GGAL,GRUPO FINANCIERO GALICIA SA,Grupo Financiero Galicia S. A.,USD,54.06,54.06,2025-12-30,26.13,2025-09-19,104.5,70.53,2025-01-07,26.13,2025-09-19,63.0,1322260,0.0567,2025-10-09,20.0,2025-10-09,20.0,26.13,2025-09-19,2025-10-09,True
NRIX,"Nurix Therapeutics, Inc.","Nurix Therapeutics, Inc. , a clinical stage biopharmaceutical company, focuses on the discovery, development, and commercialization of small molecule and antibody therapies for the treatment of cancer, inflammatory conditions, and other diseases.",USD,19.02,19.02,2025-12-30,8.24,2025-09-23,102.3,50.17,2021-01-19,4.25,2023-10-25,91.5,1852026,0.0488,2023-10-31,6.0,2025-10-09,16.0,8.24,2025-09-23,2025-10-09,True
NGENF,NERVGEN PHARMA CORP.,"NervGen Pharma Corp. , a biotechnology company, engages in the discovery, development, and commercialization of pharmaceutical treatments to promote nervous system repair in settings of neurotrauma and neurologic disease.",USD,5.1,5.1,2025-12-30,1.81,2025-03-24,102.1,5.41,2025-12-26,,,,146420,0.0574,,,2025-05-02,39.0,1.99,2025-08-20,2025-08-25,True
