date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OBICY')","('high', 'OBICY')","('low', 'OBICY')","('close', 'OBICY')","('adj_close', 'OBICY')","('volume', 'OBICY')","('currency', '')"
2025-08-05,18.5,18.5,18.5,18.5,18.5,116013,,,,,,,,
2025-08-07,19.875,21.079999923706055,18.59000015258789,18.59000015258789,18.59000015258789,359374,,,,,,,,
2025-08-08,19.0,19.25,18.799999237060547,19.25,19.25,1244171,,,,,,,,
2025-08-11,19.56999969482422,19.56999969482422,18.100000381469727,18.100000381469727,18.100000381469727,605,,,,,,,,
2025-08-12,20.950000762939453,20.950000762939453,18.844999313354492,18.844999313354492,18.844999313354492,8744,,,,,,,,
2025-08-13,19.790000915527344,20.969999313354492,18.9325008392334,19.0,19.0,1626,,,,,,,,
2025-08-14,18.8125,18.8125,18.8125,18.8125,18.8125,2370,,,,,,,,
2025-08-18,18.25,20.162500381469727,18.25,20.162500381469727,20.162500381469727,4495,,,,,,,,
2025-08-19,18.31999969482422,20.5,18.25,20.5,20.5,6947,,,,,,,,
2025-08-20,19.5049991607666,20.5,18.510099411010742,20.5,20.5,2373,,,,,,,,
2025-08-21,17.875,20.499900817871094,17.875,18.75,18.75,6201,,,,,,,,
2025-08-22,18.149999618530273,20.670000076293945,18.149999618530273,20.130800247192383,20.130800247192383,6676,,,,,,,,
2025-08-25,18.010000228881836,19.950000762939453,17.989999771118164,18.0,18.0,822063,,,,,,,,
2025-08-26,18.700000762939453,19.5,17.799999237060547,18.25,18.25,947826,,,,,,,,
2025-08-27,17.209999084472656,20.0,17.209999084472656,17.850000381469727,17.850000381469727,486806,,,,,,,,
2025-08-28,18.739999771118164,19.5,17.920000076293945,18.059999465942383,18.059999465942383,19183,,,,,,,,
2025-08-29,18.477500915527344,20.0,17.8799991607666,17.8799991607666,17.8799991607666,69645,,,,,,,,
2025-09-02,19.899999618530273,19.899999618530273,17.559999465942383,17.600000381469727,17.600000381469727,39404,,,,,,,,
2025-09-03,18.299999237060547,18.969999313354492,17.600000381469727,18.969999313354492,18.969999313354492,5383,,,,,,,,
2025-09-04,18.309999465942383,18.719999313354492,17.650100708007812,17.650100708007812,17.650100708007812,7709,,,,,,,,
2025-09-05,18.0,18.360000610351562,17.700000762939453,18.040000915527344,18.040000915527344,39890,,,,,,,,
2025-09-08,18.200000762939453,18.600000381469727,17.899999618530273,18.489999771118164,18.489999771118164,54568,,,,,,,,
2025-09-09,18.049999237060547,18.399999618530273,17.725000381469727,17.729999542236328,17.729999542236328,108951,,,,,,,,
2025-09-10,18.3700008392334,18.62350082397461,18.040000915527344,18.44499969482422,18.44499969482422,372170,,,,,,,,
2025-09-11,18.75,18.75,18.19499969482422,18.655000686645508,18.655000686645508,249935,,,,,,,,
2025-09-12,18.75,18.75,17.90999984741211,18.229999542236328,18.229999542236328,466032,,,,,,,,
2025-09-15,18.5,19.100000381469727,18.479999542236328,18.8799991607666,18.8799991607666,853402,,,,,,,,
