date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'CMRF')","('high', 'CMRF')","('low', 'CMRF')","('close', 'CMRF')","('adj_close', 'CMRF')","('volume', 'CMRF')","('currency', '')"
2025-08-25,3.7032999992370605,3.7032999992370605,3.7032999992370605,3.7032999992370605,3.7032999992370605,2735,,,,,,,,
2025-08-29,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,19705,,,,,,,,
2025-09-08,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,7325,,,,,,,,
2025-09-09,1.9900000095367432,2.5,1.9900000095367432,2.5,2.5,7271,,,,,,,,
2025-09-11,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,36681,,,,,,,,
2025-09-15,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,2130,,,,,,,,
2025-09-16,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,5225,,,,,,,,
2025-09-17,2.609999895095825,2.609999895095825,2.609999895095825,2.609999895095825,2.609999895095825,10291,,,,,,,,
2025-09-18,2.4000000953674316,3.6115000247955322,2.4000000953674316,2.4000000953674316,2.4000000953674316,9653,,,,,,,,
2025-09-26,2.4700000286102295,2.4700000286102295,2.4700000286102295,2.4700000286102295,2.4700000286102295,1180,,,,,,,,
2025-10-07,2.5,2.5,2.5,2.5,2.5,8167,,,,,,,,
2025-10-13,2.2699999809265137,2.2699999809265137,2.2699999809265137,2.2699999809265137,2.2699999809265137,1760,,,,,,,,
2025-10-21,2.166857957839966,2.166857957839966,2.166857957839966,2.166857957839966,2.166857957839966,1241,,,,,,,,
2025-10-23,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,2.450000047683716,959,,,,,,,,
2025-10-24,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,2.3499999046325684,15333,,,,,,,,
2025-10-31,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,35000,,,,,,,,
2025-11-03,3.4532179832458496,3.4532179832458496,3.4532179832458496,3.4532179832458496,3.4532179832458496,13593,,,,,,,,
2025-11-05,2.2799999713897705,2.2799999713897705,2.2799999713897705,2.2799999713897705,2.2799999713897705,6282,,,,,,,,
2025-11-06,2.5,2.5,2.5,2.5,2.5,1132,,,,,,,,
2025-11-13,2.4918999671936035,2.4918999671936035,2.4918999671936035,2.4918999671936035,2.4918999671936035,1721,,,,,,,,
2025-11-18,3.3264000415802,3.3264000415802,3.3264000415802,3.3264000415802,3.3264000415802,716,,,,,,,,
2025-11-21,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,4551,,,,,,,,
2025-11-24,2.5,2.5,2.5,2.5,2.5,1612,,,,,,,,
2025-11-26,2.4600000381469727,2.4600000381469727,2.4600000381469727,2.4600000381469727,2.4600000381469727,3209,,,,,,,,
2025-12-01,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2150,,,,,,,,
2025-12-11,2.0399999618530273,2.0399999618530273,2.0399999618530273,2.0399999618530273,2.0399999618530273,1049,,,,,,,,
2025-12-12,3.5850000381469727,3.5850000381469727,3.5850000381469727,3.5850000381469727,3.5850000381469727,7684,,,,,,,,
2025-12-17,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,9106,,,,,,,,
2025-12-18,3.3469998836517334,3.3469998836517334,3.3469998836517334,3.3469998836517334,3.3469998836517334,528,,,,,,,,
2025-12-29,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,3246,,,,,,,,
,CMRF,CMRF,CMRF,CMRF,CMRF,CMRF,,,,,,,,
