date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'DLMAY')","('high', 'DLMAY')","('low', 'DLMAY')","('close', 'DLMAY')","('adj_close', 'DLMAY')","('volume', 'DLMAY')","('currency', '')"
2025-07-18,13.75,13.75,13.75,13.75,13.75,50000,,,,,,,,
2025-07-22,17.920000076293945,17.93000030517578,16.05500030517578,16.05500030517578,16.05500030517578,1415,,,,,,,,
2025-07-23,18.0,18.0,18.0,18.0,18.0,812,,,,,,,,
2025-07-24,18.0,18.0,18.0,18.0,18.0,217,,,,,,,,
2025-07-25,18.0,18.0,18.0,18.0,18.0,564,,,,,,,,
2025-07-28,18.0,18.0,18.0,18.0,18.0,604,,,,,,,,
2025-07-29,13.75,15.850000381469727,13.75,13.75,13.75,9555,,,,,,,,
2025-07-30,15.0,15.0,15.0,15.0,15.0,1090,,,,,,,,
2025-07-31,15.0,15.0,15.0,15.0,15.0,1282,,,,,,,,
2025-08-01,15.0,15.0,15.0,15.0,15.0,1549,,,,,,,,
2025-08-04,15.0,15.0,15.0,15.0,15.0,505,,,,,,,,
2025-08-05,15.0,15.0,15.0,15.0,15.0,681,,,,,,,,
2025-08-06,15.0,15.0,15.0,15.0,15.0,137,,,,,,,,
2025-08-07,14.149999618530273,17.3799991607666,14.149999618530273,17.200000762939453,17.200000762939453,12091,,,,,,,,
2025-08-08,17.18000030517578,18.0,17.18000030517578,17.999000549316406,17.999000549316406,888,,,,,,,,
2025-08-11,16.6200008392334,18.0,16.6200008392334,18.0,18.0,10734,,,,,,,,
2025-08-12,15.5,18.0,15.5,18.0,18.0,421,,,,,,,,
2025-08-13,13.0,18.0,13.0,13.0,13.0,5698,,,,,,,,
2025-08-14,16.5,17.999000549316406,16.5,17.989999771118164,17.989999771118164,866,,,,,,,,
2025-08-15,15.494999885559082,15.494999885559082,15.494999885559082,15.494999885559082,15.494999885559082,157,,,,,,,,
2025-08-18,15.449999809265137,15.449999809265137,15.449999809265137,15.449999809265137,15.449999809265137,346,,,,,,,,
2025-08-19,15.449999809265137,16.43000030517578,15.449999809265137,16.43000030517578,16.43000030517578,371,,,,,,,,
2025-08-20,16.43000030517578,16.43000030517578,16.43000030517578,16.43000030517578,16.43000030517578,144,,,,,,,,
2025-08-21,15.449999809265137,17.89900016784668,15.449999809265137,16.83970069885254,16.83970069885254,24008,,,,,,,,
2025-08-22,17.889999389648438,17.889999389648438,16.645200729370117,16.645200729370117,16.645200729370117,525,,,,,,,,
2025-08-25,17.889999389648438,17.889999389648438,15.0,15.944999694824219,15.944999694824219,737,,,,,,,,
2025-08-26,15.944999694824219,17.889999389648438,15.944999694824219,17.889999389648438,17.889999389648438,583,,,,,,,,
2025-08-28,17.346399307250977,17.346399307250977,17.346399307250977,17.346399307250977,17.346399307250977,145,,,,,,,,
2025-09-02,35.779998779296875,35.779998779296875,13.359999656677246,35.779998779296875,35.779998779296875,699,,,,,,,,
2025-09-03,14.0,18.27199935913086,14.0,16.43000030517578,16.43000030517578,1642,,,,,,,,
2025-09-04,13.550000190734863,19.5,13.550000190734863,13.550000190734863,13.550000190734863,4691,,,,,,,,
2025-09-05,27.93000030517578,27.93000030517578,13.550000190734863,27.93000030517578,27.93000030517578,1164,,,,,,,,
2025-09-08,33.757999420166016,33.757999420166016,19.989999771118164,33.757999420166016,33.757999420166016,692,,,,,,,,
2025-09-09,37.33599853515625,37.33599853515625,15.0,37.33599853515625,37.33599853515625,485,,,,,,,,
2025-09-10,40.0,40.0,40.0,40.0,40.0,471,,,,,,,,
2025-09-11,36.000099182128906,40.0,36.000099182128906,36.000099182128906,36.000099182128906,329,,,,,,,,
2025-09-12,15.0,15.0,15.0,15.0,15.0,197,,,,,,,,
2025-09-15,19.940000534057617,19.940000534057617,19.940000534057617,19.940000534057617,19.940000534057617,194,,,,,,,,
2025-09-22,13.510000228881836,15.160099983215332,13.510000228881836,13.510000228881836,13.510000228881836,614,,,,,,,,
2025-09-23,13.369999885559082,13.380000114440918,10.0,13.25,13.25,1919,,,,,,,,
2025-09-25,12.0,13.0,12.0,12.899999618530273,12.899999618530273,860,,,,,,,,
2025-09-26,15.0,15.0,13.0,13.0,13.0,536,,,,,,,,
2025-09-30,14.069999694824219,14.069999694824219,14.069999694824219,14.069999694824219,14.069999694824219,848,,,,,,,,
2025-10-02,12.75,12.75,11.0,11.199999809265137,11.199999809265137,1712,,,,,,,,
2025-10-06,11.399999618530273,12.75,11.399999618530273,12.75,12.75,1061,,,,,,,,
2025-10-07,10.5,10.5,10.0,10.0,10.0,267,,,,,,,,
2025-10-10,11.470000267028809,11.470000267028809,11.470000267028809,11.470000267028809,11.470000267028809,378,,,,,,,,
2025-10-13,11.777999877929688,11.967499732971191,11.125200271606445,11.967499732971191,11.967499732971191,805,,,,,,,,
2025-10-14,12.350000381469727,12.350000381469727,12.350000381469727,12.350000381469727,12.350000381469727,660,,,,,,,,
2025-10-15,12.456999778747559,12.456999778747559,11.210000038146973,11.210000038146973,11.210000038146973,4541,,,,,,,,
2025-10-16,11.210000038146973,14.5,11.210000038146973,14.5,14.5,1146,,,,,,,,
2025-10-20,12.0,12.0,10.1451997756958,10.1451997756958,10.1451997756958,416,,,,,,,,
2025-10-22,12.25,12.25,12.25,12.25,12.25,380,,,,,,,,
2025-10-24,10.663599967956543,10.663599967956543,10.663599967956543,10.663599967956543,10.663599967956543,183,,,,,,,,
2025-10-28,13.199999809265137,13.199999809265137,10.089799880981445,13.199999809265137,13.199999809265137,2859,,,,,,,,
2025-10-29,13.140000343322754,13.140000343322754,13.140000343322754,13.140000343322754,13.140000343322754,880,,,,,,,,
