ticker,currency,market_cap,market_cap_usd,price_today_local,price_usd
ABEV3.SA,BRL,216112821513.0,39907822484.31005,13.609999656677246,2.5132495448796126
B3SA3.SA,BRL,70293243983.0,12980489926.88346,13.760000228881836,2.5409489482105974
BBAS3.SA,BRL,125127913422.0,23106368801.801563,21.8700008392334,4.038557754757448
BBDC4.SA,BRL,192395854438.0,35528200279.25549,18.579999923706055,3.431019656874695
CMIG4.SA,BRL,32039636543.0,5916502864.8841305,11.229999542236328,2.0737540007708044
CSNA3.SA,BRL,11855279329.0,2189219407.0270953,9.079999923706055,1.6767308046598823
CYRE3.SA,BRL,10850130320.0,2003606596.3635724,24.829999923706055,4.585157059647598
ECOR3.SA,BRL,7373585260.0,1361620886.5761538,10.630000114440918,1.9629569157690405
EGIE3.SA,BRL,35833915443.0,6617161936.090855,31.399999618530273,5.798386241088108
ELET3.SA,BRL,114632725326.0,21168306540.884678,50.0,9.233099222183224
ELET6.SA,BRL,111958451502.0,20674469829.59909,52.47999954223633,9.691060859071964
EQTL3.SA,BRL,48442269799.0,8945445672.038736,38.20000076293945,7.0540879466338975
FESA4.SA,BRL,2348352409.0,433651416.01900005,6.840000152587891,1.2630880017718478
GOAU4.SA,BRL,11924171532.0,2201941177.945771,9.0600004196167,1.6730376565468528
HAPV3.SA,BRL,6992711656.0,1291288011.0393033,15.029999732971191,2.7754695768782076
HYPE3.SA,BRL,14912089904.0,2753696113.8749743,23.65999984741211,4.36910252375992
IRBR3.SA,BRL,4394742924.0,811541949.4655926,53.25,9.833250671625134
ITUB4.SA,BRL,419971409951.0,77552753971.15541,39.63999938964844,7.32000095063813
JHSF3.SA,BRL,5301714823.0,979025180.1695715,7.989999771118164,1.4754492134391053
KLBN11.SA,BRL,133309711933.0,24617235951.16104,18.829999923706055,3.4771851529856113
LREN3.SA,BRL,13210579805.0,2439491882.4426985,13.510000228881836,2.494783452099681
MGLU3.SA,BRL,7271704586.0,1342807399.1388557,9.010000228881836,1.6638045221031912
MULT3.SA,BRL,13334206175.0,2462320973.256465,27.209999084472656,5.0246524276490145
NATU3.SA,BRL,10235452941.0,1890099051.764802,7.380000114440918,1.362805466327131
PETR3.SA,BRL,419786022092.0,77518519881.2207,31.450000762939453,5.807619551639162
PETR4.SA,BRL,414145469600.0,76476924264.68935,29.920000076293945,5.525086588643033
PRIO3.SA,BRL,33560678894.0,6197381563.842648,40.90999984741211,7.554521755413131
RADL3.SA,BRL,41795199937.0,7717984560.586142,23.979999542236328,4.428194302427527
RAIL3.SA,BRL,27391317800.0,5058135101.47507,14.850000381469727,2.7422305394313744
RDOR3.SA,BRL,89607491414.0,16547097185.527868,40.689998626708984,7.513895893418064
RENT3.SA,BRL,45943884768.0,8484088934.30993,43.9900016784668,8.123281005625811
SANB11.SA,BRL,160777565429.0,29689504286.140247,33.599998474121094,6.2046423955353
SBSP3.SA,BRL,93632992288.0,17290454165.300415,132.33999633789062,24.438166345022175
SUZB3.SA,BRL,63587508085.0,11742195428.80366,51.81999969482422,9.569183977516328
VALE3.SA,BRL,307181415973.0,56724729857.788956,72.7300033569336,13.430466748485738
WEGE3.SA,BRL,203533204607.0,37584845462.90702,48.619998931884766,8.978265486410688
