ticker,currency,market_cap,market_cap_usd,price_today_local,price_usd
ACA.PA,EUR,53048710807.0,61994517483.592186,17.735000610351562,20.72572148661675
ADP.PA,EUR,10951566785.0,12798371311.896639,112.9000015258789,131.93875990611468
AF.PA,EUR,3042895569.0,3556030668.481834,11.78499984741211,13.7723493741928
AI.PA,EUR,92467777983.0,108060972484.1718,157.8800048828125,184.50391299095645
AM.PA,EUR,21236451698.0,24817635641.908916,291.20001220703125,340.30618224955833
ATO.PA,EUR,974143480.0,1138417014.9224138,49.51499938964844,57.86490281600891
BN.PA,EUR,49393575896.0,57723003214.955574,73.77999877929688,86.22180171170112
BNP.PA,EUR,90366471398.0,105605314545.63844,82.08999633789062,95.93314589137663
CDI.PA,EUR,107163884520.0,125235339585.44656,594.5,694.7528051733971
DEC.PA,EUR,3285064464.0,3839037428.9982204,15.630000114440918,18.26574671887022
EC.PA,EUR,843750000.0,986034784.4660282,188.0,219.70315790176392
EL.PA,EUR,124875883669.0,145934180786.45004,262.8999938964844,307.2338237841068
EN.PA,EUR,17011259421.0,19879933056.807617,45.349998474121094,52.99754189151372
ENX.PA,EUR,13220466457.0,15449884199.666193,127.5,149.00081187486649
ERF.PA,EUR,11021936535.0,12880607781.554924,66.76000213623047,78.01799622796989
FNAC.PA,EUR,846852409.0,989660364.5426391,28.700000762939453,33.539791486174636
LR.PA,EUR,33243100011.0,38849010908.83437,129.14999389648438,150.92905054282528
MC.PA,EUR,317949355384.0,371566369312.20746,638.7000122070312,746.4064342222337
MTU.PA,EUR,738576539.0,863125521.119443,19.459999084472656,22.741613040553602
NK.PA,EUR,2010193880.0,2349180550.163827,23.940000534057617,27.9770942420339
NXI.PA,EUR,498489902.0,582552157.7209618,8.604999542236328,10.056093474322097
OVH.PA,EUR,1097217471.0,1282245442.9983354,7.53000020980835,8.799812899445953
RI.PA,EUR,18321191329.0,21410763784.594227,72.13999938964844,84.3052429624313
RMS.PA,EUR,222462248762.0,259976907270.95303,2102.0,2456.468286752701
RNO.PA,EUR,10226982872.0,11951598046.732185,35.619998931884766,41.62673537123692
RUI.PA,EUR,3311505979.0,3869937877.6429377,32.220001220703125,37.653383062697685
SAVE.PA,EUR,800050059.0,934965555.5414497,62.400001525878906,72.92275206548129
SCR.PA,EUR,5134117937.0,5999903849.994624,28.360000610351562,33.14245580952229
SGO.PA,EUR,43046330837.0,50305397983.898834,85.83999633789062,100.31552271122564
SOI.PA,EUR,821099616.0,959564779.7187538,26.59000015258789,31.073973415595447
STMPA.PA,EUR,19819201339.0,23161388942.921104,23.700000762939453,27.696622393042617
SU.PA,EUR,132094265349.0,154369825733.45132,240.14999389648438,280.6474044103561
TRI.PA,EUR,3371910412.0,3940528540.8416905,173.6999969482422,202.99169072901896
URW.PA,EUR,13287070632.0,15527720091.032906,92.83999633789062,108.49595944161047
VLTSA.PA,EUR,1019369639.0,1191269833.8163886,8.085000038146973,9.448404468174317
