date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MMS')","('high', 'MMS')","('low', 'MMS')","('close', 'MMS')","('adj_close', 'MMS')","('volume', 'MMS')","('currency', '')"
2020-01-02,74.91999816894531,75.05000305175781,74.11000061035156,75.05000305175781,68.57176971435547,272900,,,,,,,,
2020-01-03,74.19999694824219,75.25,74.19999694824219,74.97000122070312,68.49868774414062,338200,,,,,,,,
2020-01-06,74.30000305175781,75.47000122070312,74.06999969482422,75.18000030517578,68.69053649902344,413600,,,,,,,,
2020-01-07,74.87000274658203,75.06999969482422,74.25,74.2699966430664,67.85909271240234,211000,,,,,,,,
2020-01-08,74.18000030517578,74.76000213623047,73.87999725341797,73.91000366210938,67.5301742553711,290600,,,,,,,,
2020-01-09,74.4800033569336,74.6500015258789,73.62000274658203,74.58999633789062,68.1514892578125,214600,,,,,,,,
2020-01-10,74.77999877929688,75.05999755859375,74.33000183105469,74.72000122070312,68.27027130126953,278100,,,,,,,,
2020-01-13,74.83000183105469,75.62999725341797,74.58000183105469,75.5999984741211,69.07428741455078,349700,,,,,,,,
2020-01-14,75.43000030517578,75.43000030517578,74.86000061035156,75.2300033569336,68.73624420166016,251600,,,,,,,,
2020-01-15,75.19000244140625,76.43000030517578,74.95999908447266,75.05000305175781,68.57176971435547,508400,,,,,,,,
2020-01-16,75.62999725341797,76.43000030517578,75.56999969482422,75.93000030517578,69.37581634521484,354900,,,,,,,,
2020-01-17,76.37000274658203,76.37000274658203,75.13999938964844,75.29000091552734,68.79106903076172,252200,,,,,,,,
2020-01-21,75.01000213623047,75.44000244140625,74.16999816894531,74.3499984741211,67.93218994140625,269400,,,,,,,,
2020-01-22,74.55999755859375,75.29000091552734,74.41000366210938,74.79000091552734,68.33421325683594,219700,,,,,,,,
2020-01-23,74.63999938964844,75.16999816894531,74.13999938964844,74.73999786376953,68.28852081298828,274700,,,,,,,,
2020-01-24,74.88999938964844,75.33999633789062,73.9800033569336,74.0999984741211,67.7037582397461,314300,,,,,,,,
2020-01-27,72.83999633789062,74.19000244140625,72.80999755859375,73.4800033569336,67.13729095458984,362300,,,,,,,,
2020-01-28,73.7300033569336,74.22000122070312,73.52999877929688,73.87000274658203,67.49362182617188,253300,,,,,,,,
2020-01-29,74.08000183105469,74.23999786376953,73.41000366210938,73.48999786376953,67.14643096923828,340800,,,,,,,,
2020-01-30,72.94999694824219,73.47000122070312,72.0,73.22000122070312,66.89974212646484,262900,,,,,,,,
2020-01-31,72.86000061035156,73.29000091552734,71.55000305175781,71.75,65.556640625,359700,,,,,,,,
2020-02-03,72.0,73.2699966430664,72.0,72.87000274658203,66.5799560546875,512300,,,,,,,,
2020-02-04,73.68000030517578,74.27999877929688,73.5199966430664,73.70999908447266,67.34744262695312,239200,,,,,,,,
2020-02-05,74.29000091552734,74.45999908447266,73.5199966430664,74.27999877929688,67.86824035644531,404000,,,,,,,,
2020-02-06,75.0199966430664,76.4000015258789,73.80000305175781,74.16999816894531,67.76774597167969,520000,,,,,,,,
2020-02-07,73.94999694824219,75.1500015258789,73.87999725341797,74.55000305175781,68.11493682861328,404500,,,,,,,,
2020-02-10,74.5999984741211,74.5999984741211,73.61000061035156,74.08999633789062,67.69463348388672,216500,,,,,,,,
2020-02-11,74.2300033569336,74.37999725341797,73.69000244140625,73.97000122070312,67.58499908447266,475800,,,,,,,,
2020-02-12,74.44999694824219,74.44999694824219,73.44999694824219,73.70999908447266,67.34744262695312,309200,,,,,,,,
2020-02-13,73.26000213623047,74.16999816894531,73.26000213623047,73.98999786376953,67.8610610961914,450000,,,,,,,,
2020-02-14,73.88999938964844,74.05999755859375,73.08000183105469,73.11000061035156,67.05396270751953,136400,,,,,,,,
2020-02-18,73.08999633789062,73.4800033569336,72.9000015258789,73.11000061035156,67.05396270751953,164600,,,,,,,,
2020-02-19,73.30999755859375,73.38999938964844,72.77999877929688,72.81999969482422,66.7879867553711,293800,,,,,,,,
2020-02-20,72.58000183105469,72.87999725341797,71.6500015258789,71.83999633789062,65.88915252685547,261800,,,,,,,,
2020-02-21,71.77999877929688,71.77999877929688,70.2300033569336,70.58000183105469,64.73352813720703,277400,,,,,,,,
2020-02-24,68.87000274658203,69.97000122070312,68.72000122070312,69.48999786376953,63.73381805419922,384600,,,,,,,,
