date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SXI')","('high', 'SXI')","('low', 'SXI')","('close', 'SXI')","('adj_close', 'SXI')","('volume', 'SXI')","('currency', '')"
2020-01-02,79.98999786376953,80.48999786376953,78.36000061035156,79.37999725341797,74.87926483154297,34300,,,,,,,,
2020-01-03,78.05999755859375,78.9000015258789,77.47000122070312,78.69999694824219,74.23783874511719,83500,,,,,,,,
2020-01-06,77.95999908447266,78.94999694824219,77.44000244140625,78.41999816894531,73.97369384765625,58200,,,,,,,,
2020-01-07,78.11000061035156,78.93000030517578,77.06999969482422,78.08999633789062,73.66241455078125,58400,,,,,,,,
2020-01-08,78.33999633789062,78.41999816894531,77.44999694824219,77.73999786376953,73.332275390625,39400,,,,,,,,
2020-01-09,78.05999755859375,78.41999816894531,77.05000305175781,77.23999786376953,72.8606185913086,45900,,,,,,,,
2020-01-10,77.12000274658203,77.16999816894531,75.69999694824219,76.08000183105469,71.7663803100586,37300,,,,,,,,
2020-01-13,75.86000061035156,77.88999938964844,75.66000366210938,77.45999908447266,73.06812286376953,57700,,,,,,,,
2020-01-14,77.26000213623047,78.26000213623047,76.9000015258789,77.45999908447266,73.06812286376953,48900,,,,,,,,
2020-01-15,77.02999877929688,78.0199966430664,76.91999816894531,77.5,73.10586547851562,43700,,,,,,,,
2020-01-16,78.0999984741211,78.88999938964844,77.62000274658203,78.55000305175781,74.0963363647461,48500,,,,,,,,
2020-01-17,78.94000244140625,79.5199966430664,78.33999633789062,79.38999938964844,74.88871765136719,60300,,,,,,,,
2020-01-21,78.6500015258789,79.5999984741211,77.7300033569336,77.81999969482422,73.40772247314453,45500,,,,,,,,
2020-01-22,77.7699966430664,77.94999694824219,76.9800033569336,77.83000183105469,73.41714477539062,39200,,,,,,,,
2020-01-23,77.55000305175781,78.86000061035156,76.61000061035156,78.5199966430664,74.06803131103516,66000,,,,,,,,
2020-01-24,78.87000274658203,78.87000274658203,77.12000274658203,77.7300033569336,73.32282257080078,48600,,,,,,,,
2020-01-27,76.0,77.55999755859375,76.0,76.97000122070312,72.60592651367188,27000,,,,,,,,
2020-01-28,77.4000015258789,77.51000213623047,76.4800033569336,76.91000366210938,72.54932403564453,17500,,,,,,,,
2020-01-29,77.38999938964844,77.38999938964844,75.11000061035156,75.22000122070312,70.95513916015625,33400,,,,,,,,
2020-01-30,74.8499984741211,75.69000244140625,74.20999908447266,75.48999786376953,71.20982360839844,26700,,,,,,,,
2020-01-31,74.95999908447266,75.06999969482422,72.79000091552734,73.08999633789062,68.94591522216797,45100,,,,,,,,
2020-02-03,73.55000305175781,75.44000244140625,73.41999816894531,75.4000015258789,71.12493896484375,65100,,,,,,,,
2020-02-04,74.20999908447266,74.20999908447266,68.94000244140625,70.27999877929688,66.29522705078125,130500,,,,,,,,
2020-02-05,71.02999877929688,73.43000030517578,70.76000213623047,73.3499984741211,69.1911849975586,38500,,,,,,,,
2020-02-06,72.94999694824219,72.94999694824219,70.98999786376953,71.33000183105469,67.28568267822266,29100,,,,,,,,
2020-02-07,70.7300033569336,70.7300033569336,69.30999755859375,69.76000213623047,66.00830841064453,27100,,,,,,,,
