date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GGN')","('high', 'GGN')","('low', 'GGN')","('close', 'GGN')","('adj_close', 'GGN')","('volume', 'GGN')","('currency', '')"
2020-01-02,4.46999979019165,4.46999979019165,4.389999866485596,4.429999828338623,2.4473626613616943,1275300,,,,,,,,
2020-01-03,4.489999771118164,4.489999771118164,4.440000057220459,4.449999809265137,2.458411693572998,1865100,,,,,,,,
2020-01-06,4.5,4.5,4.420000076293945,4.440000057220459,2.452885866165161,1576600,,,,,,,,
2020-01-07,4.449999809265137,4.460000038146973,4.429999828338623,4.440000057220459,2.452885866165161,1073900,,,,,,,,
2020-01-08,4.489999771118164,4.489999771118164,4.289999961853027,4.420000076293945,2.441837787628174,1361800,,,,,,,,
2020-01-09,4.400000095367432,4.409999847412109,4.380000114440918,4.400000095367432,2.4307878017425537,884300,,,,,,,,
2020-01-10,4.409999847412109,4.420000076293945,4.389999866485596,4.400000095367432,2.4307878017425537,863500,,,,,,,,
2020-01-13,4.400000095367432,4.429999828338623,4.400000095367432,4.420000076293945,2.441837787628174,1265300,,,,,,,,
2020-01-14,4.420000076293945,4.440000057220459,4.389999866485596,4.400000095367432,2.4307878017425537,1939800,,,,,,,,
2020-01-15,4.380000114440918,4.400000095367432,4.369999885559082,4.400000095367432,2.4587297439575195,926400,,,,,,,,
2020-01-16,4.389999866485596,4.400000095367432,4.369999885559082,4.380000114440918,2.4475529193878174,1200100,,,,,,,,
2020-01-17,4.369999885559082,4.380000114440918,4.360000133514404,4.369999885559082,2.4419643878936768,715000,,,,,,,,
2020-01-21,4.369999885559082,4.369999885559082,4.349999904632568,4.369999885559082,2.4419643878936768,769600,,,,,,,,
2020-01-22,4.369999885559082,4.380000114440918,4.360000133514404,4.369999885559082,2.4419643878936768,586200,,,,,,,,
2020-01-23,4.349999904632568,4.380000114440918,4.269999980926514,4.269999980926514,2.3860843181610107,670400,,,,,,,,
2020-01-24,4.380000114440918,4.380000114440918,4.329999923706055,4.360000133514404,2.43637752532959,1656100,,,,,,,,
2020-01-27,4.360000133514404,4.380000114440918,4.300000190734863,4.300000190734863,2.402848482131958,1545100,,,,,,,,
2020-01-28,4.320000171661377,4.329999923706055,4.210000038146973,4.329999923706055,2.4196133613586426,653900,,,,,,,,
