date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'KNSL')","('high', 'KNSL')","('low', 'KNSL')","('close', 'KNSL')","('adj_close', 'KNSL')","('volume', 'KNSL')","('currency', '')"
2020-01-02,101.93000030517578,103.47000122070312,100.87000274658203,103.47000122070312,102.31879425048828,171800,,,,,,,,
2020-01-03,102.5199966430664,104.87000274658203,101.96099853515625,104.69999694824219,103.53511810302734,136900,,,,,,,,
2020-01-06,104.19999694824219,107.13999938964844,103.75,106.87999725341797,105.69084167480469,183400,,,,,,,,
2020-01-07,106.19999694824219,107.66999816894531,105.41000366210938,105.86000061035156,104.6822280883789,218900,,,,,,,,
2020-01-08,105.45999908447266,107.23999786376953,105.31999969482422,105.55999755859375,104.38554382324219,230500,,,,,,,,
2020-01-09,106.36000061035156,108.3499984741211,104.6520004272461,106.83000183105469,105.64143371582031,251500,,,,,,,,
2020-01-10,106.83000183105469,107.16000366210938,103.16000366210938,104.0999984741211,102.94178771972656,198800,,,,,,,,
2020-01-13,103.98999786376953,105.93000030517578,103.68000030517578,105.83000183105469,104.65254211425781,127400,,,,,,,,
2020-01-14,105.70999908447266,106.52999877929688,104.94999694824219,105.87999725341797,104.70198059082031,103700,,,,,,,,
2020-01-15,105.9800033569336,108.33999633789062,105.37999725341797,108.1500015258789,106.94673156738281,95400,,,,,,,,
2020-01-16,108.02999877929688,109.69999694824219,107.59500122070312,109.11000061035156,107.89604187011719,119700,,,,,,,,
2020-01-17,110.11000061035156,110.22000122070312,108.45999908447266,109.2300033569336,108.01473236083984,104200,,,,,,,,
2020-01-21,109.30000305175781,110.76000213623047,109.08000183105469,110.5,109.27058410644531,124900,,,,,,,,
2020-01-22,110.56999969482422,112.2300033569336,110.29100036621094,111.66000366210938,110.41767883300781,105600,,,,,,,,
2020-01-23,111.19999694824219,111.19999694824219,105.54000091552734,109.26000213623047,108.04438018798828,294500,,,,,,,,
2020-01-24,109.55000305175781,112.0,109.2699966430664,111.5999984741211,110.35835266113281,174000,,,,,,,,
