date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OLED')","('high', 'OLED')","('low', 'OLED')","('close', 'OLED')","('adj_close', 'OLED')","('volume', 'OLED')","('currency', '')"
2020-01-02,209.0,212.88999938964844,206.25,212.88999938964844,202.74990844726562,440000,,,,,,,,
2020-01-03,208.1999969482422,211.39999389648438,207.22999572753906,208.38999938964844,198.46421813964844,434100,,,,,,,,
2020-01-06,206.02000427246094,212.1699981689453,204.88999938964844,211.8699951171875,201.7784881591797,492800,,,,,,,,
2020-01-07,214.41000366210938,215.5399932861328,212.2899932861328,213.2100067138672,203.05470275878906,407700,,,,,,,,
2020-01-08,213.0,216.1999969482422,211.02000427246094,214.42999267578125,204.21656799316406,380400,,,,,,,,
2020-01-09,218.22000122070312,222.1999969482422,215.55999755859375,218.0500030517578,207.6641387939453,584500,,,,,,,,
2020-01-10,219.00999450683594,220.41000366210938,215.67999267578125,216.0500030517578,205.75938415527344,388600,,,,,,,,
2020-01-13,218.41000366210938,221.3300018310547,217.0,218.27000427246094,207.87362670898438,297700,,,,,,,,
2020-01-14,218.0,219.11000061035156,213.47999572753906,218.39999389648438,207.99745178222656,499000,,,,,,,,
2020-01-15,218.39999389648438,219.5,212.17999267578125,212.88999938964844,202.74990844726562,378200,,,,,,,,
2020-01-16,214.5,216.49000549316406,210.10000610351562,213.02000427246094,202.87374877929688,494000,,,,,,,,
2020-01-17,213.88999938964844,214.82000732421875,211.8300018310547,212.85000610351562,202.71182250976562,272000,,,,,,,,
2020-01-21,211.36000061035156,213.99000549316406,211.05999755859375,212.33999633789062,202.22608947753906,295400,,,,,,,,
2020-01-22,214.52000427246094,215.75,212.3800048828125,213.02999877929688,202.88323974609375,263800,,,,,,,,
2020-01-23,212.55999755859375,213.86000061035156,210.3300018310547,211.02999877929688,200.978515625,275200,,,,,,,,
2020-01-24,212.97999572753906,213.6199951171875,205.42999267578125,206.07000732421875,196.25477600097656,559100,,,,,,,,
2020-01-27,197.24000549316406,197.24000549316406,189.38999938964844,190.2100067138672,181.15016174316406,1157200,,,,,,,,
2020-01-28,192.5,195.52000427246094,186.8300018310547,194.57000732421875,185.30252075195312,591300,,,,,,,,
2020-01-29,195.89999389648438,195.89999389648438,188.1300048828125,188.13999938964844,179.1787872314453,541700,,,,,,,,
2020-01-30,185.88999938964844,187.49000549316406,180.25,183.4199981689453,174.68356323242188,774500,,,,,,,,
2020-01-31,182.0500030517578,182.8699951171875,175.13999938964844,176.1699981689453,167.77890014648438,936400,,,,,,,,
2020-02-03,176.1999969482422,178.61000061035156,171.0800018310547,172.6699981689453,164.4456329345703,884600,,,,,,,,
2020-02-04,177.77000427246094,182.58999633789062,176.75,179.6300048828125,171.07411193847656,1137100,,,,,,,,
2020-02-05,183.66000366210938,184.6699981689453,178.14999389648438,182.9499969482422,174.23599243164062,592700,,,,,,,,
2020-02-06,183.85000610351562,183.85000610351562,180.58999633789062,182.47999572753906,173.7883758544922,328300,,,,,,,,
2020-02-07,180.39999389648438,181.1999969482422,176.9499969482422,177.19000244140625,168.75033569335938,429800,,,,,,,,
2020-02-10,175.85000610351562,181.0,175.02999877929688,180.8699951171875,172.25506591796875,363100,,,,,,,,
2020-02-11,182.47000122070312,187.1300048828125,181.2100067138672,183.1300048828125,174.40740966796875,544000,,,,,,,,
2020-02-12,184.52000427246094,186.88999938964844,183.49000549316406,184.75,175.9502410888672,337100,,,,,,,,
2020-02-13,182.55999755859375,184.41000366210938,180.77999877929688,181.44000244140625,172.7978973388672,383900,,,,,,,,
2020-02-14,182.17999267578125,182.86000061035156,176.8800048828125,177.69000244140625,169.22653198242188,414200,,,,,,,,
2020-02-18,174.05999755859375,179.3300018310547,170.1999969482422,177.74000549316406,169.27415466308594,599000,,,,,,,,
2020-02-19,179.27000427246094,182.5500030517578,177.32000732421875,178.99000549316406,170.46456909179688,958100,,,,,,,,
2020-02-20,179.05999755859375,179.99000549316406,173.47999572753906,178.77000427246094,170.25506591796875,1535900,,,,,,,,
2020-02-21,168.39999389648438,175.05999755859375,158.30999755859375,174.3699951171875,166.0646514892578,2927500,,,,,,,,
2020-02-24,162.19000244140625,166.5500030517578,160.0,160.32000732421875,152.68389892578125,1304000,,,,,,,,
2020-02-25,162.33999633789062,164.77999877929688,153.97999572753906,154.72000122070312,147.3505859375,1052700,,,,,,,,
2020-02-26,155.25,159.5,152.75,153.9600067138672,146.62680053710938,846200,,,,,,,,
2020-02-27,145.6999969482422,153.1199951171875,144.4600067138672,149.1699981689453,142.06494140625,983100,,,,,,,,
2020-02-28,143.33999633789062,159.58999633789062,142.5,158.7899932861328,151.22671508789062,1457900,,,,,,,,
2020-03-02,161.05999755859375,161.94000244140625,153.0500030517578,159.27000427246094,151.68389892578125,719300,,,,,,,,
2020-03-03,159.22000122070312,160.22000122070312,151.3000030517578,154.35000610351562,146.99822998046875,591800,,,,,,,,
