date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HBNB')","('high', 'HBNB')","('low', 'HBNB')","('close', 'HBNB')","('adj_close', 'HBNB')","('volume', 'HBNB')","('currency', '')"
2025-06-03,11.90999984741211,11.90999984741211,10.890000343322754,10.890000343322754,10.890000343322754,400,,,,,,,,
2025-06-04,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,400,,,,,,,,
2025-06-05,10.850000381469727,10.850000381469727,10.819999694824219,10.850000381469727,10.850000381469727,7600,,,,,,,,
2025-06-06,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,228100,,,,,,,,
2025-06-09,10.904999732971191,10.904999732971191,10.819999694824219,10.829999923706055,10.829999923706055,32100,,,,,,,,
2025-06-10,10.84000015258789,10.855999946594238,10.84000015258789,10.855999946594238,10.855999946594238,1100,,,,,,,,
2025-06-11,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,10.850000381469727,100,,,,,,,,
2025-06-12,10.850000381469727,10.859999656677246,10.850000381469727,10.859999656677246,10.859999656677246,1200,,,,,,,,
2025-06-13,10.859999656677246,10.859999656677246,10.829999923706055,10.859999656677246,10.859999656677246,100800,,,,,,,,
2025-06-16,10.859999656677246,10.859999656677246,10.829999923706055,10.84000015258789,10.84000015258789,30000,,,,,,,,
2025-06-17,10.859999656677246,10.859999656677246,10.800000190734863,10.850000381469727,10.850000381469727,49000,,,,,,,,
2025-06-18,10.850000381469727,10.880000114440918,10.800000190734863,10.880000114440918,10.880000114440918,32400,,,,,,,,
2025-06-20,10.800000190734863,11.449999809265137,10.5,10.819999694824219,10.819999694824219,9800,,,,,,,,
2025-06-23,10.90999984741211,10.90999984741211,10.90999984741211,10.90999984741211,10.90999984741211,300,,,,,,,,
2025-06-24,11.010000228881836,15.399999618530273,10.725000381469727,12.470000267028809,12.470000267028809,13300,,,,,,,,
2025-06-25,13.520000457763672,19.280000686645508,9.539999961853027,10.890000343322754,10.890000343322754,267000,,,,,,,,
2025-06-26,10.420000076293945,11.0,9.010000228881836,9.4399995803833,9.4399995803833,22700,,,,,,,,
