date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EACO')","('high', 'EACO')","('low', 'EACO')","('close', 'EACO')","('adj_close', 'EACO')","('volume', 'EACO')","('currency', '')"
2020-01-02,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,0,,,,,,,,
2020-01-03,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,0,,,,,,,,
2020-01-06,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,0,,,,,,,,
2020-01-07,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,23.760000228881836,0,,,,,,,,
2020-01-08,21.649999618530273,21.649999618530273,20.0,20.5,20.5,2500,,,,,,,,
2020-01-09,20.549999237060547,21.149999618530273,20.549999237060547,21.149999618530273,21.149999618530273,600,,,,,,,,
2020-01-10,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,0,,,,,,,,
2020-01-13,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,200,,,,,,,,
2020-01-14,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,0,,,,,,,,
2020-01-15,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,0,,,,,,,,
2020-01-16,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,0,,,,,,,,
2020-01-17,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,21.829999923706055,0,,,,,,,,
2020-01-21,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,21.149999618530273,300,,,,,,,,
2020-01-22,21.0,21.0,21.0,21.0,21.0,500,,,,,,,,
2020-01-23,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-01-24,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-01-27,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-01-28,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-01-29,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-01-30,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-01-31,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-02-03,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-02-04,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-02-05,21.049999237060547,21.25,21.0,21.0,21.0,1000,,,,,,,,
2020-02-06,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-02-07,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-02-10,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2020-02-11,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
