date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EGP')","('high', 'EGP')","('low', 'EGP')","('close', 'EGP')","('adj_close', 'EGP')","('volume', 'EGP')","('currency', '')"
2020-01-02,133.2100067138672,133.2100067138672,129.7899932861328,131.0,111.43885803222656,149600,,,,,,,,
2020-01-03,129.99000549316406,133.07000732421875,129.99000549316406,132.58999633789062,112.79141235351562,132100,,,,,,,,
2020-01-06,132.08999633789062,133.58999633789062,131.7100067138672,132.13999938964844,112.4085922241211,182400,,,,,,,,
2020-01-07,131.5500030517578,131.57000732421875,129.63999938964844,130.16000366210938,110.72427368164062,145300,,,,,,,,
2020-01-08,130.0800018310547,130.89999389648438,129.8300018310547,130.2899932861328,110.8348617553711,136100,,,,,,,,
2020-01-09,130.4600067138672,131.41000366210938,129.9499969482422,130.8000030517578,111.2686996459961,165600,,,,,,,,
2020-01-10,130.86000061035156,131.72000122070312,130.55999755859375,131.47000122070312,111.83863830566406,125600,,,,,,,,
2020-01-13,131.52000427246094,133.11000061035156,131.4600067138672,133.07000732421875,113.19974517822266,159000,,,,,,,,
2020-01-14,133.13999938964844,133.13999938964844,131.75999450683594,132.66000366210938,112.85095977783203,150700,,,,,,,,
2020-01-15,132.92999267578125,134.63999938964844,132.92999267578125,134.0,113.99088287353516,227100,,,,,,,,
2020-01-16,134.3800048828125,135.2100067138672,133.8000030517578,134.88999938964844,114.74797058105469,299100,,,,,,,,
2020-01-17,135.33999633789062,135.69000244140625,134.24000549316406,135.5800018310547,115.33497619628906,138300,,,,,,,,
2020-01-21,135.5800018310547,136.77999877929688,135.42999267578125,136.75999450683594,116.33873748779297,140200,,,,,,,,
2020-01-22,137.27999877929688,137.4600067138672,135.25,135.80999755859375,115.53060150146484,194400,,,,,,,,
2020-01-23,135.72000122070312,138.0800018310547,134.83999633789062,137.5500030517578,117.01077270507812,189400,,,,,,,,
2020-01-24,137.77000427246094,138.36000061035156,136.6300048828125,137.1699981689453,116.68751525878906,97600,,,,,,,,
2020-01-27,136.14999389648438,137.38999938964844,136.14999389648438,136.75999450683594,116.33873748779297,130700,,,,,,,,
2020-01-28,137.1699981689453,137.99000549316406,136.66000366210938,137.32000732421875,116.81512451171875,155100,,,,,,,,
2020-01-29,137.42999267578125,138.44000244140625,136.69000244140625,137.94000244140625,117.34254455566406,139100,,,,,,,,
