date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FMCCN')","('high', 'FMCCN')","('low', 'FMCCN')","('close', 'FMCCN')","('adj_close', 'FMCCN')","('volume', 'FMCCN')","('currency', '')"
2020-01-02,17.489999771118164,17.540000915527344,17.489999771118164,17.540000915527344,17.540000915527344,200,,,,,,,,
2020-01-03,17.540000915527344,17.540000915527344,17.540000915527344,17.540000915527344,17.540000915527344,0,,,,,,,,
2020-01-06,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,100,,,,,,,,
2020-01-07,17.75,18.049999237060547,17.75,18.049999237060547,18.049999237060547,300,,,,,,,,
2020-01-08,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,100,,,,,,,,
2020-01-09,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0,,,,,,,,
2020-01-10,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0,,,,,,,,
2020-01-13,16.770000457763672,16.770000457763672,16.75,16.760000228881836,16.760000228881836,400,,,,,,,,
2020-01-14,16.75,16.75,16.75,16.75,16.75,600,,,,,,,,
2020-01-15,16.75,16.75,16.75,16.75,16.75,100,,,,,,,,
2020-01-16,16.5,16.5,16.5,16.5,16.5,500,,,,,,,,
2020-01-17,16.5,16.5,16.0,16.100000381469727,16.100000381469727,4200,,,,,,,,
2020-01-21,16.1299991607666,16.1299991607666,16.1299991607666,16.1299991607666,16.1299991607666,500,,,,,,,,
2020-01-22,16.1299991607666,16.1299991607666,16.1299991607666,16.1299991607666,16.1299991607666,0,,,,,,,,
2020-01-23,16.25,16.25,16.25,16.25,16.25,200,,,,,,,,
2020-01-24,16.350000381469727,16.350000381469727,16.350000381469727,16.350000381469727,16.350000381469727,100,,,,,,,,
2020-01-27,16.350000381469727,16.350000381469727,16.350000381469727,16.350000381469727,16.350000381469727,0,,,,,,,,
2020-01-28,16.350000381469727,16.350000381469727,16.350000381469727,16.350000381469727,16.350000381469727,0,,,,,,,,
2020-01-29,16.010000228881836,16.010000228881836,15.5,15.989999771118164,15.989999771118164,2700,,,,,,,,
2020-01-30,15.989999771118164,15.989999771118164,15.989999771118164,15.989999771118164,15.989999771118164,0,,,,,,,,
2020-01-31,16.09000015258789,16.09000015258789,16.09000015258789,16.09000015258789,16.09000015258789,100,,,,,,,,
2020-02-03,15.149999618530273,15.149999618530273,14.800000190734863,14.800000190734863,14.800000190734863,300,,,,,,,,
2020-02-04,15.5,15.5,15.5,15.5,15.5,700,,,,,,,,
2020-02-05,15.75,15.75,15.75,15.75,15.75,300,,,,,,,,
2020-02-06,15.75,15.75,15.75,15.75,15.75,100,,,,,,,,
2020-02-07,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,100,,,,,,,,
2020-02-10,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,0,,,,,,,,
2020-02-11,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,400,,,,,,,,
2020-02-12,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,0,,,,,,,,
2020-02-13,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,0,,,,,,,,
2020-02-14,16.489999771118164,16.5,16.399999618530273,16.5,16.5,400,,,,,,,,
2020-02-18,16.5,16.5,16.5,16.5,16.5,0,,,,,,,,
