date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EC.PA')","('high', 'EC.PA')","('low', 'EC.PA')","('close', 'EC.PA')","('adj_close', 'EC.PA')","('volume', 'EC.PA')","('currency', '')"
2020-01-02,135.0,138.5,133.5,134.0,25.011398315429688,2130,,,,,,,,
2020-01-03,136.0,136.0,134.0,134.0,25.011398315429688,2796,,,,,,,,
2020-01-06,134.0,135.5,134.0,134.5,25.104726791381836,2987,,,,,,,,
2020-01-07,135.0,135.0,134.0,134.0,25.011398315429688,858,,,,,,,,
2020-01-08,134.0,135.0,133.5,133.5,24.918073654174805,646,,,,,,,,
2020-01-09,133.5,134.5,132.5,133.5,24.918073654174805,1758,,,,,,,,
2020-01-10,134.0,134.0,132.5,133.5,24.918073654174805,635,,,,,,,,
2020-01-13,133.5,134.0,133.0,134.0,25.011398315429688,218,,,,,,,,
2020-01-14,133.5,134.0,133.0,134.0,25.011398315429688,316,,,,,,,,
2020-01-15,134.0,134.0,131.5,132.0,24.63809585571289,1411,,,,,,,,
2020-01-16,132.5,133.0,132.0,133.0,24.824748992919922,149,,,,,,,,
2020-01-17,133.0,134.0,132.5,133.0,24.824748992919922,161,,,,,,,,
2020-01-20,134.0,134.0,131.0,133.5,24.918073654174805,1426,,,,,,,,
2020-01-21,133.5,133.5,133.0,133.5,24.918073654174805,384,,,,,,,,
2020-01-22,134.0,135.5,134.0,134.5,25.104726791381836,2334,,,,,,,,
2020-01-23,134.0,135.5,133.0,135.0,25.19805335998535,1079,,,,,,,,
2020-01-24,134.0,135.5,134.0,135.0,25.19805335998535,414,,,,,,,,
2020-01-27,136.0,136.0,134.0,134.5,25.104726791381836,1815,,,,,,,,
2020-01-28,134.0,135.0,134.0,134.0,25.011398315429688,856,,,,,,,,
2020-01-29,134.0,135.5,134.0,134.5,25.104726791381836,426,,,,,,,,
2020-01-30,134.0,135.5,133.5,134.5,25.104726791381836,334,,,,,,,,
2020-01-31,134.0,134.5,133.5,134.0,25.011398315429688,956,,,,,,,,
2020-02-03,134.0,134.5,133.0,134.0,25.011398315429688,607,,,,,,,,
2020-02-04,134.0,135.5,132.0,135.0,25.19805335998535,1955,,,,,,,,
2020-02-05,133.5,135.5,131.5,131.5,24.54476547241211,1438,,,,,,,,
2020-02-06,132.0,134.5,132.0,133.5,24.918073654174805,487,,,,,,,,
2020-02-07,134.0,134.0,132.5,133.0,24.824748992919922,272,,,,,,,,
2020-02-10,132.5,134.0,132.5,133.0,24.824748992919922,304,,,,,,,,
2020-02-11,133.0,134.0,132.5,133.0,24.824748992919922,309,,,,,,,,
2020-02-12,133.0,134.0,132.5,133.0,24.824748992919922,219,,,,,,,,
2020-02-13,132.5,133.5,132.5,133.5,24.918073654174805,468,,,,,,,,
2020-02-14,134.0,134.0,132.5,133.0,24.824748992919922,192,,,,,,,,
2020-02-17,132.5,133.5,132.5,132.5,24.73141860961914,374,,,,,,,,
2020-02-18,132.5,133.5,132.5,132.5,24.73141860961914,112,,,,,,,,
2020-02-19,132.5,133.5,132.5,133.5,24.918073654174805,114,,,,,,,,
2020-02-20,133.5,133.5,133.0,133.0,24.824748992919922,63,,,,,,,,
2020-02-21,133.5,133.5,132.5,132.5,24.73141860961914,241,,,,,,,,
2020-02-24,132.0,132.5,128.0,128.0,23.8914852142334,2112,,,,,,,,
2020-02-25,128.5,129.5,121.5,125.5,23.424854278564453,1825,,,,,,,,
2020-02-26,123.0,126.5,121.5,126.0,23.51818084716797,1728,,,,,,,,
2020-02-27,125.5,127.0,121.5,123.5,23.051551818847656,1847,,,,,,,,
2020-02-28,122.0,124.5,120.0,120.5,22.491596221923828,2821,,,,,,,,
2020-03-02,120.5,124.5,120.5,124.0,23.144874572753906,1553,,,,,,,,
2020-03-03,124.0,127.0,120.0,125.5,23.424854278564453,1002,,,,,,,,
2020-03-04,125.5,125.5,121.5,121.5,22.678245544433594,645,,,,,,,,
2020-03-05,125.0,125.0,122.0,123.5,23.051551818847656,519,,,,,,,,
2020-03-06,120.5,121.5,117.5,118.0,22.024961471557617,2169,,,,,,,,
2020-03-09,106.5,107.0,98.0,101.0,18.851877212524414,6801,,,,,,,,
2020-03-10,104.5,105.5,100.5,103.5,19.31850814819336,1883,,,,,,,,
2020-03-11,104.5,105.5,102.5,104.5,19.505157470703125,1187,,,,,,,,
2020-03-12,100.5,101.5,98.0,98.0,18.29191780090332,2315,,,,,,,,
2020-03-13,97.19999694824219,103.0,96.5999984741211,100.0,18.665224075317383,1019,,,,,,,,
2020-03-16,95.0,96.19999694824219,86.80000305175781,88.19999694824219,16.462724685668945,1679,,,,,,,,
2020-03-17,88.0,102.5,88.0,98.0,18.29191780090332,1705,,,,,,,,
2020-03-18,98.5999984741211,100.0,91.5999984741211,94.4000015258789,17.619972229003906,742,,,,,,,,
2020-03-19,93.19999694824219,96.4000015258789,93.19999694824219,95.19999694824219,17.769290924072266,673,,,,,,,,
2020-03-20,97.0,101.0,95.4000015258789,95.4000015258789,17.806625366210938,2038,,,,,,,,
2020-03-23,95.4000015258789,96.19999694824219,92.4000015258789,95.0,17.731962203979492,1108,,,,,,,,
2020-03-24,95.0,98.19999694824219,93.80000305175781,96.0,17.918611526489258,714,,,,,,,,
2020-03-25,98.0,98.0,95.19999694824219,97.0,18.10526466369629,1061,,,,,,,,
2020-03-26,99.0,102.5,99.0,100.0,18.665224075317383,1068,,,,,,,,
2020-03-27,99.0,99.19999694824219,98.0,98.19999694824219,18.329248428344727,2204,,,,,,,,
2020-03-30,98.4000015258789,99.4000015258789,94.0,97.19999694824219,18.142593383789062,4063,,,,,,,,
2020-03-31,96.5999984741211,98.80000305175781,96.5999984741211,97.4000015258789,18.179927825927734,641,,,,,,,,
2020-04-01,98.4000015258789,98.4000015258789,95.19999694824219,96.0,17.918611526489258,593,,,,,,,,
2020-04-02,96.0,98.80000305175781,94.5999984741211,98.80000305175781,18.441242218017578,1176,,,,,,,,
2020-04-03,103.0,103.0,98.5999984741211,99.5999984741211,18.590560913085938,830,,,,,,,,
2020-04-06,99.5999984741211,100.5,96.80000305175781,97.0,18.10526466369629,807,,,,,,,,
2020-04-07,96.4000015258789,98.80000305175781,96.4000015258789,96.4000015258789,17.99327850341797,1070,,,,,,,,
2020-04-08,97.0,97.19999694824219,95.19999694824219,95.19999694824219,17.769290924072266,490,,,,,,,,
2020-04-09,97.19999694824219,97.19999694824219,95.5999984741211,96.80000305175781,18.06793785095215,671,,,,,,,,
2020-04-14,97.0,98.0,95.80000305175781,95.80000305175781,17.881284713745117,941,,,,,,,,
2020-04-15,95.5999984741211,96.5999984741211,94.19999694824219,94.19999694824219,17.582637786865234,878,,,,,,,,
2020-04-16,94.0,96.4000015258789,94.0,95.0,17.731962203979492,411,,,,,,,,
2020-04-17,97.80000305175781,98.19999694824219,95.0,97.0,18.10526466369629,631,,,,,,,,
2020-04-20,98.0,98.0,95.19999694824219,95.19999694824219,17.769290924072266,311,,,,,,,,
2020-04-21,96.0,97.19999694824219,93.19999694824219,94.5999984741211,17.65730094909668,1360,,,,,,,,
2020-04-22,96.4000015258789,97.19999694824219,95.19999694824219,96.80000305175781,18.06793785095215,800,,,,,,,,
2020-04-23,96.5999984741211,104.0,95.4000015258789,101.0,18.851877212524414,831,,,,,,,,
2020-04-24,100.0,101.5,98.5999984741211,100.0,18.665224075317383,770,,,,,,,,
2020-04-27,101.0,102.0,99.80000305175781,100.0,18.665224075317383,604,,,,,,,,
2020-04-28,100.0,101.0,99.80000305175781,101.0,18.851877212524414,717,,,,,,,,
2020-04-29,101.5,103.0,101.0,102.5,19.131855010986328,556,,,,,,,,
2020-04-30,102.5,104.0,100.0,104.0,19.411832809448242,1379,,,,,,,,
2020-05-04,102.0,102.0,100.5,102.0,19.038528442382812,503,,,,,,,,
2020-05-05,102.0,104.0,101.5,103.0,19.22517967224121,2129,,,,,,,,
2020-05-06,104.0,104.0,102.0,103.5,19.31850814819336,471,,,,,,,,
2020-05-07,104.0,104.5,102.0,104.5,19.505157470703125,2374,,,,,,,,
2020-05-08,103.5,107.0,103.0,104.5,19.505157470703125,410,,,,,,,,
2020-05-11,107.0,107.0,105.0,106.5,19.87846565246582,212,,,,,,,,
2020-05-12,106.0,106.0,105.0,105.0,19.598485946655273,103,,,,,,,,
2020-05-13,105.5,106.0,99.4000015258789,100.0,18.665224075317383,1154,,,,,,,,
2020-05-14,100.0,101.0,99.0,99.19999694824219,18.515901565551758,296,,,,,,,,
