date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PPG')","('high', 'PPG')","('low', 'PPG')","('close', 'PPG')","('adj_close', 'PPG')","('volume', 'PPG')","('currency', '')"
2020-01-02,133.97000122070312,134.16000366210938,131.35000610351562,131.60000610351562,117.05575561523438,1393100,,,,,,,,
2020-01-03,130.0500030517578,130.85000610351562,129.6300048828125,129.69000244140625,115.35684967041016,1598400,,,,,,,,
2020-01-06,128.88999938964844,129.97999572753906,128.74000549316406,129.08999633789062,114.82315063476562,1529400,,,,,,,,
2020-01-07,128.58999633789062,129.27999877929688,128.0399932861328,128.0800018310547,113.92478942871094,2217600,,,,,,,,
2020-01-08,128.41000366210938,129.39999389648438,127.83000183105469,128.41000366210938,114.21830749511719,1313000,,,,,,,,
2020-01-09,128.7100067138672,129.08999633789062,128.22999572753906,128.66000366210938,114.44066619873047,1644900,,,,,,,,
2020-01-10,128.86000061035156,129.47000122070312,127.95999908447266,128.08999633789062,113.93366241455078,1699800,,,,,,,,
2020-01-13,127.73999786376953,129.3800048828125,127.45999908447266,129.22000122070312,114.93879699707031,2112300,,,,,,,,
2020-01-14,129.1999969482422,131.0500030517578,129.1999969482422,129.92999267578125,115.5703125,2208400,,,,,,,,
2020-01-15,129.7100067138672,131.8800048828125,129.47999572753906,130.74000549316406,116.29080963134766,1402400,,,,,,,,
2020-01-16,126.3499984741211,129.10000610351562,125.37999725341797,127.41000366210938,113.32882690429688,3290400,,,,,,,,
2020-01-17,127.54000091552734,128.74000549316406,125.83000183105469,128.49000549316406,114.28948211669922,2781500,,,,,,,,
2020-01-21,127.81999969482422,128.1199951171875,125.66999816894531,125.88999938964844,111.9768295288086,1917000,,,,,,,,
2020-01-22,126.18000030517578,126.55999755859375,125.55999755859375,126.16000366210938,112.21698760986328,1401800,,,,,,,,
2020-01-23,125.43000030517578,126.83999633789062,124.6500015258789,126.26000213623047,112.305908203125,2183600,,,,,,,,
2020-01-24,126.62000274658203,126.80000305175781,125.62000274658203,125.80999755859375,111.90565490722656,1191800,,,,,,,,
