date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SECT-B.ST')","('high', 'SECT-B.ST')","('low', 'SECT-B.ST')","('close', 'SECT-B.ST')","('adj_close', 'SECT-B.ST')","('volume', 'SECT-B.ST')","('currency', '')"
2020-01-02,78.19999694824219,80.9000015258789,78.19999694824219,80.9000015258789,77.77190399169922,73780,,,,,,,,
2020-01-03,80.9000015258789,82.30000305175781,76.30000305175781,77.5,74.50335693359375,247785,,,,,,,,
2020-01-07,77.0,80.0,76.30000305175781,80.0,76.90670776367188,127575,,,,,,,,
2020-01-08,80.0,81.0999984741211,77.4000015258789,80.9000015258789,77.77190399169922,407170,,,,,,,,
2020-01-09,80.9000015258789,81.9000015258789,80.5999984741211,81.19999694824219,78.06029510498047,207045,,,,,,,,
2020-01-10,81.19999694824219,82.0,78.5999984741211,78.9000015258789,75.84922790527344,71015,,,,,,,,
2020-01-13,79.0,80.0,77.5,79.0999984741211,76.0414810180664,367085,,,,,,,,
2020-01-14,79.0999984741211,79.0999984741211,77.19999694824219,78.5999984741211,75.56082153320312,248940,,,,,,,,
2020-01-15,77.9000015258789,78.30000305175781,76.5,77.9000015258789,74.88789367675781,108920,,,,,,,,
2020-01-16,79.0999984741211,79.0999984741211,77.0999984741211,79.0,75.94535064697266,303130,,,,,,,,
2020-01-17,79.19999694824219,79.80000305175781,78.0999984741211,79.0,75.94535064697266,284065,,,,,,,,
2020-01-20,77.9000015258789,79.80000305175781,77.9000015258789,79.80000305175781,76.71443176269531,67810,,,,,,,,
2020-01-21,80.69999694824219,80.69999694824219,78.9000015258789,79.9000015258789,76.81056213378906,269770,,,,,,,,
2020-01-22,81.69999694824219,84.4000015258789,80.9000015258789,81.9000015258789,78.73323822021484,217545,,,,,,,,
2020-01-23,81.80000305175781,81.80000305175781,78.5999984741211,80.19999694824219,77.09895324707031,155235,,,,,,,,
2020-01-24,80.0,83.0,79.4000015258789,81.4000015258789,78.2525634765625,265510,,,,,,,,
2020-01-27,81.4000015258789,82.0,79.80000305175781,81.0999984741211,77.96416473388672,149425,,,,,,,,
2020-01-28,81.19999694824219,81.80000305175781,77.5999984741211,80.69999694824219,77.57962799072266,217845,,,,,,,,
2020-01-29,81.80000305175781,82.0999984741211,80.5,82.0,78.8293685913086,112170,,,,,,,,
2020-01-30,82.0,82.80000305175781,78.9000015258789,80.0,76.90670776367188,226100,,,,,,,,
2020-01-31,80.0,80.9000015258789,78.5999984741211,79.19999694824219,76.13762664794922,242290,,,,,,,,
2020-02-03,79.4000015258789,81.0,78.30000305175781,80.0999984741211,77.0028305053711,79065,,,,,,,,
2020-02-04,82.0,82.5,80.80000305175781,81.5999984741211,78.44483184814453,126910,,,,,,,,
2020-02-05,82.69999694824219,83.0999984741211,81.0999984741211,82.0,78.8293685913086,184790,,,,,,,,
2020-02-06,84.0,84.0,80.5,81.5999984741211,78.44483184814453,98745,,,,,,,,
2020-02-07,80.80000305175781,82.0,79.30000305175781,80.0,76.90670776367188,135680,,,,,,,,
2020-02-10,80.0999984741211,81.30000305175781,78.19999694824219,79.69999694824219,76.61829376220703,215365,,,,,,,,
2020-02-11,80.0,81.0,79.5,80.30000305175781,77.19510650634766,85525,,,,,,,,
2020-02-12,80.30000305175781,80.9000015258789,78.5,80.4000015258789,77.2912368774414,88815,,,,,,,,
2020-02-13,80.80000305175781,81.5999984741211,80.0,80.9000015258789,77.77190399169922,216815,,,,,,,,
2020-02-14,80.9000015258789,82.4000015258789,80.0,80.5,77.38736724853516,80050,,,,,,,,
2020-02-17,80.5,81.0999984741211,79.9000015258789,80.9000015258789,77.77190399169922,102995,,,,,,,,
2020-02-18,80.80000305175781,80.9000015258789,78.30000305175781,80.5999984741211,77.48348999023438,67350,,,,,,,,
