date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FANUF')","('high', 'FANUF')","('low', 'FANUF')","('close', 'FANUF')","('adj_close', 'FANUF')","('volume', 'FANUF')","('currency', '')"
2020-01-02,37.15800094604492,37.29800033569336,37.150001525878906,37.29800033569336,33.75081253051758,1000,,,,,,,,
2020-01-03,37.422000885009766,37.422000885009766,37.20800018310547,37.20800018310547,33.66937255859375,500,,,,,,,,
2020-01-06,36.68199920654297,37.41400146484375,36.68199920654297,37.0,33.481143951416016,4500,,,,,,,,
2020-01-07,37.20399856567383,37.70000076293945,37.0,37.70000076293945,34.11457824707031,1000,,,,,,,,
2020-01-08,36.61000061035156,36.9640007019043,36.61000061035156,36.9640007019043,33.44858169555664,70500,,,,,,,,
2020-01-09,36.9640007019043,36.9640007019043,36.9640007019043,36.9640007019043,33.44858169555664,0,,,,,,,,
2020-01-10,37.507999420166016,37.507999420166016,37.5,37.5,33.933597564697266,500,,,,,,,,
2020-01-13,37.5,37.5,37.5,37.5,33.933597564697266,0,,,,,,,,
2020-01-14,38.36399841308594,38.36399841308594,38.36399841308594,38.36399841308594,34.715423583984375,1500,,,,,,,,
2020-01-15,38.36399841308594,38.36399841308594,38.36399841308594,38.36399841308594,34.715423583984375,0,,,,,,,,
2020-01-16,37.763999938964844,37.763999938964844,36.981998443603516,36.981998443603516,33.46487045288086,2000,,,,,,,,
2020-01-17,37.459999084472656,37.459999084472656,37.459999084472656,37.459999084472656,33.89739990234375,500,,,,,,,,
2020-01-21,37.599998474121094,37.70000076293945,37.400001525878906,37.400001525878906,33.84310531616211,4000,,,,,,,,
2020-01-22,37.10599899291992,37.10599899291992,37.09199905395508,37.09199905395508,33.56439971923828,500,,,,,,,,
2020-01-23,37.71799850463867,37.71799850463867,37.52000045776367,37.52000045776367,33.95169448852539,500,,,,,,,,
2020-01-24,36.981998443603516,37.5260009765625,36.981998443603516,37.5260009765625,33.957122802734375,500,,,,,,,,
2020-01-27,36.970001220703125,36.987998962402344,34.88600158691406,36.987998962402344,33.47028732299805,5000,,,,,,,,
2020-01-28,36.68600082397461,36.68600082397461,36.00400161743164,36.00400161743164,32.57987594604492,500,,,,,,,,
2020-01-29,35.95000076293945,36.95000076293945,35.95000076293945,36.95000076293945,33.435909271240234,3000,,,,,,,,
2020-01-30,36.54800033569336,37.38800048828125,36.54800033569336,36.650001525878906,33.16443634033203,500,,,,,,,,
2020-01-31,37.52799987792969,37.52799987792969,36.29999923706055,37.15800094604492,33.62412643432617,1000,,,,,,,,
