date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RCIT')","('high', 'RCIT')","('low', 'RCIT')","('close', 'RCIT')","('adj_close', 'RCIT')","('volume', 'RCIT')","('currency', '')"
2020-01-02,1840.3699951171875,1845.949951171875,1807.1099853515625,1814.5799560546875,1814.5799560546875,0,,,,,,,,
2020-01-03,1814.77001953125,1833.22998046875,1805.760009765625,1830.3699951171875,1830.3699951171875,0,,,,,,,,
2020-01-06,1830.3699951171875,1838.5400390625,1823.4599609375,1832.1099853515625,1832.1099853515625,0,,,,,,,,
2020-01-07,1832.1600341796875,1832.1600341796875,1803.3900146484375,1811.9200439453125,1811.9200439453125,0,,,,,,,,
2020-01-08,1811.1099853515625,1822.489990234375,1808.4300537109375,1818.5699462890625,1818.5699462890625,0,,,,,,,,
2020-01-09,1818.72998046875,1823.3599853515625,1814.469970703125,1818.3499755859375,1818.3499755859375,0,,,,,,,,
2020-01-10,1818.4300537109375,1834.3499755859375,1817.6300048828125,1833.3800048828125,1833.3800048828125,0,,,,,,,,
2020-01-13,1833.449951171875,1854.22998046875,1833.449951171875,1854.2099609375,1854.2099609375,0,,,,,,,,
2020-01-14,1854.3900146484375,1854.3900146484375,1838.0799560546875,1847.780029296875,1847.780029296875,0,,,,,,,,
2020-01-15,1852.31005859375,1867.6300048828125,1852.31005859375,1863.199951171875,1863.199951171875,0,,,,,,,,
2020-01-16,1863.2099609375,1878.050048828125,1863.2099609375,1877.8900146484375,1877.8900146484375,0,,,,,,,,
2020-01-17,1879.8299560546875,1885.6500244140625,1876.6400146484375,1879.4300537109375,1879.4300537109375,0,,,,,,,,
2020-01-21,1879.4300537109375,1898.68994140625,1877.5899658203125,1897.8199462890625,1897.8199462890625,0,,,,,,,,
2020-01-22,1897.8299560546875,1906.8199462890625,1882.8399658203125,1885.93994140625,1885.93994140625,0,,,,,,,,
2020-01-23,1885.969970703125,1901.4200439453125,1879.8599853515625,1900.56005859375,1900.56005859375,0,,,,,,,,
2020-01-24,1902.3599853515625,1905.93994140625,1888.6500244140625,1894.6700439453125,1894.6700439453125,0,,,,,,,,
2020-01-27,1894.6700439453125,1894.6700439453125,1881.0400390625,1886.0899658203125,1886.0899658203125,0,,,,,,,,
2020-01-28,1888.25,1898.1199951171875,1885.9300537109375,1892.800048828125,1892.800048828125,0,,,,,,,,
2020-01-29,1892.9000244140625,1899.0699462890625,1885.0899658203125,1886.5400390625,1886.5400390625,0,,,,,,,,
2020-01-30,1887.1400146484375,1891.5699462890625,1879.18994140625,1888.9100341796875,1888.9100341796875,0,,,,,,,,
2020-01-31,1889.02001953125,1889.02001953125,1861.1500244140625,1866.2900390625,1866.2900390625,0,,,,,,,,
2020-02-03,1866.3299560546875,1885.0899658203125,1866.3299560546875,1871.3199462890625,1871.3199462890625,0,,,,,,,,
2020-02-04,1871.3199462890625,1896.9000244140625,1871.3199462890625,1889.8399658203125,1889.8399658203125,0,,,,,,,,
2020-02-05,1889.8399658203125,1897.5899658203125,1886.5899658203125,1890.7900390625,1890.7900390625,0,,,,,,,,
2020-02-06,1894.010009765625,1903.72998046875,1893.5799560546875,1898.43994140625,1898.43994140625,0,,,,,,,,
2020-02-07,1898.4599609375,1902.4599609375,1893.0,1896.9000244140625,1896.9000244140625,0,,,,,,,,
2020-02-10,1896.9000244140625,1918.6300048828125,1896.9000244140625,1918.5799560546875,1918.5799560546875,0,,,,,,,,
2020-02-11,1918.68994140625,1944.1400146484375,1918.68994140625,1933.5400390625,1933.5400390625,0,,,,,,,,
2020-02-12,1933.5400390625,1949.9599609375,1928.969970703125,1944.719970703125,1944.719970703125,0,,,,,,,,
2020-02-13,1946.0899658203125,1960.1500244140625,1942.0400390625,1956.8499755859375,1956.8499755859375,0,,,,,,,,
2020-02-14,1957.22998046875,1976.81005859375,1957.22998046875,1976.81005859375,1976.81005859375,0,,,,,,,,
2020-02-18,1976.81005859375,1978.8299560546875,1963.9599609375,1974.7900390625,1974.7900390625,0,,,,,,,,
2020-02-19,1974.800048828125,1975.760009765625,1948.8499755859375,1948.8699951171875,1948.8699951171875,0,,,,,,,,
2020-02-20,1948.989990234375,1972.719970703125,1945.43994140625,1972.2900390625,1972.2900390625,0,,,,,,,,
2020-02-21,1972.989990234375,1980.93994140625,1970.0799560546875,1977.6400146484375,1977.6400146484375,0,,,,,,,,
2020-02-24,1977.6400146484375,1977.6400146484375,1943.6199951171875,1951.3699951171875,1951.3699951171875,0,,,,,,,,
2020-02-25,1951.68994140625,1959.6500244140625,1895.0999755859375,1899.9100341796875,1899.9100341796875,0,,,,,,,,
2020-02-26,1899.9100341796875,1918.5699462890625,1880.510009765625,1880.6700439453125,1880.6700439453125,0,,,,,,,,
2020-02-27,1880.989990234375,1880.989990234375,1779.0400390625,1779.0799560546875,1779.0799560546875,0,,,,,,,,
2020-02-28,1779.25,1779.25,1684.3499755859375,1734.300048828125,1734.300048828125,0,,,,,,,,
2020-03-02,1734.31005859375,1813.3900146484375,1734.31005859375,1813.1400146484375,1813.1400146484375,0,,,,,,,,
2020-03-03,1813.1700439453125,1855.1400146484375,1792.81005859375,1807.760009765625,1807.760009765625,0,,,,,,,,
2020-03-04,1807.7900390625,1876.3199462890625,1807.7900390625,1875.6400146484375,1875.6400146484375,0,,,,,,,,
2020-03-05,1876.3800048828125,1876.3800048828125,1814.0999755859375,1833.7900390625,1833.7900390625,0,,,,,,,,
2020-03-06,1833.8599853515625,1833.8599853515625,1748.1500244140625,1804.2900390625,1804.2900390625,0,,,,,,,,
2020-03-09,1804.4599609375,1804.4599609375,1663.8599853515625,1664.760009765625,1664.760009765625,0,,,,,,,,
2020-03-10,1664.760009765625,1734.010009765625,1642.22998046875,1733.300048828125,1733.300048828125,0,,,,,,,,
2020-03-11,1733.52001953125,1733.52001953125,1612.81005859375,1626.2099609375,1626.2099609375,0,,,,,,,,
