date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LXP')","('high', 'LXP')","('low', 'LXP')","('close', 'LXP')","('adj_close', 'LXP')","('volume', 'LXP')","('currency', '')"
2020-01-02,53.150001525878906,53.25,52.0,52.75,39.95734405517578,420520,,,,,,,,
2020-01-03,52.45000076293945,53.650001525878906,52.25,53.599998474121094,40.60120391845703,296160,,,,,,,,
2020-01-06,53.25,54.04999923706055,53.04999923706055,53.70000076293945,40.676944732666016,297040,,,,,,,,
2020-01-07,53.400001525878906,53.75,52.79999923706055,53.04999923706055,40.1845817565918,202480,,,,,,,,
2020-01-08,51.099998474121094,52.599998474121094,50.75,52.54999923706055,39.80583953857422,559960,,,,,,,,
2020-01-09,52.650001525878906,53.0,52.349998474121094,52.650001525878906,39.881587982177734,315780,,,,,,,,
2020-01-10,52.75,53.54999923706055,52.70000076293945,53.45000076293945,40.48757553100586,240820,,,,,,,,
2020-01-13,53.54999923706055,54.150001525878906,53.20000076293945,53.75,40.71482849121094,326320,,,,,,,,
2020-01-14,53.70000076293945,53.95000076293945,53.0,53.29999923706055,40.37395095825195,337920,,,,,,,,
2020-01-15,53.5,54.45000076293945,53.5,54.29999923706055,41.131439208984375,430760,,,,,,,,
2020-01-16,54.54999923706055,55.099998474121094,54.45000076293945,54.75,41.4723014831543,612440,,,,,,,,
2020-01-17,54.95000076293945,54.95000076293945,54.5,54.54999923706055,41.3208122253418,256040,,,,,,,,
2020-01-21,54.599998474121094,54.95000076293945,54.29999923706055,54.849998474121094,41.54806137084961,276500,,,,,,,,
2020-01-22,55.0,55.25,54.29999923706055,54.349998474121094,41.16931915283203,283700,,,,,,,,
2020-01-23,54.400001525878906,55.599998474121094,54.20000076293945,55.25,41.85104751586914,364260,,,,,,,,
2020-01-24,55.25,55.650001525878906,54.45000076293945,54.54999923706055,41.3208122253418,413760,,,,,,,,
2020-01-27,54.20000076293945,54.900001525878906,53.75,54.849998474121094,41.54806137084961,431940,,,,,,,,
2020-01-28,55.0,56.099998474121094,54.54999923706055,56.04999923706055,42.45703887939453,325300,,,,,,,,
2020-01-29,56.20000076293945,56.349998474121094,55.70000076293945,55.900001525878906,42.34341812133789,413360,,,,,,,,
2020-01-30,55.650001525878906,56.20000076293945,55.599998474121094,56.0,42.41916275024414,274140,,,,,,,,
2020-01-31,55.900001525878906,56.20000076293945,54.95000076293945,55.349998474121094,41.92680740356445,364600,,,,,,,,
2020-02-03,55.45000076293945,56.099998474121094,55.20000076293945,55.900001525878906,42.34341812133789,343200,,,,,,,,
2020-02-04,56.099998474121094,56.54999923706055,55.79999923706055,56.20000076293945,42.5706672668457,193220,,,,,,,,
2020-02-05,56.400001525878906,56.400001525878906,55.599998474121094,55.650001525878906,42.154052734375,427860,,,,,,,,
2020-02-06,55.70000076293945,56.400001525878906,55.5,55.75,42.22978973388672,185840,,,,,,,,
2020-02-07,55.79999923706055,56.099998474121094,55.150001525878906,55.25,41.85104751586914,268160,,,,,,,,
2020-02-10,55.400001525878906,56.04999923706055,55.25,56.0,42.41916275024414,272460,,,,,,,,
2020-02-11,56.150001525878906,56.54999923706055,55.75,55.95000076293945,42.38129806518555,328080,,,,,,,,
2020-02-12,56.099998474121094,56.70000076293945,55.150001525878906,56.099998474121094,42.494903564453125,490140,,,,,,,,
2020-02-13,56.0,57.25,55.95000076293945,57.0,43.1766471862793,243800,,,,,,,,
2020-02-14,57.099998474121094,57.849998474121094,57.0,57.75,43.7447624206543,373200,,,,,,,,
2020-02-18,57.75,58.04999923706055,57.400001525878906,57.900001525878906,43.858394622802734,252880,,,,,,,,
2020-02-19,57.900001525878906,57.900001525878906,57.29999923706055,57.45000076293945,43.51750946044922,303380,,,,,,,,
