date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SHAZ')","('high', 'SHAZ')","('low', 'SHAZ')","('close', 'SHAZ')","('adj_close', 'SHAZ')","('volume', 'SHAZ')","('currency', '')"
2025-12-18,95.0,95.0,95.0,95.0,95.0,22,,,,,,,,
2025-12-19,95.0,95.0,95.0,95.0,95.0,13,,,,,,,,
2025-12-22,95.0,95.0,95.0,95.0,95.0,21,,,,,,,,
2025-12-23,92.5,92.5,92.5,92.5,92.5,4,,,,,,,,
2025-12-24,92.5,92.5,92.5,92.5,92.5,0,,,,,,,,
2025-12-26,92.5,92.5,92.5,92.5,92.5,0,,,,,,,,
2025-12-29,92.5,92.5,92.5,92.5,92.5,0,,,,,,,,
2025-12-30,92.5,92.5,92.5,92.5,92.5,0,,,,,,,,
,SHAZ,SHAZ,SHAZ,SHAZ,SHAZ,SHAZ,,,,,,,,
