date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'KWR')","('high', 'KWR')","('low', 'KWR')","('close', 'KWR')","('adj_close', 'KWR')","('volume', 'KWR')","('currency', '')"
2020-01-02,166.0,169.47999572753906,164.52999877929688,169.24000549316406,158.9959716796875,140700,,,,,,,,
2020-01-03,166.9499969482422,168.08999633789062,163.24000549316406,165.8000030517578,155.76416015625,140800,,,,,,,,
2020-01-06,163.66000366210938,167.44000244140625,163.66000366210938,166.4499969482422,156.3748779296875,123200,,,,,,,,
2020-01-07,167.0,169.3699951171875,166.0500030517578,168.2100067138672,158.02835083007812,122100,,,,,,,,
2020-01-08,167.50999450683594,167.58999633789062,160.67999267578125,165.4199981689453,155.4072265625,122400,,,,,,,,
2020-01-09,166.02999877929688,166.82000732421875,162.72999572753906,165.3000030517578,155.2944793701172,94900,,,,,,,,
2020-01-10,166.02000427246094,167.52000427246094,164.35000610351562,165.10000610351562,155.1065216064453,63100,,,,,,,,
2020-01-13,165.10000610351562,167.47999572753906,164.6300048828125,167.19000244140625,157.07008361816406,77700,,,,,,,,
2020-01-14,166.14999389648438,169.67999267578125,166.14999389648438,168.19000244140625,158.0095672607422,91200,,,,,,,,
2020-01-15,167.94000244140625,169.67999267578125,166.11000061035156,167.41000366210938,157.2767333984375,87600,,,,,,,,
2020-01-16,168.3800048828125,169.8699951171875,167.47999572753906,169.60000610351562,159.7014923095703,74700,,,,,,,,
2020-01-17,169.99000549316406,170.25,167.64999389648438,169.0399932861328,159.17413330078125,84000,,,,,,,,
2020-01-21,168.02999877929688,170.44000244140625,167.47000122070312,168.25,158.43028259277344,134700,,,,,,,,
2020-01-22,168.35000610351562,170.0,167.41000366210938,168.5,158.6656494140625,72800,,,,,,,,
2020-01-23,167.4600067138672,171.33999633789062,166.69000244140625,169.55999755859375,159.66378784179688,144900,,,,,,,,
2020-01-24,170.08999633789062,170.08999633789062,167.7100067138672,169.61000061035156,159.7108917236328,85500,,,,,,,,
