date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MINBY')","('high', 'MINBY')","('low', 'MINBY')","('close', 'MINBY')","('adj_close', 'MINBY')","('volume', 'MINBY')","('currency', '')"
2023-04-14,18.1200008392334,18.1200008392334,18.1200008392334,18.1200008392334,18.1200008392334,18100,,,,,,,,
2023-04-21,18.499900817871094,18.499900817871094,18.499900817871094,18.499900817871094,18.499900817871094,815,,,,,,,,
2023-04-24,18.343000411987305,18.343000411987305,18.343000411987305,18.343000411987305,18.343000411987305,317,,,,,,,,
2023-05-03,19.219999313354492,19.219999313354492,19.219999313354492,19.219999313354492,19.219999313354492,425,,,,,,,,
2023-05-09,19.31999969482422,19.329999923706055,19.31999969482422,19.329999923706055,19.329999923706055,462,,,,,,,,
2023-05-11,18.989999771118164,18.989999771118164,18.950000762939453,18.959999084472656,18.959999084472656,700,,,,,,,,
2023-05-17,18.5,18.5,18.5,18.5,18.5,8504,,,,,,,,
2023-05-18,18.799999237060547,18.799999237060547,18.575000762939453,18.575000762939453,18.575000762939453,10266,,,,,,,,
2023-05-30,22.0,22.0,22.0,22.0,22.0,234,,,,,,,,
2023-06-08,19.364999771118164,19.389999389648438,19.364999771118164,19.389999389648438,19.389999389648438,2714,,,,,,,,
2023-06-09,19.5,19.510000228881836,19.5,19.510000228881836,19.510000228881836,816,,,,,,,,
2023-06-12,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,19.56999969482422,183,,,,,,,,
2023-06-13,19.899999618530273,20.149999618530273,19.899999618530273,20.149999618530273,20.149999618530273,227,,,,,,,,
2023-06-21,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,19.8700008392334,100,,,,,,,,
2023-07-24,18.850000381469727,18.850000381469727,18.850000381469727,18.850000381469727,18.850000381469727,11883,,,,,,,,
2023-07-25,18.549999237060547,18.549999237060547,18.549999237060547,18.549999237060547,18.549999237060547,13184,,,,,,,,
2023-07-26,19.5,19.5,19.5,19.5,19.5,185,,,,,,,,
2023-08-04,16.889999389648438,16.889999389648438,16.889999389648438,16.889999389648438,16.889999389648438,796,,,,,,,,
2023-08-07,18.579999923706055,18.579999923706055,18.579999923706055,18.579999923706055,18.579999923706055,818,,,,,,,,
2023-08-15,16.56999969482422,17.058700561523438,16.56999969482422,17.058700561523438,17.058700561523438,1065,,,,,,,,
2023-08-17,16.68000030517578,16.68000030517578,16.68000030517578,16.68000030517578,16.68000030517578,918,,,,,,,,
2023-08-21,16.562400817871094,16.562400817871094,16.059999465942383,16.059999465942383,16.059999465942383,7869,,,,,,,,
2023-08-22,17.31999969482422,17.31999969482422,17.31999969482422,17.31999969482422,17.31999969482422,120,,,,,,,,
2023-08-24,16.969999313354492,16.969999313354492,16.969999313354492,16.969999313354492,16.969999313354492,5146,,,,,,,,
2023-08-25,16.08300018310547,16.08300018310547,16.08300018310547,16.08300018310547,16.08300018310547,972,,,,,,,,
2023-08-28,17.40999984741211,17.40999984741211,17.40999984741211,17.40999984741211,17.40999984741211,100,,,,,,,,
2023-08-30,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,439,,,,,,,,
2023-09-05,16.81999969482422,16.81999969482422,16.81999969482422,16.81999969482422,16.81999969482422,330,,,,,,,,
2023-09-08,15.84000015258789,16.135000228881836,15.84000015258789,16.135000228881836,16.135000228881836,3249,,,,,,,,
2023-09-12,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,176,,,,,,,,
2023-09-13,16.479999542236328,16.479999542236328,16.479999542236328,16.479999542236328,16.479999542236328,376,,,,,,,,
2023-09-18,17.1200008392334,17.1200008392334,17.010000228881836,17.010000228881836,17.010000228881836,535,,,,,,,,
2023-09-26,16.770000457763672,16.770000457763672,16.770000457763672,16.770000457763672,16.770000457763672,126,,,,,,,,
2023-09-29,16.3799991607666,16.3799991607666,16.3799991607666,16.3799991607666,16.3799991607666,312,,,,,,,,
2023-10-12,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,383,,,,,,,,
2023-10-16,17.0,17.0,17.0,17.0,17.0,100,,,,,,,,
2023-10-25,15.5,15.5,15.5,15.5,15.5,138,,,,,,,,
