date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'JKHY')","('high', 'JKHY')","('low', 'JKHY')","('close', 'JKHY')","('adj_close', 'JKHY')","('volume', 'JKHY')","('currency', '')"
2020-01-02,146.47000122070312,146.77999877929688,145.3000030517578,145.88999938964844,135.7091827392578,446400,,,,,,,,
2020-01-03,145.38999938964844,146.00999450683594,144.7100067138672,145.72000122070312,135.55101013183594,205700,,,,,,,,
2020-01-06,144.9199981689453,146.80999755859375,144.50999450683594,146.72999572753906,136.49053955078125,242900,,,,,,,,
2020-01-07,146.38999938964844,146.97000122070312,145.64999389648438,146.47999572753906,136.25799560546875,320700,,,,,,,,
2020-01-08,147.0399932861328,147.74000549316406,146.35000610351562,146.7100067138672,136.471923828125,458500,,,,,,,,
2020-01-09,147.47000122070312,148.64999389648438,147.42999267578125,148.6199951171875,138.24864196777344,311200,,,,,,,,
2020-01-10,148.97999572753906,149.1199951171875,145.36000061035156,145.50999450683594,135.35569763183594,336500,,,,,,,,
2020-01-13,145.7899932861328,147.55999755859375,145.74000549316406,147.19000244140625,136.91845703125,336700,,,,,,,,
2020-01-14,147.17999267578125,147.58999633789062,145.6199951171875,147.07000732421875,136.8068084716797,390200,,,,,,,,
2020-01-15,147.00999450683594,149.36000061035156,146.6199951171875,148.64999389648438,138.2765655517578,437600,,,,,,,,
2020-01-16,149.67999267578125,150.27999877929688,148.5800018310547,149.27000427246094,138.85330200195312,323700,,,,,,,,
2020-01-17,149.44000244140625,149.94000244140625,148.86000061035156,149.47000122070312,139.0393524169922,278500,,,,,,,,
2020-01-21,148.80999755859375,150.82000732421875,148.80999755859375,149.61000061035156,139.16952514648438,293900,,,,,,,,
2020-01-22,150.55999755859375,151.3000030517578,149.55999755859375,149.61000061035156,139.16952514648438,351600,,,,,,,,
2020-01-23,150.02000427246094,152.57000732421875,148.83999633789062,152.41000366210938,141.774169921875,411200,,,,,,,,
2020-01-24,152.4499969482422,153.44000244140625,150.38999938964844,151.25,140.6951141357422,418500,,,,,,,,
2020-01-27,149.0500030517578,150.08999633789062,148.22999572753906,149.0399932861328,138.6393280029297,360800,,,,,,,,
2020-01-28,149.74000549316406,151.11000061035156,148.8000030517578,150.0500030517578,139.57887268066406,813900,,,,,,,,
2020-01-29,149.55999755859375,150.6300048828125,149.47999572753906,149.60000610351562,139.1602783203125,336900,,,,,,,,
2020-01-30,148.55999755859375,153.25999450683594,148.55999755859375,153.07000732421875,142.38812255859375,520500,,,,,,,,
2020-01-31,152.99000549316406,152.99000549316406,149.25,149.5399932861328,139.1044158935547,824500,,,,,,,,
2020-02-03,151.1699981689453,152.91000366210938,150.8699951171875,151.97999572753906,141.37417602539062,397000,,,,,,,,
2020-02-04,153.10000610351562,155.3300018310547,152.7899932861328,153.77000427246094,143.03929138183594,498300,,,,,,,,
2020-02-05,161.42999267578125,164.83999633789062,160.0800018310547,163.97999572753906,152.5367889404297,957300,,,,,,,,
2020-02-06,165.25999450683594,165.74000549316406,162.74000549316406,164.1999969482422,152.74139404296875,937200,,,,,,,,
2020-02-07,164.19000244140625,166.07000732421875,163.5399932861328,165.2899932861328,153.7553253173828,560000,,,,,,,,
2020-02-10,165.2899932861328,168.72000122070312,164.88999938964844,168.3800048828125,156.62974548339844,351800,,,,,,,,
2020-02-11,169.47000122070312,169.7899932861328,167.61000061035156,168.1199951171875,156.38784790039062,426700,,,,,,,,
2020-02-12,168.52999877929688,169.22000122070312,166.13999938964844,169.1199951171875,157.31808471679688,431000,,,,,,,,
2020-02-13,168.44000244140625,169.99000549316406,168.25999450683594,168.9499969482422,157.15997314453125,550800,,,,,,,,
2020-02-14,169.16000366210938,172.17999267578125,168.72999572753906,172.0800018310547,160.07151794433594,351400,,,,,,,,
2020-02-18,171.6199951171875,174.14999389648438,171.19000244140625,172.86000061035156,160.79710388183594,654800,,,,,,,,
2020-02-19,173.75999450683594,174.1199951171875,172.02000427246094,173.82000732421875,161.69012451171875,511600,,,,,,,,
2020-02-20,174.0500030517578,174.92999267578125,172.1199951171875,174.4600067138672,162.28541564941406,388200,,,,,,,,
2020-02-21,173.74000549316406,173.74000549316406,170.08999633789062,171.00999450683594,159.07618713378906,418800,,,,,,,,
2020-02-24,165.52000427246094,169.32000732421875,165.07000732421875,167.92999267578125,156.2111358642578,455300,,,,,,,,
2020-02-25,168.72000122070312,169.0800018310547,163.38999938964844,163.75,152.32281494140625,737000,,,,,,,,
2020-02-26,164.49000549316406,165.27999877929688,160.47999572753906,160.5500030517578,149.34613037109375,602000,,,,,,,,
2020-02-27,157.72999572753906,160.99000549316406,154.22000122070312,154.5500030517578,143.7648468017578,685600,,,,,,,,
2020-02-28,151.77000427246094,153.91000366210938,147.72999572753906,151.74000549316406,141.5447540283203,1178300,,,,,,,,
2020-03-02,152.60000610351562,158.82000732421875,150.4199981689453,158.72999572753906,148.06512451171875,826500,,,,,,,,
2020-03-03,158.6999969482422,161.38999938964844,155.74000549316406,157.7899932861328,147.18821716308594,1557000,,,,,,,,
2020-03-04,160.9499969482422,165.58999633789062,158.35000610351562,165.39999389648438,154.2869415283203,649600,,,,,,,,
2020-03-05,160.4499969482422,165.5500030517578,160.4499969482422,164.99000549316406,153.90451049804688,834200,,,,,,,,
2020-03-06,160.22000122070312,163.83999633789062,156.92999267578125,161.44000244140625,150.593017578125,857600,,,,,,,,
2020-03-09,152.42999267578125,157.0800018310547,150.82000732421875,151.6300048828125,141.442138671875,774000,,,,,,,,
2020-03-10,156.11000061035156,163.49000549316406,151.82000732421875,163.42999267578125,152.4492950439453,925500,,,,,,,,
2020-03-11,161.0,163.02000427246094,157.25999450683594,161.00999450683594,150.19189453125,868800,,,,,,,,
2020-03-12,152.0399932861328,161.3300018310547,149.1999969482422,155.14999389648438,144.72567749023438,1352400,,,,,,,,
2020-03-13,160.49000549316406,162.13999938964844,147.1699981689453,160.89999389648438,150.0893096923828,1468600,,,,,,,,
2020-03-16,148.0,156.07000732421875,144.39999389648438,147.9600067138672,138.01876831054688,1085800,,,,,,,,
2020-03-17,150.83999633789062,162.55999755859375,150.60000610351562,156.19000244140625,145.69577026367188,1044500,,,,,,,,
2020-03-18,145.05999755859375,159.60000610351562,144.07000732421875,158.6300048828125,147.97178649902344,839200,,,,,,,,
2020-03-19,162.6300048828125,162.6300048828125,146.44000244140625,148.57000732421875,138.58775329589844,1172100,,,,,,,,
2020-03-20,152.97000122070312,153.91000366210938,130.3000030517578,134.3300018310547,125.30452728271484,1370100,,,,,,,,
2020-03-23,134.41000366210938,135.41000366210938,123.63999938964844,129.61000061035156,120.90164947509766,950400,,,,,,,,
2020-03-24,133.97999572753906,143.3699951171875,133.89999389648438,142.22999572753906,132.67373657226562,897700,,,,,,,,
2020-03-25,141.32000732421875,146.0399932861328,138.11000061035156,141.86000061035156,132.32859802246094,818600,,,,,,,,
2020-03-26,142.22000122070312,153.1999969482422,141.33999633789062,151.00999450683594,140.86376953125,863700,,,,,,,,
2020-03-27,146.9499969482422,155.22000122070312,145.27999877929688,149.02999877929688,139.01681518554688,545300,,,,,,,,
2020-03-30,150.6300048828125,156.77999877929688,146.49000549316406,156.0500030517578,145.56517028808594,571700,,,,,,,,
2020-03-31,154.50999450683594,158.05999755859375,152.7100067138672,155.24000549316406,144.80960083007812,781000,,,,,,,,
2020-04-01,149.8699951171875,152.5500030517578,144.69000244140625,147.0800018310547,137.1978759765625,624600,,,,,,,,
2020-04-02,144.3300018310547,151.83999633789062,142.57000732421875,151.16000366210938,141.00372314453125,527400,,,,,,,,
2020-04-03,149.9199981689453,157.77000427246094,149.52999877929688,156.2100067138672,145.7144012451172,718800,,,,,,,,
2020-04-06,160.72999572753906,168.6699981689453,159.3800048828125,167.33999633789062,156.09658813476562,960600,,,,,,,,
2020-04-07,171.57000732421875,173.82000732421875,166.00999450683594,167.17999267578125,155.9473419189453,995100,,,,,,,,
2020-04-08,158.8300018310547,170.5,158.8300018310547,169.3800048828125,157.99954223632812,884500,,,,,,,,
2020-04-09,170.67999267578125,171.97000122070312,169.1999969482422,170.16000366210938,158.72718811035156,427000,,,,,,,,
2020-04-13,168.38999938964844,169.77999877929688,162.22000122070312,163.1199951171875,152.16017150878906,439100,,,,,,,,
2020-04-14,165.9199981689453,168.35000610351562,164.0500030517578,168.0,156.71226501464844,503400,,,,,,,,
2020-04-15,164.25999450683594,165.72000122070312,161.2899932861328,163.22000122070312,152.25341796875,423400,,,,,,,,
2020-04-16,166.02000427246094,167.41000366210938,162.80999755859375,165.41000366210938,154.2963104248047,480900,,,,,,,,
2020-04-17,168.66000366210938,170.67999267578125,167.83999633789062,169.66000366210938,158.26072692871094,488500,,,,,,,,
2020-04-20,166.9600067138672,168.1300048828125,165.9600067138672,166.6699981689453,155.4716339111328,476900,,,,,,,,
2020-04-21,164.64999389648438,164.80999755859375,155.0,156.3800048828125,145.87298583984375,442700,,,,,,,,
2020-04-22,157.3300018310547,161.05999755859375,156.00999450683594,159.63999938964844,148.9139862060547,499600,,,,,,,,
2020-04-23,159.60000610351562,160.6699981689453,155.6999969482422,156.1999969482422,145.705078125,526400,,,,,,,,
2020-04-24,157.25999450683594,159.16000366210938,155.25999450683594,159.11000061035156,148.41961669921875,870200,,,,,,,,
2020-04-27,161.25999450683594,164.25,160.25,163.47000122070312,152.48660278320312,415100,,,,,,,,
2020-04-28,164.8000030517578,165.8000030517578,159.9199981689453,160.35000610351562,149.57627868652344,580000,,,,,,,,
2020-04-29,162.3300018310547,165.49000549316406,160.88999938964844,161.27999877929688,150.4437713623047,529100,,,,,,,,
2020-04-30,160.9199981689453,164.38999938964844,159.3699951171875,163.5500030517578,152.56130981445312,801900,,,,,,,,
2020-05-01,160.50999450683594,162.83999633789062,157.39999389648438,158.5,147.8505859375,450900,,,,,,,,
2020-05-04,158.5800018310547,162.75,157.3000030517578,162.02999877929688,151.14340209960938,664200,,,,,,,,
2020-05-05,164.36000061035156,177.57000732421875,164.36000061035156,176.1999969482422,164.36135864257812,1049200,,,,,,,,
2020-05-06,175.1699981689453,179.80999755859375,174.52999877929688,178.5,166.50677490234375,660100,,,,,,,,
2020-05-07,180.35000610351562,185.5500030517578,178.5399932861328,183.80999755859375,171.4599609375,721600,,,,,,,,
2020-05-08,184.30999755859375,185.6699981689453,182.39999389648438,182.7899932861328,170.50857543945312,479300,,,,,,,,
2020-05-11,182.10000610351562,187.88999938964844,180.4199981689453,186.75,174.20249938964844,467300,,,,,,,,
2020-05-12,187.19000244140625,188.75999450683594,184.7899932861328,185.25999450683594,172.81256103515625,547100,,,,,,,,
2020-05-13,184.69000244140625,187.38999938964844,182.25999450683594,185.0800018310547,172.64468383789062,468900,,,,,,,,
2020-05-14,184.27000427246094,185.4199981689453,182.2899932861328,185.22999572753906,172.78457641601562,574100,,,,,,,,
2020-05-15,183.89999389648438,190.11000061035156,182.50999450683594,189.7899932861328,177.03819274902344,795000,,,,,,,,
2020-05-18,193.97000122070312,195.02999877929688,190.35000610351562,190.91000366210938,178.0829620361328,635500,,,,,,,,
2020-05-19,190.97999572753906,193.6999969482422,188.74000549316406,188.75,176.06808471679688,378900,,,,,,,,
2020-05-20,192.02999877929688,193.49000549316406,190.00999450683594,190.47000122070312,177.6725616455078,386000,,,,,,,,
2020-05-21,190.5399932861328,190.5399932861328,185.19000244140625,185.5,173.03640747070312,442200,,,,,,,,
2020-05-22,184.8300018310547,187.08999633789062,183.63999938964844,186.9199981689453,174.36105346679688,313700,,,,,,,,
2020-05-26,189.7899932861328,189.7899932861328,181.75999450683594,182.19000244140625,169.94882202148438,617200,,,,,,,,
2020-05-27,181.77000427246094,185.08999633789062,175.22000122070312,176.72000122070312,165.23635864257812,925700,,,,,,,,
2020-05-28,177.47999572753906,179.94000244140625,176.72000122070312,177.86000061035156,166.30226135253906,743200,,,,,,,,
2020-05-29,179.00999450683594,181.38999938964844,177.25999450683594,180.86000061035156,169.10736083984375,1156700,,,,,,,,
2020-06-01,181.94000244140625,183.00999450683594,179.6699981689453,180.72000122070312,168.9763946533203,544700,,,,,,,,
2020-06-02,182.32000732421875,182.89999389648438,180.19000244140625,182.60000610351562,170.73426818847656,739500,,,,,,,,
2020-06-03,182.3800048828125,182.75,178.0399932861328,178.39999389648438,166.80718994140625,371000,,,,,,,,
2020-06-04,176.22999572753906,178.7899932861328,176.22999572753906,178.07000732421875,166.49864196777344,537000,,,,,,,,
2020-06-05,179.27000427246094,180.14999389648438,175.19000244140625,179.8699951171875,168.18165588378906,673400,,,,,,,,
2020-06-08,178.05999755859375,178.10000610351562,173.57000732421875,176.2899932861328,164.8343048095703,672800,,,,,,,,
2020-06-09,176.97999572753906,179.5,176.61000061035156,178.86000061035156,167.23728942871094,481700,,,,,,,,
2020-06-10,180.52999877929688,183.02999877929688,178.75999450683594,182.33999633789062,170.4911346435547,615100,,,,,,,,
2020-06-11,182.17999267578125,183.0,174.58999633789062,174.89999389648438,163.53463745117188,612500,,,,,,,,
2020-06-12,176.75999450683594,178.17999267578125,170.25999450683594,172.25,161.0568389892578,584100,,,,,,,,
2020-06-15,168.69000244140625,175.32000732421875,168.69000244140625,173.94000244140625,162.63705444335938,399300,,,,,,,,
2020-06-16,179.7899932861328,179.7899932861328,173.55999755859375,175.88999938964844,164.4602813720703,359400,,,,,,,,
2020-06-17,176.13999938964844,179.4600067138672,176.13999938964844,177.8000030517578,166.2461700439453,351700,,,,,,,,
2020-06-18,177.22000122070312,181.63999938964844,176.47999572753906,179.80999755859375,168.1255645751953,480800,,,,,,,,
2020-06-19,182.50999450683594,182.97000122070312,178.75999450683594,181.2899932861328,169.50938415527344,1047600,,,,,,,,
2020-06-22,180.75999450683594,184.75999450683594,180.22999572753906,183.1699981689453,171.2672119140625,421900,,,,,,,,
2020-06-23,183.80999755859375,185.86000061035156,181.1999969482422,182.1199951171875,170.28549194335938,369300,,,,,,,,
2020-06-24,181.67999267578125,183.9499969482422,179.16000366210938,179.69000244140625,168.0133514404297,522800,,,,,,,,
2020-06-25,179.6699981689453,180.38999938964844,176.22000122070312,180.25,168.53700256347656,545100,,,,,,,,
