date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'KOSCF')","('high', 'KOSCF')","('low', 'KOSCF')","('close', 'KOSCF')","('adj_close', 'KOSCF')","('volume', 'KOSCF')","('currency', '')"
2020-01-02,145.0,145.0,145.0,145.0,4.0566323150414973e-05,0,,,,,,,,
2020-01-03,146.1999969482422,146.1999969482422,146.1999969482422,146.1999969482422,4.090205402462743e-05,12,,,,,,,,
2020-01-06,146.1999969482422,146.1999969482422,146.1999969482422,146.1999969482422,4.090205402462743e-05,0,,,,,,,,
2020-01-07,146.1999969482422,146.1999969482422,146.1999969482422,146.1999969482422,4.090205402462743e-05,0,,,,,,,,
2020-01-08,152.0,153.0,152.0,152.0,4.252470898791216e-05,107,,,,,,,,
2020-01-09,153.5,153.5,153.5,153.5,4.2944357119267806e-05,31,,,,,,,,
2020-01-10,158.75,158.75,158.75,158.75,4.4413140130927786e-05,12,,,,,,,,
2020-01-13,159.0,159.0,159.0,159.0,4.44830693595577e-05,3,,,,,,,,
2020-01-14,156.46949768066406,156.46949768066406,156.46949768066406,156.46949768066406,4.377512232167646e-05,22,,,,,,,,
2020-01-15,153.5,153.5,153.5,153.5,4.2944357119267806e-05,3,,,,,,,,
2020-01-16,153.5,153.5,153.5,153.5,4.2944357119267806e-05,0,,,,,,,,
2020-01-17,153.5,153.5,153.5,153.5,4.2944357119267806e-05,0,,,,,,,,
2020-01-21,147.25,147.25,147.25,147.25,4.119580262340605e-05,60,,,,,,,,
2020-01-22,150.75,150.75,150.75,150.75,4.217499008518644e-05,36,,,,,,,,
2020-01-23,150.75,150.75,150.75,150.75,4.217499008518644e-05,0,,,,,,,,
2020-01-24,147.0,147.0,147.0,147.0,4.112586611881852e-05,10,,,,,,,,
2020-01-27,147.0,147.0,147.0,147.0,4.112586611881852e-05,0,,,,,,,,
2020-01-28,144.0,144.0,144.0,144.0,4.0286555304192007e-05,31,,,,,,,,
2020-01-29,144.0,144.0,144.0,144.0,4.0286555304192007e-05,0,,,,,,,,
2020-01-30,144.0,144.0,144.0,144.0,4.0286555304192007e-05,0,,,,,,,,
2020-01-31,128.0,128.0,128.0,128.0,3.5810269764624536e-05,99,,,,,,,,
2020-02-03,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-04,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-05,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-06,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-07,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-10,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-11,128.0,128.0,128.0,128.0,3.5810269764624536e-05,0,,,,,,,,
2020-02-12,134.6699981689453,134.6699981689453,134.6699981689453,134.6699981689453,3.7676327337976545e-05,10,,,,,,,,
2020-02-13,139.0,139.0,139.0,139.0,3.888772698701359e-05,80,,,,,,,,
2020-02-14,139.0,139.0,139.0,139.0,3.888772698701359e-05,0,,,,,,,,
2020-02-18,139.0,139.0,139.0,139.0,3.888772698701359e-05,0,,,,,,,,
2020-02-19,139.0,139.0,139.0,139.0,3.888772698701359e-05,0,,,,,,,,
2020-02-20,139.0,139.0,139.0,139.0,3.888772698701359e-05,0,,,,,,,,
2020-02-21,139.0,139.0,139.0,139.0,3.888772698701359e-05,0,,,,,,,,
2020-02-24,122.0,122.0,122.0,122.0,3.413166632526554e-05,132,,,,,,,,
2020-02-25,122.0,122.0,122.0,122.0,3.413166632526554e-05,0,,,,,,,,
2020-02-26,122.0,122.0,122.0,122.0,3.413166632526554e-05,0,,,,,,,,
2020-02-27,122.0,122.0,122.0,122.0,3.413166632526554e-05,0,,,,,,,,
2020-02-28,122.0,122.0,122.0,122.0,3.413166632526554e-05,0,,,,,,,,
2020-03-02,122.0,122.0,122.0,122.0,3.413166632526554e-05,0,,,,,,,,
2020-03-03,121.9496078491211,121.81285858154297,121.81285858154297,121.81285858154297,3.407930853427388e-05,4000,,,,,,,,
2020-03-04,126.0,126.0,126.0,126.0,3.5250744986115023e-05,16,,,,,,,,
2020-03-05,126.0,126.0,126.0,126.0,3.5250744986115023e-05,0,,,,,,,,
2020-03-06,126.5999984741211,126.5999984741211,126.5999984741211,126.5999984741211,3.541860496625304e-05,11,,,,,,,,
2020-03-09,126.5999984741211,126.5999984741211,126.5999984741211,126.5999984741211,3.541860496625304e-05,0,,,,,,,,
2020-03-10,126.5999984741211,126.5999984741211,126.5999984741211,126.5999984741211,3.541860496625304e-05,0,,,,,,,,
2020-03-11,126.44999694824219,126.44999694824219,126.44999694824219,126.44999694824219,3.537664088071324e-05,1,,,,,,,,
2020-03-12,126.44999694824219,126.44999694824219,126.44999694824219,126.44999694824219,3.537664088071324e-05,0,,,,,,,,
2020-03-13,126.44999694824219,126.44999694824219,126.44999694824219,126.44999694824219,3.537664088071324e-05,0,,,,,,,,
