date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MCD')","('high', 'MCD')","('low', 'MCD')","('close', 'MCD')","('adj_close', 'MCD')","('volume', 'MCD')","('currency', '')"
2020-01-02,198.0,200.8000030517578,197.80999755859375,200.7899932861328,174.76480102539062,3554200,,,,,,,,
2020-01-03,199.38999938964844,200.5500030517578,198.85000610351562,200.0800018310547,174.14682006835938,2767600,,,,,,,,
2020-01-06,199.60000610351562,202.77000427246094,199.35000610351562,202.3300018310547,176.1051788330078,4660400,,,,,,,,
2020-01-07,201.8699951171875,202.67999267578125,200.50999450683594,202.6300048828125,176.3662872314453,4047400,,,,,,,,
2020-01-08,202.6199951171875,206.69000244140625,202.1999969482422,205.91000366210938,179.22117614746094,5284200,,,,,,,,
2020-01-09,206.86000061035156,209.3699951171875,206.10000610351562,208.35000610351562,181.34487915039062,5971600,,,,,,,,
2020-01-10,208.44000244140625,208.9499969482422,207.27000427246094,207.27000427246094,180.4048309326172,2336400,,,,,,,,
2020-01-13,207.3800048828125,207.77999877929688,205.75999450683594,206.50999450683594,179.74337768554688,2784200,,,,,,,,
2020-01-14,205.4600067138672,207.64999389648438,205.4600067138672,207.32000732421875,180.4484100341797,2622700,,,,,,,,
2020-01-15,207.32000732421875,210.35000610351562,207.32000732421875,209.77000427246094,182.5808563232422,3369400,,,,,,,,
2020-01-16,210.11000061035156,211.11000061035156,209.22000122070312,210.85000610351562,183.52085876464844,2726700,,,,,,,,
2020-01-17,211.4199981689453,212.77000427246094,211.35000610351562,211.97999572753906,184.50440979003906,3540400,,,,,,,,
2020-01-21,211.3699951171875,212.25999450683594,210.22000122070312,211.16000366210938,183.7906494140625,4100500,,,,,,,,
2020-01-22,213.16000366210938,213.66000366210938,211.41000366210938,211.44000244140625,184.0343780517578,2757400,,,,,,,,
2020-01-23,210.5399932861328,213.5,208.6199951171875,213.4199981689453,185.75772094726562,3378200,,,,,,,,
2020-01-24,214.17999267578125,214.17999267578125,210.89999389648438,211.24000549316406,183.8603057861328,3106300,,,,,,,,
2020-01-27,207.83999633789062,210.61000061035156,207.3000030517578,209.33999633789062,182.20657348632812,3389300,,,,,,,,
2020-01-28,209.88999938964844,212.2100067138672,209.86000061035156,210.38999938964844,183.12049865722656,3855200,,,,,,,,
2020-01-29,211.69000244140625,216.4199981689453,210.8000030517578,214.44000244140625,186.6455535888672,5734800,,,,,,,,
2020-01-30,214.0,216.74000549316406,212.8300018310547,216.17999267578125,188.1599884033203,3560700,,,,,,,,
2020-01-31,215.52000427246094,217.10000610351562,213.13999938964844,213.97000122070312,186.23646545410156,3920800,,,,,,,,
2020-02-03,214.99000549316406,216.8800048828125,214.22999572753906,215.17999267578125,187.28965759277344,3539200,,,,,,,,
2020-02-04,216.11000061035156,216.69000244140625,214.25,214.6199951171875,186.8022003173828,3367900,,,,,,,,
2020-02-05,215.63999938964844,215.77999877929688,213.00999450683594,214.3699951171875,186.5845947265625,2911400,,,,,,,,
2020-02-06,214.72000122070312,214.82000732421875,212.63999938964844,212.8699951171875,185.279052734375,2903300,,,,,,,,
