date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TFX')","('high', 'TFX')","('low', 'TFX')","('close', 'TFX')","('adj_close', 'TFX')","('volume', 'TFX')","('currency', '')"
2020-01-02,376.7699890136719,379.6700134277344,373.4800109863281,378.489990234375,365.059326171875,262900,,,,,,,,
2020-01-03,372.82000732421875,377.4200134277344,371.6400146484375,374.6199951171875,361.3266296386719,167700,,,,,,,,
2020-01-06,373.3399963378906,380.3599853515625,372.07000732421875,378.989990234375,365.54156494140625,170000,,,,,,,,
2020-01-07,377.010009765625,381.4100036621094,375.92999267578125,378.4100036621094,364.9822082519531,127300,,,,,,,,
2020-01-08,379.760009765625,381.9599914550781,378.8500061035156,379.4599914550781,365.994873046875,178100,,,,,,,,
2020-01-09,381.4700012207031,384.70001220703125,378.7699890136719,379.4100036621094,365.9467468261719,307000,,,,,,,,
2020-01-10,382.05999755859375,383.8699951171875,377.6400146484375,378.70001220703125,365.26190185546875,229500,,,,,,,,
2020-01-13,379.1400146484375,379.3599853515625,376.4100036621094,378.17999267578125,364.7603454589844,148600,,,,,,,,
2020-01-14,377.44000244140625,383.95001220703125,376.0199890136719,383.1400146484375,369.5443115234375,176600,,,,,,,,
2020-01-15,382.3399963378906,386.010009765625,379.75,380.3999938964844,366.90155029296875,152400,,,,,,,,
2020-01-16,382.3399963378906,385.2900085449219,381.7200012207031,384.3800048828125,370.7403259277344,132200,,,,,,,,
2020-01-17,386.2300109863281,388.20001220703125,382.7799987792969,383.7300109863281,370.11346435546875,164900,,,,,,,,
2020-01-21,383.010009765625,386.0,381.82000732421875,383.94000244140625,370.31597900390625,260400,,,,,,,,
2020-01-22,385.92999267578125,389.2699890136719,384.6400146484375,386.3500061035156,372.6404724121094,173300,,,,,,,,
2020-01-23,385.29998779296875,386.25,381.9200134277344,384.82000732421875,371.16473388671875,138200,,,,,,,,
2020-01-24,385.2900085449219,386.3800048828125,379.3399963378906,380.0199890136719,366.53509521484375,98000,,,,,,,,
2020-01-27,375.7099914550781,381.2699890136719,375.1199951171875,378.5199890136719,365.0882263183594,114100,,,,,,,,
2020-01-28,379.7200012207031,382.7900085449219,379.3500061035156,380.3800048828125,366.8822937011719,125800,,,,,,,,
2020-01-29,380.3500061035156,383.1199951171875,379.2099914550781,379.3800048828125,365.9178161621094,145400,,,,,,,,
2020-01-30,376.9800109863281,380.8999938964844,375.1300048828125,380.5,366.9980163574219,167200,,,,,,,,
