date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MRP')","('high', 'MRP')","('low', 'MRP')","('close', 'MRP')","('adj_close', 'MRP')","('volume', 'MRP')","('currency', '')"
2025-02-05,21.5,23.989999771118164,19.0,21.940000534057617,20.632335662841797,2203500,,,,,,,,
2025-02-06,21.549999237060547,23.030000686645508,21.35300064086914,22.989999771118164,21.619754791259766,1790000,,,,,,,,
2025-02-07,23.489999771118164,27.06999969482422,22.260000228881836,26.739999771118164,25.14624786376953,41730700,,,,,,,,
2025-02-10,25.704999923706055,25.950000762939453,22.889999389648438,23.010000228881836,21.63856315612793,15682700,,,,,,,,
2025-02-11,22.079999923706055,23.229999542236328,21.739999771118164,22.5,21.158960342407227,13758100,,,,,,,,
2025-02-12,22.0,22.690000534057617,21.7450008392334,21.790000915527344,20.49127769470215,7847400,,,,,,,,
2025-02-13,21.56999969482422,22.940000534057617,21.56999969482422,22.719999313354492,21.365846633911133,5841700,,,,,,,,
2025-02-14,23.0,23.639999389648438,22.549999237060547,22.920000076293945,21.553926467895508,5650100,,,,,,,,
2025-02-18,22.6299991607666,23.290000915527344,22.200000762939453,23.25,21.864259719848633,5514500,,,,,,,,
2025-02-19,23.989999771118164,23.989999771118164,23.06399917602539,23.5,22.09935760498047,3066700,,,,,,,,
2025-02-20,23.34000015258789,23.739999771118164,23.100000381469727,23.5,22.09935760498047,1523400,,,,,,,,
2025-02-21,23.639999389648438,24.139999389648438,23.360000610351562,23.799999237060547,22.38147735595703,2252100,,,,,,,,
2025-02-24,23.809999465942383,23.899999618530273,23.079999923706055,23.190000534057617,21.807836532592773,2641700,,,,,,,,
2025-02-25,22.8799991607666,23.149999618530273,22.290000915527344,22.600000381469727,21.253000259399414,3025800,,,,,,,,
2025-02-26,22.639999389648438,22.65999984741211,22.209999084472656,22.25,20.923860549926758,2103200,,,,,,,,
2025-02-27,22.780000686645508,23.0,21.920000076293945,22.59000015258789,21.243595123291016,1312100,,,,,,,,
2025-02-28,22.40999984741211,22.8799991607666,22.200000762939453,22.860000610351562,21.49750328063965,1701100,,,,,,,,
2025-03-03,22.520000457763672,23.139999389648438,22.145000457763672,22.239999771118164,20.914457321166992,3309800,,,,,,,,
2025-03-04,22.1200008392334,22.6200008392334,21.799999237060547,22.190000534057617,20.8674373626709,1579600,,,,,,,,
2025-03-05,22.010000228881836,22.649999618530273,22.0,22.389999389648438,21.055517196655273,1310900,,,,,,,,
2025-03-06,22.219999313354492,22.684999465942383,21.4950008392334,21.790000915527344,20.49127769470215,1529600,,,,,,,,
2025-03-07,21.799999237060547,22.360000610351562,21.399999618530273,21.969999313354492,20.66054916381836,1395600,,,,,,,,
2025-03-10,21.700000762939453,22.280000686645508,21.5,21.6200008392334,20.331409454345703,1641400,,,,,,,,
2025-03-11,21.649999618530273,21.860000610351562,21.1299991607666,21.219999313354492,19.95524787902832,1517300,,,,,,,,
