date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EOG')","('high', 'EOG')","('low', 'EOG')","('close', 'EOG')","('adj_close', 'EOG')","('volume', 'EOG')","('currency', '')"
2020-01-02,84.31999969482422,84.61000061035156,83.54000091552734,84.13999938964844,64.14031219482422,2496400,,,,,,,,
2020-01-03,85.58000183105469,86.8499984741211,84.05999755859375,84.98999786376953,64.78827667236328,3716200,,,,,,,,
2020-01-06,85.9000015258789,89.29000091552734,85.77999877929688,88.44000244140625,67.41822052001953,8485500,,,,,,,,
2020-01-07,88.62999725341797,89.33000183105469,87.2300033569336,89.29000091552734,68.06617736816406,4320000,,,,,,,,
2020-01-08,89.23999786376953,89.54000091552734,86.97000122070312,87.33999633789062,66.57968139648438,5337300,,,,,,,,
2020-01-09,86.55000305175781,88.37000274658203,84.70999908447266,88.25,67.27337646484375,6908200,,,,,,,,
2020-01-10,87.55000305175781,87.61000061035156,86.1500015258789,86.2699966430664,65.76400756835938,2950600,,,,,,,,
2020-01-13,85.87999725341797,85.97000122070312,84.33999633789062,85.5199966430664,65.19226837158203,3399700,,,,,,,,
2020-01-14,85.37000274658203,86.66000366210938,84.55999755859375,86.33000183105469,65.80976104736328,4281700,,,,,,,,
2020-01-15,85.68000030517578,86.7699966430664,85.25,86.73999786376953,66.1222915649414,2562500,,,,,,,,
2020-01-16,86.95999908447266,88.08999633789062,86.66999816894531,87.0199966430664,66.5567626953125,5128600,,,,,,,,
2020-01-17,87.06999969482422,87.13999938964844,84.30000305175781,85.30999755859375,65.24884033203125,4542600,,,,,,,,
2020-01-21,85.0999984741211,86.16999816894531,84.02999877929688,84.04000091552734,64.27751159667969,4522700,,,,,,,,
2020-01-22,84.04000091552734,84.0999984741211,82.77999877929688,83.08999633789062,63.55088424682617,4030400,,,,,,,,
2020-01-23,82.0999984741211,82.23999786376953,80.6500015258789,81.83000183105469,62.58719253540039,3369400,,,,,,,,
2020-01-24,81.19999694824219,81.20999908447266,78.97000122070312,79.8499984741211,61.07280731201172,3128800,,,,,,,,
