date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RNLXY')","('high', 'RNLXY')","('low', 'RNLXY')","('close', 'RNLXY')","('adj_close', 'RNLXY')","('volume', 'RNLXY')","('currency', '')"
2020-07-17,348.0,368.5,335.25,337.5,337.5,66487,,,,,,,,
2020-07-20,341.0,369.75,339.5,340.0,340.0,14972,,,,,,,,
2020-07-21,349.5,351.25,334.0,345.0,345.0,11500,,,,,,,,
2020-07-22,345.0,387.5,333.75,368.0,368.0,13397,,,,,,,,
2020-07-23,365.0,397.25,354.75,385.25,385.25,8084,,,,,,,,
2020-07-24,377.5,383.25,357.75,364.75,364.75,8144,,,,,,,,
2020-07-27,360.75,399.25,352.9674987792969,387.25,387.25,4250,,,,,,,,
2020-07-28,381.25,397.45001220703125,377.75,385.75,385.75,1590,,,,,,,,
2020-07-29,381.25,397.5,366.4649963378906,388.5,388.5,2799,,,,,,,,
2020-07-30,380.0,387.625,373.75,378.25,378.25,3379,,,,,,,,
2020-07-31,377.0,392.5,351.5,375.0,375.0,6771,,,,,,,,
2020-08-03,375.0,403.75,375.0,402.5,402.5,3243,,,,,,,,
2020-08-04,385.5,407.49749755859375,388.0,401.25,401.25,1781,,,,,,,,
2020-08-05,405.1650085449219,450.0,405.0,432.5,432.5,4836,,,,,,,,
2020-08-06,439.75,444.0150146484375,425.0,430.0,430.0,2050,,,,,,,,
2020-08-07,426.0,437.5,415.75,430.0,430.0,1596,,,,,,,,
2020-08-10,437.75,445.0,415.0,432.1600036621094,432.1600036621094,1505,,,,,,,,
2020-08-11,414.5,424.75,388.25250244140625,392.0,392.0,2738,,,,,,,,
2020-08-12,387.75,394.5,384.75,391.75,391.75,2002,,,,,,,,
2020-08-13,385.0,390.25,357.75250244140625,380.5,380.5,2802,,,,,,,,
2020-08-14,380.0,380.0,356.5,361.0,361.0,1557,,,,,,,,
2020-08-17,368.75,369.75,354.0,357.75,357.75,1292,,,,,,,,
2020-08-18,362.04998779296875,362.04998779296875,349.75250244140625,351.5,351.5,906,,,,,,,,
2020-08-19,358.25,385.5,352.5,375.0,375.0,1391,,,,,,,,
2020-08-20,373.75,379.25,365.25,374.75,374.75,964,,,,,,,,
2020-08-21,400.0,432.5,350.0,366.25,366.25,16637,,,,,,,,
2020-08-24,362.5,385.0,362.5,368.0,368.0,3054,,,,,,,,
2020-08-25,363.2900085449219,374.75,357.75,367.5,367.5,1137,,,,,,,,
2020-08-26,372.25,383.75,369.25,377.0,377.0,1022,,,,,,,,
2020-08-27,364.875,368.75,345.0,350.75,350.75,3385,,,,,,,,
2020-08-28,355.44000244140625,369.5,351.25250244140625,369.5,369.5,468,,,,,,,,
2020-08-31,377.5,392.5,362.5,382.25,382.25,1645,,,,,,,,
2020-09-01,386.25,418.5,365.5,400.0,400.0,1087,,,,,,,,
2020-09-02,393.0,400.0,377.125,397.5,397.5,789,,,,,,,,
2020-09-03,397.75,397.75,372.5,375.25,375.25,892,,,,,,,,
2020-09-04,393.75,393.75,352.5,357.375,357.375,531,,,,,,,,
2020-09-08,358.75,364.875,352.5,358.75,358.75,332,,,,,,,,
2020-09-09,355.0,363.25,352.5,355.3450012207031,355.3450012207031,299,,,,,,,,
2020-09-10,366.375,377.49749755859375,352.75,357.5,357.5,866,,,,,,,,
2020-09-11,365.2025146484375,365.2025146484375,349.5,349.5,349.5,711,,,,,,,,
2020-09-14,352.4825134277344,356.61749267578125,337.5,337.5,337.5,1234,,,,,,,,
2020-09-15,351.75,351.75,337.5,338.0,338.0,227,,,,,,,,
2020-09-16,351.8125,362.947509765625,344.6549987792969,347.75,347.75,1128,,,,,,,,
2020-09-17,340.0,345.0,330.125,337.5,337.5,1431,,,,,,,,
2020-09-18,344.0,356.0,325.25,325.25,325.25,2140,,,,,,,,
2020-09-21,325.0,325.0,300.25,311.75,311.75,1429,,,,,,,,
2020-09-22,308.0,318.50250244140625,300.0,314.75,314.75,917,,,,,,,,
2020-09-23,312.5,312.5,296.0,301.25,301.25,492,,,,,,,,
2020-09-24,294.5,307.25,271.875,287.5,287.5,1521,,,,,,,,
2020-09-25,282.5299987792969,302.25,275.25,291.25,291.25,430,,,,,,,,
2020-09-28,283.5,283.5,275.0,280.75,280.75,800,,,,,,,,
2020-09-29,269.0,281.375,247.6649932861328,254.5,254.5,3541,,,,,,,,
2020-09-30,255.0,312.5,250.0,304.75,304.75,3479,,,,,,,,
2020-10-01,312.5,323.74749755859375,282.625,287.25,287.25,2347,,,,,,,,
2020-10-02,296.875,311.75,296.25,308.5,308.5,622,,,,,,,,
2020-10-05,312.5,312.5,300.0,300.5,300.5,410,,,,,,,,
2020-10-06,300.0,300.0,280.25,285.5,285.5,1107,,,,,,,,
2020-10-07,300.0,300.0,273.125,280.25,280.25,297,,,,,,,,
2020-10-08,280.5,301.125,280.5,296.5,296.5,769,,,,,,,,
2020-10-09,291.0,302.25,249.125,300.94500732421875,300.94500732421875,2934,,,,,,,,
2020-10-12,308.5,308.5,275.75,281.75,281.75,1299,,,,,,,,
2020-10-13,281.75,287.5,261.875,275.25,275.25,904,,,,,,,,
2020-10-14,276.302490234375,303.0,255.0,284.75,284.75,1164,,,,,,,,
2020-10-15,295.4049987792969,295.75,275.0,282.5,282.5,904,,,,,,,,
