date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HKHC')","('high', 'HKHC')","('low', 'HKHC')","('close', 'HKHC')","('adj_close', 'HKHC')","('volume', 'HKHC')","('currency', '')"
2020-01-02,736.0,736.0,736.0,736.0,727.3875122070312,0,,,,,,,,
2020-01-03,724.0,740.0,720.0,740.0,731.3406982421875,7,,,,,,,,
2020-01-06,740.0,740.0,740.0,740.0,731.3406982421875,2,,,,,,,,
2020-01-07,740.0,764.0,720.0,760.0,751.1066284179688,9,,,,,,,,
2020-01-08,760.0,760.0,760.0,760.0,751.1066284179688,1,,,,,,,,
2020-01-09,760.0,760.0,760.0,760.0,751.1066284179688,0,,,,,,,,
2020-01-10,756.0,760.0,744.0,760.0,751.1066284179688,4,,,,,,,,
2020-01-13,760.0,764.0,740.0,760.0,751.1066284179688,10,,,,,,,,
2020-01-14,760.0,760.0,740.0,740.0,731.3406982421875,3,,,,,,,,
2020-01-15,760.0,764.0,760.0,760.0,751.1066284179688,9,,,,,,,,
2020-01-16,768.0,768.0,768.0,768.0,759.0130004882812,0,,,,,,,,
2020-01-17,768.0,768.0,768.0,768.0,759.0130004882812,0,,,,,,,,
2020-01-21,760.0,768.0,760.0,760.0,751.1066284179688,11,,,,,,,,
2020-01-22,760.0,760.0,760.0,760.0,751.1066284179688,16,,,,,,,,
2020-01-23,764.0,764.0,764.0,764.0,755.059814453125,1,,,,,,,,
2020-01-24,760.0,772.0,740.0,772.0,762.9661865234375,12,,,,,,,,
2020-01-27,768.0,768.0,760.0,760.0,751.1066284179688,4,,,,,,,,
2020-01-28,760.0,820.0,760.0,800.0,790.6385498046875,190,,,,,,,,
2020-01-29,840.0,860.0,832.0,832.0,822.26416015625,13,,,,,,,,
2020-01-30,836.0,836.0,836.0,836.0,826.2172241210938,1,,,,,,,,
2020-01-31,836.0,860.0,800.0,860.0,849.9364624023438,15,,,,,,,,
2020-02-03,832.0,900.0,832.0,900.0,889.4683227539062,4,,,,,,,,
2020-02-04,812.0,868.0,812.0,840.0,830.1705322265625,6,,,,,,,,
2020-02-05,840.0,840.0,840.0,840.0,830.1705322265625,10,,,,,,,,
2020-02-06,880.0,1040.0,860.0,900.0,889.4683227539062,66,,,,,,,,
2020-02-07,940.0,940.0,880.0,904.0,893.4215698242188,34,,,,,,,,
2020-02-10,900.0,900.0,900.0,900.0,889.4683227539062,35,,,,,,,,
2020-02-11,900.0,900.0,900.0,900.0,889.4683227539062,6,,,,,,,,
2020-02-12,900.0,900.0,900.0,900.0,889.4683227539062,1,,,,,,,,
2020-02-13,932.0,1000.0,932.0,1000.0,988.2981567382812,6,,,,,,,,
2020-02-14,920.0,920.0,604.0,900.0,889.4683227539062,6,,,,,,,,
2020-02-18,900.0,920.0,604.0,900.0,889.4683227539062,35,,,,,,,,
2020-02-19,900.0,912.0,900.0,900.0,889.4683227539062,3,,,,,,,,
2020-02-20,900.0,912.0,760.0,900.0,889.4683227539062,119,,,,,,,,
2020-02-21,900.0,900.0,900.0,900.0,889.4683227539062,200,,,,,,,,
2020-02-24,900.0,912.0,768.0,900.0,889.4683227539062,18,,,,,,,,
2020-02-25,900.0,920.0,860.0,900.0,889.4683227539062,72,,,,,,,,
2020-02-26,908.0,920.0,900.0,900.0,889.4683227539062,107,,,,,,,,
2020-02-27,800.0,900.0,700.0,900.0,889.4683227539062,188,,,,,,,,
2020-02-28,800.0,900.0,800.0,860.0,849.9364624023438,23,,,,,,,,
2020-03-02,860.0,860.0,860.0,860.0,849.9364624023438,0,,,,,,,,
2020-03-03,860.0,860.0,800.0,820.0,810.4044799804688,17,,,,,,,,
2020-03-04,820.0,828.0,820.0,820.0,810.4044799804688,24,,,,,,,,
2020-03-05,820.0,840.0,820.0,840.0,830.1705322265625,38,,,,,,,,
2020-03-06,840.0,840.0,840.0,840.0,830.1705322265625,0,,,,,,,,
2020-03-09,820.0,832.0,700.0,800.0,790.6385498046875,187,,,,,,,,
2020-03-10,800.0,800.0,800.0,800.0,790.6385498046875,1,,,,,,,,
2020-03-11,760.0,780.0,760.0,760.0,751.1066284179688,13,,,,,,,,
2020-03-12,760.0,820.0,760.0,760.0,751.1066284179688,17,,,,,,,,
2020-03-13,760.0,760.0,760.0,760.0,751.1066284179688,8,,,,,,,,
2020-03-16,760.0,780.0,700.0,700.0,691.8087768554688,8,,,,,,,,
2020-03-17,700.0,728.0,700.0,728.0,719.4810791015625,22,,,,,,,,
2020-03-18,700.0,760.0,700.0,700.0,691.8087768554688,85,,,,,,,,
2020-03-19,700.0,700.0,612.0,700.0,691.8087768554688,55,,,,,,,,
2020-03-20,700.0,700.0,700.0,700.0,691.8087768554688,0,,,,,,,,
2020-03-23,624.0,624.0,612.0,612.0,604.8385009765625,3,,,,,,,,
2020-03-24,556.0,560.0,556.0,560.0,553.447021484375,14,,,,,,,,
2020-03-25,560.0,560.0,312.0,500.0,494.1490783691406,165,,,,,,,,
2020-03-26,508.0,508.0,500.0,500.0,494.1490783691406,5,,,,,,,,
2020-03-27,500.0,520.0,500.0,520.0,513.9151000976562,24,,,,,,,,
2020-03-30,540.0,540.0,540.0,540.0,533.6810302734375,5,,,,,,,,
