date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GPC')","('high', 'GPC')","('low', 'GPC')","('close', 'GPC')","('adj_close', 'GPC')","('volume', 'GPC')","('currency', '')"
2020-01-02,106.5999984741211,106.83999633789062,104.80999755859375,105.80999755859375,89.163818359375,815100,,,,,,,,
2020-01-03,104.55999755859375,104.87999725341797,103.05999755859375,104.30999755859375,87.89981079101562,799100,,,,,,,,
2020-01-06,103.41999816894531,103.76000213623047,101.68000030517578,102.0999984741211,86.0374984741211,643500,,,,,,,,
2020-01-07,101.72000122070312,103.0,100.7699966430664,101.70999908447266,85.7088394165039,583100,,,,,,,,
2020-01-08,101.70999908447266,102.56999969482422,101.37000274658203,101.41999816894531,85.46446990966797,597300,,,,,,,,
2020-01-09,101.58999633789062,101.7699966430664,100.13999938964844,100.80999755859375,84.95044708251953,707100,,,,,,,,
2020-01-10,101.19999694824219,101.23999786376953,98.58000183105469,98.9000015258789,83.34093475341797,818500,,,,,,,,
2020-01-13,98.80000305175781,99.8499984741211,97.87000274658203,99.69999694824219,84.01506805419922,711900,,,,,,,,
2020-01-14,99.51000213623047,100.16000366210938,99.19000244140625,100.0,84.26787567138672,871200,,,,,,,,
2020-01-15,99.98999786376953,100.75,98.9000015258789,99.30000305175781,83.67801666259766,650900,,,,,,,,
2020-01-16,99.80000305175781,101.58999633789062,99.55000305175781,101.58000183105469,85.59931945800781,714000,,,,,,,,
2020-01-17,102.0,102.83999633789062,101.13999938964844,102.80000305175781,86.62737274169922,953200,,,,,,,,
2020-01-21,102.08999633789062,102.30000305175781,101.04000091552734,101.41999816894531,85.46446990966797,952400,,,,,,,,
2020-01-22,101.73999786376953,102.08000183105469,99.94999694824219,100.20999908447266,84.44482421875,447000,,,,,,,,
2020-01-23,99.66999816894531,100.36000061035156,98.9000015258789,100.16999816894531,84.41111755371094,737400,,,,,,,,
2020-01-24,100.27999877929688,100.4000015258789,97.69000244140625,98.06999969482422,82.64148712158203,657100,,,,,,,,
2020-01-27,96.95999908447266,97.05000305175781,95.68000030517578,96.16000366210938,81.03199768066406,754700,,,,,,,,
2020-01-28,96.87999725341797,97.22000122070312,96.01000213623047,96.58000183105469,81.38592529296875,566900,,,,,,,,
2020-01-29,96.87000274658203,97.93000030517578,96.58999633789062,97.16000366210938,81.87464904785156,564400,,,,,,,,
2020-01-30,96.16000366210938,97.02999877929688,95.55000305175781,96.87999725341797,81.63871002197266,533700,,,,,,,,
2020-01-31,96.69000244140625,96.91000366210938,93.47000122070312,93.56999969482422,78.84944915771484,851800,,,,,,,,
2020-02-03,94.16999816894531,95.54000091552734,93.87999725341797,94.30000305175781,79.464599609375,718200,,,,,,,,
2020-02-04,95.94000244140625,97.16000366210938,95.36000061035156,95.38999938964844,80.38311004638672,674500,,,,,,,,
2020-02-05,96.16000366210938,98.25,96.12000274658203,98.0199966430664,82.599365234375,623400,,,,,,,,
