date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SHMXY')","('high', 'SHMXY')","('low', 'SHMXY')","('close', 'SHMXY')","('adj_close', 'SHMXY')","('volume', 'SHMXY')","('currency', '')"
2025-03-28,15.170000076293945,15.170000076293945,15.170000076293945,15.170000076293945,14.929606437683105,1139,,,,,,,,
2025-03-31,14.0,14.0,14.0,14.0,13.904775619506836,13181,,,,,,,,
2025-04-01,14.0,14.0,14.0,14.0,13.904775619506836,0,,,,,,,,
2025-04-02,14.0,14.0,14.0,14.0,13.904775619506836,0,,,,,,,,
2025-04-03,12.317999839782715,12.317999839782715,12.317999839782715,12.317999839782715,12.23421573638916,124,,,,,,,,
2025-04-04,14.444999694824219,14.444999694824219,14.444999694824219,14.444999694824219,14.346748352050781,126,,,,,,,,
2025-04-07,14.449999809265137,14.449999809265137,14.449999809265137,14.449999809265137,14.351715087890625,217,,,,,,,,
2025-04-08,14.449999809265137,14.449999809265137,14.449999809265137,14.449999809265137,14.351715087890625,0,,,,,,,,
2025-04-09,14.449999809265137,14.449999809265137,14.449999809265137,14.449999809265137,14.351715087890625,0,,,,,,,,
2025-04-10,14.449999809265137,14.449999809265137,14.449999809265137,14.449999809265137,14.351715087890625,0,,,,,,,,
2025-04-11,14.4399995803833,14.4399995803833,14.4399995803833,14.4399995803833,14.341782569885254,118,,,,,,,,
2025-04-14,14.4399995803833,14.4399995803833,14.4399995803833,14.4399995803833,14.341782569885254,0,,,,,,,,
2025-04-15,14.4399995803833,14.4399995803833,14.4399995803833,14.4399995803833,14.341782569885254,0,,,,,,,,
2025-04-16,14.4399995803833,14.4399995803833,14.4399995803833,14.4399995803833,14.341782569885254,0,,,,,,,,
2025-04-17,12.210000038146973,12.210000038146973,11.430000305175781,12.210000038146973,12.126951217651367,421,,,,,,,,
2025-04-21,12.210000038146973,12.210000038146973,12.210000038146973,12.210000038146973,12.126951217651367,0,,,,,,,,
2025-04-22,12.210000038146973,12.210000038146973,12.210000038146973,12.210000038146973,12.126951217651367,0,,,,,,,,
2025-04-23,12.210000038146973,12.210000038146973,12.210000038146973,12.210000038146973,12.126951217651367,0,,,,,,,,
2025-04-24,13.119999885559082,13.119999885559082,13.119999885559082,13.119999885559082,13.03076171875,240,,,,,,,,
2025-04-25,13.119999885559082,13.119999885559082,13.119999885559082,13.119999885559082,13.03076171875,0,,,,,,,,
2025-04-28,13.0,13.0,13.0,13.0,12.911577224731445,175,,,,,,,,
