date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EVOTF')","('high', 'EVOTF')","('low', 'EVOTF')","('close', 'EVOTF')","('adj_close', 'EVOTF')","('volume', 'EVOTF')","('currency', '')"
2020-01-02,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-03,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-06,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-07,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-08,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-09,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-10,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-13,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-14,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-15,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-16,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-17,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-21,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-22,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-23,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-24,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-27,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-28,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-29,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-30,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-01-31,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-03,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-04,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-05,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-06,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-07,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-10,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-11,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-12,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-13,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-14,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-18,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-19,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-20,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-21,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-24,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-25,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-26,20.75,20.75,20.75,20.75,20.75,0,,,,,,,,
2020-02-27,23.5,23.5,23.5,23.5,23.5,100,,,,,,,,
2020-02-28,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-02,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-03,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-04,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-05,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-06,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-09,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-10,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-11,23.5,23.5,23.5,23.5,23.5,0,,,,,,,,
2020-03-12,20.5,20.5,20.5,20.5,20.5,1100,,,,,,,,
2020-03-13,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-16,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-17,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-18,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-19,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-20,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-23,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-24,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-25,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-26,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-27,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-30,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-03-31,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-01,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-02,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-03,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-06,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-07,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-08,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-09,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-13,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-14,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-15,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-16,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-17,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-20,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-21,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-22,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-23,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-24,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-27,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-28,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-29,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-04-30,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2020-05-01,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,1500,,,,,,,,
2020-05-04,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-05,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-06,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-07,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-08,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-11,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-12,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-13,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-14,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,,,,,,,,
2020-05-15,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,100,,,,,,,,
2020-05-18,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-19,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-20,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-21,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-22,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-26,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-27,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-28,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-05-29,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,28.049999237060547,0,,,,,,,,
2020-06-01,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,100,,,,,,,,
2020-06-02,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,27.100000381469727,0,,,,,,,,
2020-06-03,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,66700,,,,,,,,
2020-06-04,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-05,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-08,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-09,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-10,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-11,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-12,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-15,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-16,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-17,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-18,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-19,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-22,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-23,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
2020-06-24,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,27.47930908203125,0,,,,,,,,
