date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MAA')","('high', 'MAA')","('low', 'MAA')","('close', 'MAA')","('adj_close', 'MAA')","('volume', 'MAA')","('currency', '')"
2020-01-02,132.35000610351562,132.5,128.72000122070312,129.61000061035156,105.3590087890625,488100,,,,,,,,
2020-01-03,129.08999633789062,131.2100067138672,129.02000427246094,131.07000732421875,106.54586029052734,481300,,,,,,,,
2020-01-06,130.74000549316406,131.47000122070312,128.7100067138672,131.25999450683594,106.7002944946289,492700,,,,,,,,
2020-01-07,130.50999450683594,130.74000549316406,128.82000732421875,129.3000030517578,105.10701751708984,380800,,,,,,,,
2020-01-08,129.2899932861328,130.4600067138672,129.0,130.22000122070312,105.85489654541016,500600,,,,,,,,
2020-01-09,130.02999877929688,130.75,129.60000610351562,130.3000030517578,105.919921875,353100,,,,,,,,
2020-01-10,130.57000732421875,132.49000549316406,130.08999633789062,132.35000610351562,107.58635711669922,552900,,,,,,,,
2020-01-13,132.16000366210938,133.61000061035156,132.16000366210938,133.52999877929688,108.54557037353516,572100,,,,,,,,
2020-01-14,132.6300048828125,132.74000549316406,130.82000732421875,131.7899932861328,107.93948364257812,475500,,,,,,,,
2020-01-15,131.1199951171875,132.32000732421875,131.1199951171875,132.05999755859375,108.16060638427734,800900,,,,,,,,
2020-01-16,132.30999755859375,133.86000061035156,131.97999572753906,133.69000244140625,109.4956283569336,387000,,,,,,,,
2020-01-17,133.85000610351562,134.27999877929688,133.33999633789062,133.99000549316406,109.74134826660156,537000,,,,,,,,
2020-01-21,134.32000732421875,135.7100067138672,134.16000366210938,135.5500030517578,111.01902770996094,760500,,,,,,,,
2020-01-22,136.3800048828125,136.6199951171875,134.5500030517578,134.92999267578125,110.51122283935547,528800,,,,,,,,
2020-01-23,135.00999450683594,136.5500030517578,134.5,136.41000366210938,111.723388671875,400700,,,,,,,,
2020-01-24,136.6300048828125,136.99000549316406,135.86000061035156,136.9600067138672,112.17383575439453,402200,,,,,,,,
2020-01-27,136.55999755859375,137.4600067138672,136.05999755859375,136.63999938964844,111.9117431640625,417600,,,,,,,,
2020-01-28,136.7100067138672,138.14999389648438,136.33999633789062,137.44000244140625,112.5669937133789,487400,,,,,,,,
2020-01-29,137.5800018310547,137.7899932861328,136.4499969482422,136.5800018310547,111.86260986328125,458100,,,,,,,,
