date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'IFCNF')","('high', 'IFCNF')","('low', 'IFCNF')","('close', 'IFCNF')","('adj_close', 'IFCNF')","('volume', 'IFCNF')","('currency', '')"
2020-01-02,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-03,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-06,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-07,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-08,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-09,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-10,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-13,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-14,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-15,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-16,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-17,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-21,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-22,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-23,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-24,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-27,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-28,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-29,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-30,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-01-31,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-03,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-04,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-05,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-06,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-07,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-10,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-11,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-12,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-13,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-14,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-18,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-19,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-20,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-21,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-24,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-25,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-26,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-27,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-02-28,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-03-02,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-03-03,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
2020-03-04,73.5,73.5,73.5,73.5,69.17050170898438,0,,,,,,,,
