date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ITW')","('high', 'ITW')","('low', 'ITW')","('close', 'ITW')","('adj_close', 'ITW')","('volume', 'ITW')","('currency', '')"
2020-01-02,180.14999389648438,181.6999969482422,178.97999572753906,181.67999267578125,158.77488708496094,1257500,,,,,,,,
2020-01-03,178.7100067138672,180.07000732421875,177.50999450683594,179.11000061035156,156.52891540527344,1400800,,,,,,,,
2020-01-06,178.0399932861328,178.58999633789062,176.8000030517578,178.5399932861328,156.03079223632812,1587300,,,,,,,,
2020-01-07,177.66000366210938,178.38999938964844,176.19000244140625,177.80999755859375,155.39283752441406,1144100,,,,,,,,
2020-01-08,178.25999450683594,179.4600067138672,177.39999389648438,178.74000549316406,156.20558166503906,1168400,,,,,,,,
2020-01-09,179.4499969482422,179.8000030517578,178.11000061035156,179.6300048828125,156.9833984375,1264400,,,,,,,,
2020-01-10,179.50999450683594,180.66000366210938,178.00999450683594,178.24000549316406,155.7686309814453,1157500,,,,,,,,
2020-01-13,178.58999633789062,179.8699951171875,178.1999969482422,179.82000732421875,157.1494140625,698500,,,,,,,,
2020-01-14,179.6999969482422,180.3300018310547,178.2100067138672,178.63999938964844,156.11819458007812,1127000,,,,,,,,
2020-01-15,178.41000366210938,179.2899932861328,177.02000427246094,178.41000366210938,155.91722106933594,1262200,,,,,,,,
2020-01-16,179.52999877929688,180.0,178.36000061035156,179.7899932861328,157.1232147216797,1104200,,,,,,,,
2020-01-17,180.13999938964844,180.72000122070312,179.1300048828125,180.42999267578125,157.6825408935547,2144900,,,,,,,,
2020-01-21,179.22000122070312,179.72000122070312,177.4199981689453,177.8800048828125,155.45401000976562,1175900,,,,,,,,
2020-01-22,179.08999633789062,179.42999267578125,176.97999572753906,177.50999450683594,155.13064575195312,1151000,,,,,,,,
2020-01-23,176.3699951171875,179.77999877929688,175.0500030517578,179.60000610351562,156.95716857910156,1431600,,,,,,,,
2020-01-24,180.0,180.0,175.25999450683594,176.3000030517578,154.0731964111328,1093800,,,,,,,,
2020-01-27,173.02000427246094,174.74000549316406,170.3800048828125,173.3699951171875,151.5126190185547,1226300,,,,,,,,
