date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ITUB')","('high', 'ITUB')","('low', 'ITUB')","('close', 'ITUB')","('adj_close', 'ITUB')","('volume', 'ITUB')","('currency', '')"
2020-01-02,6.701451778411865,6.839701175689697,6.694176197052002,6.825149059295654,5.00004243850708,14889893,,,,,,,,
2020-01-03,6.745110034942627,6.832425117492676,6.716004848480225,6.766939163208008,4.957398891448975,21425239,,,,,,,,
2020-01-06,6.621413230895996,6.701451778411865,6.577754974365234,6.621413230895996,4.85078763961792,18242568,,,,,,,,
2020-01-07,6.512269020080566,6.534098148345947,6.45405912399292,6.461335182189941,4.733516216278076,24101745,,,,,,,,
2020-01-08,6.41767692565918,6.483163833618164,6.352190971374512,6.366743087768555,4.664217472076416,33060858,,,,,,,,
2020-01-09,6.184835910797119,6.257598876953125,6.119349956512451,6.228494167327881,4.562936782836914,49782045,,,,,,,,
2020-01-10,6.257598876953125,6.279428005218506,6.11207389831543,6.1484551429748535,4.504302978515625,38071112,,,,,,,,
2020-01-13,6.119349956512451,6.2139410972595215,6.119349956512451,6.163008213043213,4.514963150024414,48982322,,,,,,,,
2020-01-14,6.11207389831543,6.155731201171875,6.068416118621826,6.155731201171875,4.509632587432861,46384016,,,,,,,,
2020-01-15,6.053863048553467,6.061140060424805,5.9738240242004395,6.0247578620910645,4.41368293762207,42669342,,,,,,,,
2020-01-16,6.017481803894043,6.075692176818848,5.9592719078063965,6.0247578620910645,4.41368293762207,30109212,,,,,,,,
2020-01-17,6.090244770050049,6.119349956512451,6.046586990356445,6.082968235015869,4.456326484680176,29339450,,,,,,,,
2020-01-21,5.937442779541016,5.9592719078063965,5.755536079406738,5.791916847229004,4.243105888366699,48977925,,,,,,,,
2020-01-22,5.850128173828125,5.871955871582031,5.799193859100342,5.828299045562744,4.269759178161621,24330571,,,,,,,,
2020-01-23,5.90106201171875,6.046586990356445,5.8574042320251465,5.9738240242004395,4.376368045806885,47088360,,,,,,,,
2020-01-24,5.9738240242004395,5.99565315246582,5.86467981338501,5.915614128112793,4.3337225914001465,15686316,,,,,,,,
2020-01-27,5.813745975494385,5.8574042320251465,5.755536079406738,5.770089149475098,4.227114677429199,27819717,,,,,,,,
2020-01-28,5.791916847229004,5.806469917297363,5.7191548347473145,5.791916847229004,4.243105888366699,20994250,,,,,,,,
2020-01-29,5.791916847229004,5.821022033691406,5.65366792678833,5.6682209968566895,4.152485370635986,29246133,,,,,,,,
2020-01-30,5.602734088897705,5.682773113250732,5.544524192810059,5.682773113250732,4.16314697265625,65456679,,,,,,,,
2020-01-31,5.580904960632324,5.610010147094727,5.493589878082275,5.537248134613037,4.056538105010986,49465262,,,,,,,,
2020-02-03,5.602734088897705,5.682773113250732,5.602734088897705,5.602734088897705,4.10451078414917,23556686,,,,,,,,
