date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MGPI')","('high', 'MGPI')","('low', 'MGPI')","('close', 'MGPI')","('adj_close', 'MGPI')","('volume', 'MGPI')","('currency', '')"
2020-01-02,48.93000030517578,48.93000030517578,46.81999969482422,47.459999084472656,44.98856735229492,97800,,,,,,,,
2020-01-03,47.25,47.33000183105469,46.540000915527344,46.9900016784668,44.54303741455078,117300,,,,,,,,
2020-01-06,47.130001068115234,47.810001373291016,46.38999938964844,47.40999984741211,44.9411735534668,184200,,,,,,,,
2020-01-07,47.279998779296875,47.380001068115234,46.72999954223633,47.0,44.552528381347656,91300,,,,,,,,
2020-01-08,47.11000061035156,48.11000061035156,47.11000061035156,47.380001068115234,44.91274642944336,98000,,,,,,,,
2020-01-09,47.650001525878906,48.2400016784668,47.150001525878906,48.220001220703125,45.70899963378906,121300,,,,,,,,
2020-01-10,48.209999084472656,49.41999816894531,48.16999816894531,49.11000061035156,46.55265426635742,74700,,,,,,,,
2020-01-13,49.2400016784668,50.66999816894531,49.2400016784668,50.599998474121094,47.96506118774414,120800,,,,,,,,
2020-01-14,50.720001220703125,51.20000076293945,50.41999816894531,50.95000076293945,48.29684066772461,114800,,,,,,,,
2020-01-15,50.86000061035156,52.18000030517578,50.86000061035156,52.16999816894531,49.453304290771484,153900,,,,,,,,
2020-01-16,52.47999954223633,53.33000183105469,52.369998931884766,52.779998779296875,50.03154373168945,112000,,,,,,,,
2020-01-17,44.95000076293945,45.0,36.13999938964844,38.18000030517578,36.19181823730469,2436000,,,,,,,,
2020-01-21,38.810001373291016,39.630001068115234,38.29999923706055,39.04999923706055,37.016517639160156,700400,,,,,,,,
2020-01-22,38.959999084472656,39.459999084472656,38.119998931884766,38.33000183105469,36.334007263183594,277600,,,,,,,,
2020-01-23,38.25,38.290000915527344,37.04999923706055,37.36000061035156,35.41452407836914,405500,,,,,,,,
2020-01-24,37.650001525878906,37.75,36.2599983215332,36.65999984741211,34.750972747802734,195700,,,,,,,,
2020-01-27,36.689998626708984,36.689998626708984,35.0,35.290000915527344,33.45231246948242,355400,,,,,,,,
2020-01-28,35.29999923706055,36.0099983215332,35.040000915527344,35.279998779296875,33.442832946777344,217600,,,,,,,,
