date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MSEX')","('high', 'MSEX')","('low', 'MSEX')","('close', 'MSEX')","('adj_close', 'MSEX')","('volume', 'MSEX')","('currency', '')"
2020-01-02,64.08000183105469,64.08000183105469,61.849998474121094,62.220001220703125,55.82490158081055,55900,,,,,,,,
2020-01-03,61.95000076293945,62.720001220703125,61.95000076293945,62.25,55.85182571411133,63000,,,,,,,,
2020-01-06,61.84000015258789,62.209999084472656,60.959999084472656,61.34000015258789,55.03535079956055,72600,,,,,,,,
2020-01-07,61.09000015258789,61.29999923706055,60.5,60.95000076293945,54.68543243408203,62000,,,,,,,,
2020-01-08,60.95000076293945,61.33000183105469,60.560001373291016,61.29999923706055,54.99946212768555,123700,,,,,,,,
2020-01-09,61.439998626708984,61.97999954223633,61.20000076293945,61.43000030517578,55.11609649658203,58200,,,,,,,,
2020-01-10,61.29999923706055,61.70000076293945,60.650001525878906,61.34000015258789,55.03535079956055,55400,,,,,,,,
2020-01-13,61.439998626708984,62.72999954223633,61.439998626708984,62.65999984741211,56.21968460083008,49500,,,,,,,,
2020-01-14,62.400001525878906,62.79999923706055,61.90999984741211,62.209999084472656,55.81593322753906,41300,,,,,,,,
2020-01-15,62.33000183105469,63.34000015258789,62.029998779296875,63.279998779296875,56.77595520019531,35200,,,,,,,,
2020-01-16,63.43000030517578,64.80999755859375,63.43000030517578,64.7699966430664,58.11280059814453,51100,,,,,,,,
2020-01-17,64.9000015258789,66.19000244140625,64.2699966430664,66.12999725341797,59.33302307128906,79000,,,,,,,,
2020-01-21,66.05000305175781,66.68000030517578,65.5199966430664,66.54000091552734,59.700897216796875,83200,,,,,,,,
2020-01-22,66.86000061035156,66.91000366210938,66.30000305175781,66.73999786376953,59.880332946777344,68200,,,,,,,,
2020-01-23,66.70999908447266,66.81999969482422,66.05999755859375,66.69999694824219,59.84443664550781,68100,,,,,,,,
2020-01-24,66.8499984741211,67.0199966430664,65.75,65.88999938964844,59.1176872253418,55000,,,,,,,,
2020-01-27,65.8499984741211,66.47000122070312,65.79000091552734,65.97000122070312,59.18947982788086,65700,,,,,,,,
2020-01-28,66.1500015258789,67.19000244140625,65.8499984741211,66.30000305175781,59.48556137084961,45900,,,,,,,,
2020-01-29,66.36000061035156,67.05999755859375,65.72000122070312,66.87000274658203,59.99696731567383,57200,,,,,,,,
2020-01-30,66.83999633789062,66.97000122070312,65.7699966430664,66.91000366210938,60.03285598754883,43200,,,,,,,,
2020-01-31,66.91999816894531,67.11000061035156,65.11000061035156,65.26000213623047,58.55243682861328,48200,,,,,,,,
2020-02-03,65.19999694824219,66.55999755859375,65.19999694824219,66.44000244140625,59.61115646362305,46200,,,,,,,,
2020-02-04,66.95999908447266,67.38999938964844,66.51000213623047,66.56999969482422,59.72779846191406,54900,,,,,,,,
