date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PCG-PI')","('high', 'PCG-PI')","('low', 'PCG-PI')","('close', 'PCG-PI')","('adj_close', 'PCG-PI')","('volume', 'PCG-PI')","('currency', '')"
2025-12-30,17.299999237060547,17.399999618530273,17.350000381469727,17.399999618530273,17.399999618530273,767,,,,,,,,
,PCG-PI,PCG-PI,PCG-PI,PCG-PI,PCG-PI,PCG-PI,,,,,,,,
