date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PM')","('high', 'PM')","('low', 'PM')","('close', 'PM')","('adj_close', 'PM')","('volume', 'PM')","('currency', '')"
2020-01-02,85.51000213623047,86.16999816894531,84.76000213623047,85.19000244140625,62.7599983215332,5107200,,,,,,,,
2020-01-03,85.02999877929688,85.94000244140625,84.86000061035156,85.02999877929688,62.6421012878418,3806700,,,,,,,,
2020-01-06,84.91000366210938,86.11000061035156,84.37000274658203,86.0199966430664,63.371456146240234,7041400,,,,,,,,
2020-01-07,85.62999725341797,86.83000183105469,85.2699966430664,86.4000015258789,63.651390075683594,4311600,,,,,,,,
2020-01-08,86.80000305175781,88.3499984741211,86.43000030517578,88.04000091552734,64.85960388183594,5337600,,,,,,,,
2020-01-09,88.37000274658203,88.66999816894531,87.41999816894531,88.27999877929688,65.03638458251953,6180100,,,,,,,,
2020-01-10,88.95999908447266,89.0,87.33000183105469,87.45999908447266,64.43230438232422,4411000,,,,,,,,
2020-01-13,87.41000366210938,88.44999694824219,87.2699966430664,87.81999969482422,64.69752502441406,5402900,,,,,,,,
2020-01-14,87.69999694824219,87.94000244140625,87.23999786376953,87.58000183105469,64.52072143554688,5129300,,,,,,,,
2020-01-15,87.30999755859375,88.88999938964844,87.30000305175781,88.31999969482422,65.06586456298828,4155400,,,,,,,,
2020-01-16,88.62000274658203,88.87000274658203,88.19000244140625,88.55999755859375,65.24267578125,2602300,,,,,,,,
2020-01-17,88.58000183105469,88.87999725341797,87.73999786376953,88.69000244140625,65.33845520019531,5908400,,,,,,,,
2020-01-21,88.44000244140625,88.98999786376953,87.9000015258789,88.87000274658203,65.4710693359375,6373200,,,,,,,,
2020-01-22,88.56999969482422,89.12999725341797,88.48999786376953,88.9800033569336,65.55210876464844,4595700,,,,,,,,
2020-01-23,88.55999755859375,88.81999969482422,87.0199966430664,87.08000183105469,64.15235900878906,4592100,,,,,,,,
2020-01-24,86.83000183105469,87.33000183105469,85.63999938964844,86.1500015258789,63.467227935791016,3888700,,,,,,,,
2020-01-27,85.44999694824219,85.9000015258789,84.56999969482422,84.70999908447266,62.40636444091797,3795400,,,,,,,,
2020-01-28,84.55000305175781,84.94000244140625,84.06999969482422,84.68000030517578,62.38425827026367,5263700,,,,,,,,
