date,open,high,low,close,adj_close,volume,currency
,NUGN,NUGN,NUGN,NUGN,NUGN,NUGN,
2020-01-06,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-07,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-08,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-09,36.0,49.79999923706055,36.0,36.0,36.0,1,USD
2020-01-10,36.0,36.0,36.0,36.0,36.0,0,USD
2020-01-13,36.0,36.0,36.0,36.0,36.0,0,USD
2020-01-14,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-15,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-16,22.0,36.0,22.0,36.0,36.0,0,USD
2020-01-17,36.0,36.0,36.0,36.0,36.0,0,USD
2020-01-21,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-22,36.0,36.0,36.0,36.0,36.0,0,USD
2020-01-23,36.0,36.0,36.0,36.0,36.0,0,USD
2020-01-24,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-27,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-28,50.0,50.0,50.0,50.0,50.0,0,USD
2020-01-29,22.0,34.599998474121094,22.0,22.0,22.0,0,USD
2020-01-30,22.0,22.0,22.0,22.0,22.0,0,USD
2020-01-31,22.0,22.0,22.0,22.0,22.0,0,USD
2020-02-03,22.0,22.0,22.0,22.0,22.0,0,USD
2020-02-04,22.0,22.0,22.0,22.0,22.0,0,USD
2020-02-05,22.0,34.599998474121094,22.0,22.0,22.0,0,USD
2020-02-06,22.0,50.0,22.0,40.0,40.0,19,USD
2020-02-07,40.0,40.0,40.0,40.0,40.0,0,USD
2020-02-10,24.0,56.0,24.0,56.0,56.0,0,USD
2020-02-11,24.0,56.0,24.0,56.0,56.0,0,USD
2020-02-12,30.0,30.0,30.0,30.0,30.0,0,USD
2020-02-13,40.0,40.0,40.0,40.0,40.0,1,USD
2020-02-14,46.400001525878906,47.0,46.400001525878906,47.0,47.0,0,USD
2020-02-18,47.0,47.0,47.0,47.0,47.0,0,USD
2020-02-19,47.0,47.0,47.0,47.0,47.0,0,USD
2020-02-20,54.0,54.0,54.0,54.0,54.0,0,USD
2020-02-21,36.0,36.0,36.0,36.0,36.0,0,USD
2020-02-24,40.0,40.0,40.0,40.0,40.0,4,USD
2020-02-25,54.0,54.0,54.0,54.0,54.0,0,USD
2020-02-26,36.0,36.0,36.0,36.0,36.0,0,USD
2020-02-27,36.0,36.0,36.0,36.0,36.0,0,USD
2020-02-28,26.0,54.0,26.0,54.0,54.0,0,USD
2020-03-02,58.0,58.0,42.0,42.0,42.0,2,USD
2020-03-03,42.0,42.0,42.0,42.0,42.0,0,USD
2020-03-04,42.0,42.0,42.0,42.0,42.0,0,USD
2020-03-05,42.0,42.0,26.0,28.0,28.0,0,USD
2020-03-06,28.0,28.0,28.0,28.0,28.0,0,USD
2020-03-09,32.0,32.0,24.0,24.0,24.0,0,USD
2020-03-10,40.0,40.0,40.0,40.0,40.0,4,USD
2020-03-11,24.0,30.0,24.0,30.0,30.0,0,USD
2020-03-12,30.0,30.0,30.0,30.0,30.0,0,USD
2020-03-13,40.0,40.0,40.0,40.0,40.0,0,USD
2020-03-16,40.0,40.0,40.0,40.0,40.0,0,USD
2020-03-17,40.0,40.0,40.0,40.0,40.0,0,USD
2020-03-18,36.0,36.0,24.0,26.0,26.0,1,USD
2020-03-19,26.0,26.0,26.0,26.0,26.0,0,USD
2020-03-20,26.0,26.0,26.0,26.0,26.0,0,USD
2020-03-23,26.0,26.0,24.0,24.0,24.0,10,USD
2020-03-24,24.0,24.0,24.0,24.0,24.0,0,USD
2020-03-25,24.0,24.0,24.0,24.0,24.0,0,USD
2020-03-26,24.0,24.0,24.0,24.0,24.0,0,USD
2020-03-27,24.0,54.0,24.0,54.0,54.0,20,USD
2020-03-30,51.400001525878906,54.0,45.0,54.0,54.0,8,USD
2020-03-31,54.0,54.0,30.0,30.0,30.0,0,USD
2020-04-01,36.0,36.0,36.0,36.0,36.0,0,USD
2020-04-02,36.0,36.0,36.0,36.0,36.0,0,USD
2020-04-03,26.0,28.0,26.0,28.0,28.0,0,USD
2020-04-06,48.0,48.0,46.0,48.0,48.0,1,USD
2020-04-07,28.0,28.0,28.0,28.0,28.0,0,USD
2020-04-08,41.0,41.0,41.0,41.0,41.0,0,USD
2020-04-09,28.0,28.0,28.0,28.0,28.0,0,USD
2020-04-13,28.0,33.20000076293945,28.0,33.20000076293945,33.20000076293945,0,USD
2020-04-14,33.20000076293945,33.20000076293945,33.20000076293945,33.20000076293945,33.20000076293945,0,USD
2020-04-15,28.0,28.0,28.0,28.0,28.0,0,USD
2020-04-16,28.0,28.0,28.0,28.0,28.0,0,USD
2020-04-17,28.0,28.0,24.0,24.0,24.0,1,USD
2020-04-20,24.0,24.0,24.0,24.0,24.0,0,USD
