date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TROW')","('high', 'TROW')","('low', 'TROW')","('close', 'TROW')","('adj_close', 'TROW')","('volume', 'TROW')","('currency', '')"
2020-01-02,122.3499984741211,125.16999816894531,122.25,125.16000366210938,97.48828887939453,1399600,,,,,,,,
2020-01-03,123.9000015258789,125.54000091552734,123.11000061035156,124.75,97.16893768310547,958800,,,,,,,,
2020-01-06,124.16000366210938,125.56999969482422,123.27999877929688,125.5199966430664,97.7686996459961,771300,,,,,,,,
2020-01-07,125.41999816894531,126.66999816894531,125.25,126.0199966430664,98.15814208984375,826700,,,,,,,,
2020-01-08,126.5,128.0,126.25,127.22000122070312,99.09285736083984,751100,,,,,,,,
2020-01-09,127.69000244140625,128.47999572753906,126.83000183105469,128.27999877929688,99.9184799194336,903200,,,,,,,,
2020-01-10,128.42999267578125,128.8699951171875,127.12999725341797,127.45999908447266,99.27979278564453,955000,,,,,,,,
2020-01-13,127.97000122070312,131.07000732421875,127.81999969482422,131.02999877929688,102.06047821044922,1733200,,,,,,,,
2020-01-14,131.0399932861328,131.25,129.4199981689453,129.72999572753906,101.04788970947266,980800,,,,,,,,
2020-01-15,129.72000122070312,130.72000122070312,129.00999450683594,130.14999389648438,101.37505340576172,663100,,,,,,,,
2020-01-16,131.02000427246094,132.0399932861328,130.74000549316406,132.02000427246094,102.83160400390625,921900,,,,,,,,
2020-01-17,132.49000549316406,132.75999450683594,131.58999633789062,132.25999450683594,103.01853942871094,1418600,,,,,,,,
2020-01-21,131.74000549316406,132.9199981689453,131.60000610351562,132.3000030517578,103.0497055053711,1491700,,,,,,,,
2020-01-22,132.91000366210938,133.5399932861328,132.24000549316406,132.58999633789062,103.27558135986328,1178100,,,,,,,,
2020-01-23,131.44000244140625,133.25,130.63999938964844,133.2100067138672,103.75851440429688,1108400,,,,,,,,
2020-01-24,133.9600067138672,134.55999755859375,130.3699951171875,131.17999267578125,102.17732238769531,1019900,,,,,,,,
2020-01-27,130.02000427246094,130.6999969482422,127.43000030517578,128.5399932861328,100.1209945678711,1197400,,,,,,,,
2020-01-28,130.08999633789062,131.94000244140625,129.07000732421875,131.3000030517578,102.27078247070312,1336000,,,,,,,,
2020-01-29,134.14999389648438,137.49000549316406,132.5,136.1199951171875,106.02513885498047,1782100,,,,,,,,
2020-01-30,132.39999389648438,136.64999389648438,132.27999877929688,136.57000732421875,106.37564086914062,1521100,,,,,,,,
2020-01-31,136.25,136.33999633789062,133.08999633789062,133.52999877929688,104.00775909423828,1954800,,,,,,,,
2020-02-03,134.27999877929688,136.0,133.14999389648438,134.52000427246094,104.77888488769531,1477800,,,,,,,,
2020-02-04,136.5,137.89999389648438,135.6999969482422,136.80999755859375,106.56256103515625,1122500,,,,,,,,
2020-02-05,138.97999572753906,138.99000549316406,135.69000244140625,137.94000244140625,107.4427719116211,1172600,,,,,,,,
2020-02-06,138.1999969482422,139.47000122070312,136.9499969482422,137.77000427246094,107.31034851074219,1058000,,,,,,,,
2020-02-07,137.2899932861328,138.57000732421875,136.77000427246094,138.24000549316406,107.67642211914062,729000,,,,,,,,
2020-02-10,138.0,138.8000030517578,137.41000366210938,138.47999572753906,107.8633804321289,783100,,,,,,,,
