date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GTBIF')","('high', 'GTBIF')","('low', 'GTBIF')","('close', 'GTBIF')","('adj_close', 'GTBIF')","('volume', 'GTBIF')","('currency', '')"
2020-01-02,9.880000114440918,9.880000114440918,9.229999542236328,9.449999809265137,9.449999809265137,622700,,,,,,,,
2020-01-03,9.449999809265137,9.489999771118164,9.093000411987305,9.199999809265137,9.199999809265137,293800,,,,,,,,
2020-01-06,9.199999809265137,9.402999877929688,9.149999618530273,9.22599983215332,9.22599983215332,274900,,,,,,,,
2020-01-07,9.300000190734863,9.300000190734863,8.723999977111816,8.920000076293945,8.920000076293945,317700,,,,,,,,
2020-01-08,8.824999809265137,9.449999809265137,8.75,9.300000190734863,9.300000190734863,443900,,,,,,,,
2020-01-09,9.319999694824219,9.649999618530273,9.3100004196167,9.5,9.5,292800,,,,,,,,
2020-01-10,9.5,9.666999816894531,9.428000450134277,9.630000114440918,9.630000114440918,224000,,,,,,,,
2020-01-13,9.600000381469727,9.850000381469727,9.600000381469727,9.670000076293945,9.670000076293945,330000,,,,,,,,
2020-01-14,9.704999923706055,9.930000305175781,9.628999710083008,9.770000457763672,9.770000457763672,235100,,,,,,,,
2020-01-15,10.050000190734863,10.319999694824219,9.84000015258789,10.119999885559082,10.119999885559082,433500,,,,,,,,
2020-01-16,10.36299991607666,10.5,10.029999732971191,10.152999877929688,10.152999877929688,281100,,,,,,,,
2020-01-17,10.119999885559082,10.479999542236328,10.097000122070312,10.329999923706055,10.329999923706055,271700,,,,,,,,
2020-01-21,10.390000343322754,10.390000343322754,9.887999534606934,10.130000114440918,10.130000114440918,344500,,,,,,,,
2020-01-22,10.015000343322754,10.479999542236328,9.970000267028809,10.03499984741211,10.03499984741211,143300,,,,,,,,
2020-01-23,9.789999961853027,10.300000190734863,9.779999732971191,10.260000228881836,10.260000228881836,137700,,,,,,,,
2020-01-24,10.0600004196167,10.300000190734863,9.8100004196167,9.9350004196167,9.9350004196167,246400,,,,,,,,
2020-01-27,9.8100004196167,9.9399995803833,9.420000076293945,9.800000190734863,9.800000190734863,229700,,,,,,,,
2020-01-28,9.989999771118164,10.069999694824219,9.600000381469727,9.694000244140625,9.694000244140625,170100,,,,,,,,
