date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GD')","('high', 'GD')","('low', 'GD')","('close', 'GD')","('adj_close', 'GD')","('volume', 'GD')","('currency', '')"
2020-01-02,177.4499969482422,179.0399932861328,176.9199981689453,178.42999267578125,155.00633239746094,1472100,,,,,,,,
2020-01-03,178.0,180.42999267578125,178.0,180.17999267578125,156.52658081054688,1662200,,,,,,,,
2020-01-06,181.5500030517578,182.97999572753906,181.0,182.08999633789062,158.18588256835938,1957000,,,,,,,,
2020-01-07,180.4199981689453,181.6300048828125,179.75,180.02000427246094,156.38758850097656,1454600,,,,,,,,
2020-01-08,180.1999969482422,181.94000244140625,179.60000610351562,180.47999572753906,156.78720092773438,1226400,,,,,,,,
2020-01-09,181.0,182.91000366210938,180.9600067138672,181.61000061035156,157.76889038085938,1581600,,,,,,,,
2020-01-10,181.50999450683594,181.7899932861328,179.41000366210938,179.50999450683594,155.94456481933594,831700,,,,,,,,
2020-01-13,180.24000549316406,182.08999633789062,180.0399932861328,181.1300048828125,157.3518829345703,898000,,,,,,,,
2020-01-14,181.0,181.52999877929688,179.66000366210938,180.97000122070312,157.21286010742188,917900,,,,,,,,
2020-01-15,181.07000732421875,182.9600067138672,181.07000732421875,181.61000061035156,157.76889038085938,1174700,,,,,,,,
2020-01-16,181.52999877929688,183.07000732421875,181.11000061035156,182.39999389648438,159.35012817382812,1289900,,,,,,,,
2020-01-17,182.77999877929688,183.1199951171875,181.47999572753906,181.88999938964844,158.90460205078125,1820000,,,,,,,,
2020-01-21,181.4600067138672,184.55999755859375,180.82000732421875,183.2899932861328,160.12765502929688,2074800,,,,,,,,
2020-01-22,183.86000061035156,185.5800018310547,183.08999633789062,183.10000610351562,159.96170043945312,1058700,,,,,,,,
2020-01-23,182.8699951171875,185.47000122070312,182.0500030517578,184.6199951171875,161.28958129882812,1146700,,,,,,,,
2020-01-24,185.22999572753906,185.80999755859375,184.3300018310547,185.07000732421875,161.68272399902344,925500,,,,,,,,
2020-01-27,182.36000061035156,183.72999572753906,181.58999633789062,182.57000732421875,159.49864196777344,1132300,,,,,,,,
2020-01-28,183.0800018310547,184.67999267578125,180.75999450683594,183.6300048828125,160.42469787597656,1533900,,,,,,,,
2020-01-29,183.9199981689453,184.4199981689453,179.61000061035156,183.47000122070312,160.284912109375,2033200,,,,,,,,
2020-01-30,182.3000030517578,183.49000549316406,179.72000122070312,181.22999572753906,158.32798767089844,1842500,,,,,,,,
2020-01-31,180.24000549316406,180.91000366210938,174.7899932861328,175.44000244140625,153.26968383789062,2365700,,,,,,,,
2020-02-03,177.16000366210938,178.6199951171875,175.19000244140625,176.6199951171875,154.30050659179688,1605300,,,,,,,,
2020-02-04,179.24000549316406,180.66000366210938,179.0,179.52999877929688,156.8428192138672,1882500,,,,,,,,
