date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SVMB')","('high', 'SVMB')","('low', 'SVMB')","('close', 'SVMB')","('adj_close', 'SVMB')","('volume', 'SVMB')","('currency', '')"
2022-04-13,200.0,200.0,150.0,150.0,150.0,6,,,,,,,,
2022-04-14,75.0,75.0,75.0,75.0,75.0,12,,,,,,,,
2022-04-18,75.0,75.0,75.0,75.0,75.0,0,,,,,,,,
2022-04-19,75.0,75.0,75.0,75.0,75.0,0,,,,,,,,
2022-04-20,75.0,75.0,75.0,75.0,75.0,0,,,,,,,,
2022-04-21,75.0,75.0,75.0,75.0,75.0,0,,,,,,,,
2022-04-22,37.5,37.5,37.5,37.5,37.5,25,,,,,,,,
2022-04-25,18.760000228881836,18.760000228881836,18.760000228881836,18.760000228881836,18.760000228881836,50,,,,,,,,
2022-04-26,20.0,20.0,20.0,20.0,20.0,50,,,,,,,,
2022-04-27,20.0,20.0,20.0,20.0,20.0,100,,,,,,,,
2022-04-28,20.0,20.0,20.0,20.0,20.0,25,,,,,,,,
2022-04-29,20.0,20.0,20.0,20.0,20.0,0,,,,,,,,
2022-05-02,16.0,16.0,16.0,16.0,16.0,50,,,,,,,,
2022-05-03,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-04,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-05,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-06,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-09,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-10,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-11,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-12,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-13,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-16,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-17,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-18,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-19,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-05-20,13.0,13.0,13.0,13.0,13.0,50,,,,,,,,
2022-05-23,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-05-24,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-05-25,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-05-26,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-05-27,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-05-31,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-06-01,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-06-02,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2022-06-03,9.0,9.0,5.599999904632568,9.0,9.0,587,,,,,,,,
2022-06-06,9.0,9.0,8.90999984741211,9.0,9.0,1125,,,,,,,,
2022-06-07,9.0,9.0,9.0,9.0,9.0,2050,,,,,,,,
2022-06-08,9.0,37.7400016784668,4.760000228881836,37.7400016784668,37.7400016784668,3150,,,,,,,,
2022-06-09,40.0,40.0,9.0,16.0,16.0,3426,,,,,,,,
2022-06-10,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-06-13,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-06-14,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-06-15,15.0,15.0,15.0,15.0,15.0,15,,,,,,,,
2022-06-16,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,18.600000381469727,100,,,,,,,,
