date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RSMDF')","('high', 'RSMDF')","('low', 'RSMDF')","('close', 'RSMDF')","('adj_close', 'RSMDF')","('volume', 'RSMDF')","('currency', '')"
2020-01-02,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-03,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-06,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-07,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-08,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-09,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-10,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-13,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-14,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-15,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-16,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-17,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-21,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-22,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-23,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-24,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-27,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-28,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-29,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-30,14.25,14.25,14.25,14.25,13.512694358825684,0,,,,,,,,
2020-01-31,16.360000610351562,16.360000610351562,15.930000305175781,15.930000305175781,15.105772972106934,81320,,,,,,,,
2020-02-03,15.930000305175781,15.930000305175781,15.930000305175781,15.930000305175781,15.105772972106934,0,,,,,,,,
