date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MMM')","('high', 'MMM')","('low', 'MMM')","('close', 'MMM')","('adj_close', 'MMM')","('volume', 'MMM')","('currency', '')"
2020-01-02,148.56187438964844,150.51004028320312,148.11036682128906,150.50167846679688,120.68252563476562,4307633,,,,,,,,
2020-01-03,148.01004028320312,149.3812713623047,146.8478240966797,149.2056884765625,119.6432876586914,2950412,,,,,,,,
2020-01-06,148.1187286376953,149.42308044433594,147.4498291015625,149.3478240966797,119.75728607177734,2389608,,,,,,,,
2020-01-07,149.06353759765625,149.255859375,147.84280395507812,148.74581909179688,119.27455139160156,2598908,,,,,,,,
2020-01-08,148.82943725585938,151.755859375,148.5367889404297,151.02842712402344,121.10490417480469,3298927,,,,,,,,
2020-01-09,151.76422119140625,151.8311004638672,150.30101013183594,151.50502014160156,121.48704528808594,3284575,,,,,,,,
2020-01-10,151.8478240966797,152.3244171142578,150.6187286376953,150.8946533203125,120.99767303466797,2516145,,,,,,,,
2020-01-13,151.28762817382812,152.36622619628906,150.80267333984375,151.27090454101562,121.29933166503906,2500597,,,,,,,,
2020-01-14,151.27090454101562,152.63377380371094,150.67726135253906,151.64715576171875,121.60104370117188,3481795,,,,,,,,
2020-01-15,151.68896484375,152.05685424804688,149.81605529785156,150.31771850585938,120.53500366210938,2968711,,,,,,,,
2020-01-16,151.0702362060547,151.50502014160156,150.2424774169922,151.34616088867188,121.35967254638672,2571280,,,,,,,,
2020-01-17,151.33779907226562,152.29933166503906,151.0869598388672,151.63043212890625,121.5876235961914,4413360,,,,,,,,
2020-01-21,152.04849243164062,152.09866333007812,149.35618591308594,149.99163818359375,120.27350616455078,4027769,,,,,,,,
2020-01-22,150.09197998046875,150.97825622558594,148.72909545898438,148.85450744628906,119.36170196533203,2894559,,,,,,,,
2020-01-23,148.0518341064453,149.19732666015625,147.4832763671875,148.61204528808594,119.16730499267578,2820646,,,,,,,,
2020-01-24,149.2391357421875,150.34280395507812,148.43646240234375,148.95484924316406,119.44214630126953,3161148,,,,,,,,
2020-01-27,150.38461303710938,150.99497985839844,146.77256774902344,146.8478240966797,117.75260162353516,5216234,,,,,,,,
2020-01-28,143.72909545898438,144.09698486328125,138.00167846679688,138.44480895996094,111.01448059082031,10669157,,,,,,,,
2020-01-29,139.088623046875,139.18896484375,135.05853271484375,135.45150756835938,108.61425018310547,6391304,,,,,,,,
2020-01-30,134.61538696289062,135.9866180419922,132.7424774169922,135.8779296875,108.95619201660156,5211092,,,,,,,,
2020-01-31,135.45150756835938,135.99497985839844,132.29933166503906,132.6588592529297,106.37493133544922,6865399,,,,,,,,
2020-02-03,133.80435180664062,134.03846740722656,130.75250244140625,130.9281005859375,104.9870834350586,4694898,,,,,,,,
