date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EDU')","('high', 'EDU')","('low', 'EDU')","('close', 'EDU')","('adj_close', 'EDU')","('volume', 'EDU')","('currency', '')"
2020-01-02,124.1500015258789,127.37000274658203,124.1500015258789,127.25,125.99403381347656,1084300,,,,,,,,
2020-01-03,125.48999786376953,128.52999877929688,125.04000091552734,126.16000366210938,124.914794921875,561400,,,,,,,,
2020-01-06,125.44999694824219,128.39999389648438,125.44999694824219,128.0800018310547,126.81584930419922,691700,,,,,,,,
2020-01-07,129.3300018310547,134.33999633789062,128.72000122070312,129.10000610351562,127.8257827758789,1524000,,,,,,,,
2020-01-08,129.38999938964844,131.86000061035156,129.30999755859375,130.80999755859375,129.51889038085938,721200,,,,,,,,
2020-01-09,133.77999877929688,137.1699981689453,132.1300048828125,133.63999938964844,132.3209686279297,1561200,,,,,,,,
2020-01-10,133.9499969482422,134.25999450683594,130.83999633789062,131.1199951171875,129.82583618164062,1050000,,,,,,,,
2020-01-13,132.8800048828125,134.7899932861328,131.60000610351562,134.7100067138672,133.3804168701172,800800,,,,,,,,
2020-01-14,134.38999938964844,136.86000061035156,132.8000030517578,136.83999633789062,135.4893798828125,1047400,,,,,,,,
2020-01-15,137.38999938964844,138.75,136.5,138.47999572753906,137.11318969726562,1133000,,,,,,,,
2020-01-16,139.8000030517578,141.60000610351562,139.17999267578125,140.75,139.3607940673828,1507000,,,,,,,,
2020-01-17,140.83999633789062,141.25,134.85000610351562,135.75,134.41014099121094,2448700,,,,,,,,
2020-01-21,131.2899932861328,134.97999572753906,130.25999450683594,132.17999267578125,130.8753662109375,3037600,,,,,,,,
2020-01-22,133.92999267578125,137.58999633789062,132.6999969482422,133.16000366210938,131.845703125,2306300,,,,,,,,
2020-01-23,129.00999450683594,129.9600067138672,126.02999877929688,129.00999450683594,127.73665618896484,2384900,,,,,,,,
2020-01-24,129.47999572753906,129.8000030517578,123.80000305175781,124.61000061035156,123.38009643554688,2441600,,,,,,,,
2020-01-27,116.73999786376953,123.1500015258789,115.30999755859375,121.94999694824219,120.74634552001953,2768200,,,,,,,,
2020-01-28,123.44999694824219,130.4499969482422,123.0999984741211,129.0800018310547,127.80597686767578,2351400,,,,,,,,
2020-01-29,130.4499969482422,130.4499969482422,127.37000274658203,129.19000244140625,127.9148941040039,1056400,,,,,,,,
2020-01-30,124.94999694824219,125.4800033569336,121.62000274658203,123.43000030517578,122.21173858642578,2345300,,,,,,,,
2020-01-31,123.16000366210938,123.30999755859375,120.30999755859375,121.55000305175781,120.35029602050781,2473600,,,,,,,,
2020-02-03,122.66000366210938,128.41000366210938,122.0999984741211,127.69000244140625,126.42969512939453,2253700,,,,,,,,
2020-02-04,131.17999267578125,134.49000549316406,130.60000610351562,132.99000549316406,131.67738342285156,2427900,,,,,,,,
2020-02-05,134.6999969482422,134.92999267578125,129.22999572753906,131.55999755859375,130.26148986816406,1708700,,,,,,,,
