date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LMT')","('high', 'LMT')","('low', 'LMT')","('close', 'LMT')","('adj_close', 'LMT')","('volume', 'LMT')","('currency', '')"
2020-01-02,392.8599853515625,399.3699951171875,390.95001220703125,399.3699951171875,339.38848876953125,1258400,,,,,,,,
2020-01-03,404.0199890136719,417.1700134277344,403.0,413.739990234375,351.6002502441406,2990100,,,,,,,,
2020-01-06,417.989990234375,417.989990234375,407.69000244140625,413.1099853515625,351.0648193359375,2477800,,,,,,,,
2020-01-07,411.25,416.1199951171875,408.2900085449219,414.5,352.2461242675781,1059900,,,,,,,,
2020-01-08,417.05999755859375,418.17999267578125,409.7200012207031,411.0299987792969,349.2972717285156,1708100,,,,,,,,
2020-01-09,410.489990234375,416.0,410.0,414.92999267578125,352.6114807128906,1064300,,,,,,,,
2020-01-10,415.0,415.6000061035156,412.4800109863281,413.8299865722656,351.6767578125,987800,,,,,,,,
2020-01-13,414.94000244140625,420.9599914550781,414.6600036621094,419.0199890136719,356.0872497558594,986800,,,,,,,,
2020-01-14,417.5899963378906,418.2699890136719,415.07000732421875,416.1400146484375,353.6397705078125,967200,,,,,,,,
2020-01-15,416.4200134277344,421.4800109863281,416.1400146484375,420.95001220703125,357.7273864746094,833000,,,,,,,,
2020-01-16,423.1300048828125,425.739990234375,420.6700134277344,425.70001220703125,361.76397705078125,1085200,,,,,,,,
2020-01-17,426.6099853515625,427.5400085449219,424.5,425.6600036621094,361.7298889160156,1195600,,,,,,,,
2020-01-21,424.4200134277344,427.7799987792969,423.010009765625,426.1499938964844,362.1463623046875,1071400,,,,,,,,
2020-01-22,427.5,428.5,424.3599853515625,424.4200134277344,360.67620849609375,918700,,,,,,,,
2020-01-23,424.05999755859375,429.55999755859375,424.0,428.7799987792969,364.38134765625,978400,,,,,,,,
2020-01-24,429.8999938964844,433.5199890136719,429.69000244140625,432.5,367.54266357421875,1086700,,,,,,,,
2020-01-27,425.8599853515625,434.45001220703125,425.8599853515625,432.3800048828125,367.440673828125,1737900,,,,,,,,
2020-01-28,434.7699890136719,438.989990234375,426.2699890136719,437.1700134277344,371.51123046875,2063200,,,,,,,,
2020-01-29,437.7200012207031,437.989990234375,431.0199890136719,433.8399963378906,368.6813659667969,1268500,,,,,,,,
2020-01-30,430.3399963378906,437.0,430.3399963378906,435.8999938964844,370.4319763183594,1210200,,,,,,,,
2020-01-31,434.92999267578125,435.57000732421875,426.1000061035156,428.1199951171875,363.8204650878906,1650100,,,,,,,,
2020-02-03,429.5199890136719,430.0,422.0400085449219,423.8599853515625,360.2003173828125,1795800,,,,,,,,
2020-02-04,425.4599914550781,431.989990234375,425.4599914550781,430.7799987792969,366.0810546875,1216300,,,,,,,,
2020-02-05,433.32000732421875,435.9200134277344,429.0199890136719,435.19000244140625,369.8286437988281,1251800,,,,,,,,
2020-02-06,435.55999755859375,439.8599853515625,434.9100036621094,438.9700012207031,373.0408935546875,833500,,,,,,,,
