date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NBY')","('high', 'NBY')","('low', 'NBY')","('close', 'NBY')","('adj_close', 'NBY')","('volume', 'NBY')","('currency', '')"
2020-01-02,784.0,820.75,759.5,771.75,510.13983154296875,112,,,,,,,,
2020-01-03,759.5,808.5,759.5,771.75,510.13983154296875,110,,,,,,,,
2020-01-06,759.5,784.0,747.25,771.75,510.13983154296875,103,,,,,,,,
2020-01-07,759.5,857.5,759.5,820.75,542.5296630859375,504,,,,,,,,
2020-01-08,833.0,845.25,771.75,771.75,510.13983154296875,187,,,,,,,,
2020-01-09,784.0,808.5,759.5,796.25,526.334716796875,186,,,,,,,,
2020-01-10,796.25,820.75,747.25,759.5,502.0423583984375,142,,,,,,,,
2020-01-13,759.5,771.75,710.5,735.0,485.8474426269531,128,,,,,,,,
2020-01-14,722.75,747.25,722.75,735.0,485.8474426269531,103,,,,,,,,
2020-01-15,722.75,759.5,698.25,722.75,477.75,271,,,,,,,,
2020-01-16,722.75,771.75,722.75,759.5,502.0423583984375,324,,,,,,,,
2020-01-17,784.0,784.0,747.25,771.75,510.13983154296875,183,,,,,,,,
2020-01-21,771.75,784.0,747.25,759.5,502.0423583984375,168,,,,,,,,
2020-01-22,759.5,784.0,759.5,759.5,502.0423583984375,143,,,,,,,,
2020-01-23,771.75,820.75,735.0,796.25,526.334716796875,475,,,,,,,,
2020-01-24,796.25,869.75,759.5,808.5,534.4321899414062,719,,,,,,,,
2020-01-27,784.0,784.0,735.0,759.5,502.0423583984375,216,,,,,,,,
2020-01-28,771.75,771.75,747.25,759.5,502.0423583984375,88,,,,,,,,
2020-01-29,747.25,784.0,722.75,771.75,510.13983154296875,140,,,,,,,,
2020-01-30,759.5,759.5,735.0,747.25,493.9449157714844,89,,,,,,,,
2020-01-31,710.5,747.25,710.5,735.0,485.8474426269531,87,,,,,,,,
2020-02-03,735.0,735.0,661.5,710.5,469.65252685546875,102,,,,,,,,
2020-02-04,722.75,759.5,698.25,722.75,477.75,316,,,,,,,,
2020-02-05,722.75,735.0,710.5,710.5,469.65252685546875,81,,,,,,,,
2020-02-06,698.25,722.75,686.0,710.5,469.65252685546875,194,,,,,,,,
2020-02-07,686.0,710.5,673.75,686.0,453.4576110839844,180,,,,,,,,
2020-02-10,710.5,710.5,661.5,673.75,445.36016845703125,65,,,,,,,,
2020-02-11,673.75,686.0,624.75,637.0,421.0677795410156,204,,,,,,,,
2020-02-12,661.5,661.5,624.75,637.0,421.0677795410156,102,,,,,,,,
2020-02-13,637.0,649.25,612.5,612.5,404.87286376953125,182,,,,,,,,
2020-02-14,637.0,637.0,612.5,624.75,412.9703369140625,98,,,,,,,,
2020-02-18,612.5,661.5,612.5,649.25,429.1652526855469,77,,,,,,,,
2020-02-19,637.0,722.75,637.0,698.25,461.5550842285156,267,,,,,,,,
2020-02-20,710.5,710.5,673.75,686.0,453.4576110839844,113,,,,,,,,
2020-02-21,673.75,735.0,673.75,735.0,485.8474426269531,279,,,,,,,,
2020-02-24,735.0,747.25,698.25,722.75,477.75,262,,,,,,,,
2020-02-25,722.75,747.25,710.5,722.75,477.75,238,,,,,,,,
2020-02-26,735.0,735.0,686.0,722.75,477.75,156,,,,,,,,
2020-02-27,710.5,808.5,686.0,759.5,502.0423583984375,957,,,,,,,,
2020-02-28,735.0,735.0,686.0,698.25,461.5550842285156,335,,,,,,,,
2020-03-02,698.25,722.75,686.0,698.25,461.5550842285156,128,,,,,,,,
2020-03-03,698.25,710.5,661.5,673.75,445.36016845703125,156,,,,,,,,
2020-03-04,661.5,698.25,661.5,673.75,445.36016845703125,104,,,,,,,,
2020-03-05,673.75,673.75,649.25,661.5,437.2626953125,88,,,,,,,,
2020-03-06,649.25,661.5,624.75,624.75,412.9703369140625,164,,,,,,,,
2020-03-09,600.25,612.5,453.25,551.25,364.3855895996094,180,,,,,,,,
2020-03-10,551.25,600.25,453.25,539.0,356.2881164550781,222,,,,,,,,
2020-03-11,551.25,563.5,477.75,502.25,331.9957580566406,128,,,,,,,,
2020-03-12,453.25,551.25,306.25,379.75,251.02117919921875,236,,,,,,,,
2020-03-13,392.0,428.75,379.75,416.5,275.3135681152344,146,,,,,,,,
2020-03-16,306.25,355.25,294.0,355.25,234.82626342773438,506,,,,,,,,
2020-03-17,355.25,379.75,330.75,379.75,251.02117919921875,105,,,,,,,,
2020-03-18,367.5,392.0,355.25,367.5,242.92372131347656,190,,,,,,,,
2020-03-19,379.75,1935.5,367.5,1837.5,1214.61865234375,43905,,,,,,,,
2020-03-20,1421.0,1433.25,992.25,1029.0,680.1864624023438,17750,,,,,,,,
2020-03-23,1065.75,1188.25,918.75,1114.75,736.86865234375,5352,,,,,,,,
2020-03-24,1078.0,1114.75,918.75,1004.5,663.9915161132812,1973,,,,,,,,
2020-03-25,1163.75,1310.75,931.0,1078.0,712.5762329101562,5118,,,,,,,,
2020-03-26,1053.5,1163.75,980.0,1065.75,704.4788208007812,4079,,,,,,,,
2020-03-27,980.0,1004.5,882.0,931.0,615.4067993164062,2427,,,,,,,,
2020-03-30,980.0,1004.5,857.5,869.75,574.9194946289062,1495,,,,,,,,
2020-03-31,796.25,833.0,673.75,735.0,485.8474426269531,1592,,,,,,,,
2020-04-01,686.0,1225.0,661.5,1053.5,696.38134765625,15075,,,,,,,,
2020-04-02,1041.25,1102.5,882.0,955.5,631.6016845703125,4946,,,,,,,,
2020-04-03,992.25,1053.5,918.75,992.25,655.89404296875,2585,,,,,,,,
2020-04-06,1029.0,1065.75,931.0,992.25,655.89404296875,1504,,,,,,,,
2020-04-07,967.75,967.75,894.25,918.75,607.309326171875,839,,,,,,,,
2020-04-08,1004.5,1029.0,918.75,967.75,639.6991577148438,2091,,,,,,,,
2020-04-09,931.0,955.5,869.75,918.75,607.309326171875,879,,,,,,,,
2020-04-13,906.5,918.75,869.75,906.5,599.2118530273438,502,,,,,,,,
2020-04-14,882.0,906.5,796.25,869.75,574.9194946289062,1029,,,,,,,,
2020-04-15,833.0,1041.25,796.25,955.5,631.6016845703125,2984,,,,,,,,
2020-04-16,1004.5,1102.5,918.75,967.75,639.6991577148438,1625,,,,,,,,
2020-04-17,931.0,943.25,894.25,931.0,615.4067993164062,562,,,,,,,,
2020-04-20,2082.5,2266.25,1506.75,1580.25,1044.572021484375,50258,,,,,,,,
2020-04-21,1457.75,1457.75,1176.0,1200.5,793.5508422851562,7560,,,,,,,,
2020-04-22,1225.0,1347.5,1212.75,1225.0,809.7457275390625,2780,,,,,,,,
2020-04-23,1225.0,1286.25,1090.25,1102.5,728.7711791992188,2830,,,,,,,,
2020-04-24,1127.0,1127.0,1041.25,1102.5,728.7711791992188,1462,,,,,,,,
2020-04-27,1163.75,1188.25,1090.25,1176.0,777.3558959960938,2269,,,,,,,,
2020-04-28,1151.5,1188.25,1102.5,1163.75,769.2584838867188,1020,,,,,,,,
2020-04-29,1151.5,1163.75,1114.75,1151.5,761.1610107421875,1023,,,,,,,,
2020-04-30,1114.75,1139.25,1090.25,1127.0,744.966064453125,447,,,,,,,,
2020-05-01,1139.25,1212.75,1127.0,1151.5,761.1610107421875,1286,,,,,,,,
2020-05-04,1176.0,1286.25,1163.75,1261.75,834.0381469726562,2123,,,,,,,,
2020-05-05,1286.25,1286.25,1163.75,1188.25,785.453369140625,1506,,,,,,,,
2020-05-06,1261.75,1470.0,1237.25,1372.0,906.9152221679688,5435,,,,,,,,
2020-05-07,1384.25,1396.5,1237.25,1323.0,874.525390625,2927,,,,,,,,
2020-05-08,1176.0,1249.5,1114.75,1249.5,825.940673828125,1640,,,,,,,,
2020-05-11,1212.75,1237.25,1127.0,1237.25,817.8432006835938,1094,,,,,,,,
2020-05-12,1151.5,1274.0,1151.5,1212.75,801.6483154296875,1514,,,,,,,,
2020-05-13,1200.5,1200.5,1127.0,1163.75,769.2584838867188,1994,,,,,,,,
2020-05-14,1286.25,1310.75,1139.25,1163.75,769.2584838867188,10047,,,,,,,,
2020-05-15,1139.25,1163.75,1041.25,1090.25,720.6737060546875,2801,,,,,,,,
2020-05-18,1041.25,1090.25,1041.25,1041.25,688.2838745117188,2414,,,,,,,,
2020-05-19,1065.75,1078.0,1004.5,1065.75,704.4788208007812,1238,,,,,,,,
2020-05-20,1041.25,1065.75,1029.0,1053.5,696.38134765625,861,,,,,,,,
2020-05-21,1053.5,1053.5,1029.0,1053.5,696.38134765625,559,,,,,,,,
2020-05-22,1041.25,1053.5,1029.0,1053.5,696.38134765625,524,,,,,,,,
