date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'THSGF')","('high', 'THSGF')","('low', 'THSGF')","('close', 'THSGF')","('adj_close', 'THSGF')","('volume', 'THSGF')","('currency', '')"
2021-01-08,2.5286459922790527,2.5286459922790527,2.1927080154418945,2.234375,2.234375,27994,,,,,,,,
2021-01-11,2.2083330154418945,2.3697919845581055,2.0885419845581055,2.3020830154418945,2.3020830154418945,19238,,,,,,,,
2021-01-12,2.3489580154418945,2.3489580154418945,2.1822919845581055,2.304687976837158,2.304687976837158,15706,,,,,,,,
2021-01-13,2.2005209922790527,2.2473959922790527,2.148437976837158,2.195312976837158,2.195312976837158,35021,,,,,,,,
2021-01-14,2.2395830154418945,2.2447919845581055,2.195312976837158,2.195312976837158,2.195312976837158,7219,,,,,,,,
2021-01-15,2.195312976837158,2.2135419845581055,2.1614580154418945,2.1875,2.1875,18662,,,,,,,,
2021-01-19,2.2083330154418945,2.2083330154418945,2.0833330154418945,2.1380209922790527,2.1380209922790527,33446,,,,,,,,
2021-01-20,2.203125,2.203125,2.0833330154418945,2.164062976837158,2.164062976837158,47846,,,,,,,,
2021-01-21,2.1666669845581055,2.2473959922790527,2.1223959922790527,2.2473959922790527,2.2473959922790527,17088,,,,,,,,
2021-01-22,2.203125,2.2135419845581055,2.1276040077209473,2.1380209922790527,2.1380209922790527,20736,,,,,,,,
2021-01-25,2.109375,2.109375,2.0651040077209473,2.1067709922790527,2.1067709922790527,47270,,,,,,,,
2021-01-26,2.070312976837158,2.195312976837158,2.070312976837158,2.1536459922790527,2.1536459922790527,31718,,,,,,,,
2021-01-27,2.2213540077209473,2.2291669845581055,2.0625,2.0989580154418945,2.0989580154418945,24269,,,,,,,,
2021-01-28,2.0885419845581055,2.179687976837158,2.0885419845581055,2.1380209922790527,2.1380209922790527,10330,,,,,,,,
2021-01-29,2.1354169845581055,2.25,2.1354169845581055,2.2005209922790527,2.2005209922790527,49690,,,,,,,,
2021-02-01,2.4713540077209473,2.5651040077209473,2.2916669845581055,2.3958330154418945,2.3958330154418945,81754,,,,,,,,
2021-02-02,2.3541669845581055,2.578125,2.3177080154418945,2.5651040077209473,2.5651040077209473,56602,,,,,,,,
