date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'THG')","('high', 'THG')","('low', 'THG')","('close', 'THG')","('adj_close', 'THG')","('volume', 'THG')","('currency', '')"
2020-01-02,137.25999450683594,137.61000061035156,135.5800018310547,136.47999572753906,118.45082092285156,173400,,,,,,,,
2020-01-03,135.47999572753906,137.2100067138672,135.47999572753906,136.47999572753906,118.45082092285156,251900,,,,,,,,
2020-01-06,135.9199981689453,137.3800048828125,135.5,137.1300048828125,119.01496887207031,326100,,,,,,,,
2020-01-07,136.7899932861328,137.0399932861328,136.0800018310547,136.1999969482422,118.20779418945312,134800,,,,,,,,
2020-01-08,136.3300018310547,137.75999450683594,136.3300018310547,136.4600067138672,118.43345642089844,191800,,,,,,,,
2020-01-09,136.82000732421875,138.1300048828125,136.6699981689453,137.9499969482422,119.7266616821289,139700,,,,,,,,
2020-01-10,137.8300018310547,138.89999389648438,136.69000244140625,136.9499969482422,118.85871124267578,161300,,,,,,,,
2020-01-13,137.02999877929688,137.30999755859375,136.32000732421875,136.85000610351562,118.77196502685547,202500,,,,,,,,
2020-01-14,137.07000732421875,138.42999267578125,136.99000549316406,137.8000030517578,119.59642791748047,203900,,,,,,,,
2020-01-15,137.57000732421875,139.05999755859375,137.35000610351562,138.42999267578125,120.14323425292969,187200,,,,,,,,
2020-01-16,138.8300018310547,139.82000732421875,136.82000732421875,138.86000061035156,120.51641082763672,293600,,,,,,,,
2020-01-17,138.9600067138672,139.9600067138672,138.27000427246094,139.27999877929688,120.88091278076172,188100,,,,,,,,
2020-01-21,138.7899932861328,139.67999267578125,138.38999938964844,138.6300048828125,120.3167953491211,200200,,,,,,,,
2020-01-22,138.82000732421875,139.72000122070312,138.67999267578125,138.88999938964844,120.54244232177734,174600,,,,,,,,
2020-01-23,138.00999450683594,139.00999450683594,136.05999755859375,137.47999572753906,119.31867980957031,404200,,,,,,,,
2020-01-24,137.55999755859375,137.9600067138672,136.61000061035156,136.75,118.68515014648438,222000,,,,,,,,
2020-01-27,135.9199981689453,137.72000122070312,135.91000366210938,137.02000427246094,118.91947174072266,225600,,,,,,,,
2020-01-28,137.36000061035156,139.02999877929688,137.30999755859375,138.02999877929688,119.79605102539062,168600,,,,,,,,
2020-01-29,138.25999450683594,138.49000549316406,137.55999755859375,137.6999969482422,119.50965881347656,147100,,,,,,,,
2020-01-30,137.11000061035156,139.9199981689453,137.11000061035156,139.82000732421875,121.34959411621094,133000,,,,,,,,
2020-01-31,139.4600067138672,140.60000610351562,138.25,138.5800018310547,120.27337646484375,325200,,,,,,,,
2020-02-03,139.25999450683594,140.57000732421875,138.88999938964844,139.32000732421875,120.91565704345703,178700,,,,,,,,
2020-02-04,140.0500030517578,140.8300018310547,139.7100067138672,140.5399932861328,121.9744873046875,163400,,,,,,,,
2020-02-05,144.7100067138672,144.7100067138672,138.72000122070312,139.5500030517578,121.1152572631836,318000,,,,,,,,
2020-02-06,139.39999389648438,140.24000549316406,138.16000366210938,138.6999969482422,120.3775634765625,342000,,,,,,,,
