date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NVS')","('high', 'NVS')","('low', 'NVS')","('close', 'NVS')","('adj_close', 'NVS')","('volume', 'NVS')","('currency', '')"
2020-01-02,94.69000244140625,95.47000122070312,94.5,94.94999694824219,75.27583312988281,1213000,,,,,,,,
2020-01-03,94.11000061035156,95.27999877929688,94.0999984741211,94.79000091552734,75.14899444580078,1062300,,,,,,,,
2020-01-06,94.66999816894531,95.43000030517578,94.63999938964844,95.43000030517578,75.65637969970703,1487600,,,,,,,,
2020-01-07,95.08999633789062,95.08999633789062,94.43000030517578,94.4800033569336,74.90323638916016,1150200,,,,,,,,
2020-01-08,94.48999786376953,94.87999725341797,94.3499984741211,94.4800033569336,74.90323638916016,982100,,,,,,,,
2020-01-09,94.86000061035156,95.13999938964844,94.62000274658203,94.7699966430664,75.13314056396484,768200,,,,,,,,
2020-01-10,94.45999908447266,94.4800033569336,93.79000091552734,93.86000061035156,74.41170501708984,1706900,,,,,,,,
2020-01-13,93.91999816894531,93.9800033569336,93.47000122070312,93.70999908447266,74.29277801513672,1582700,,,,,,,,
2020-01-14,94.08999633789062,94.4800033569336,93.9800033569336,94.37999725341797,74.82394409179688,1084000,,,,,,,,
2020-01-15,94.83000183105469,95.11000061035156,94.55999755859375,94.5999984741211,74.99835968017578,1546600,,,,,,,,
2020-01-16,95.06999969482422,95.12000274658203,94.7300033569336,95.0999984741211,75.39476013183594,1441100,,,,,,,,
2020-01-17,95.72000122070312,96.05999755859375,95.4000015258789,95.93000030517578,76.05278015136719,1854700,,,,,,,,
2020-01-21,95.63999938964844,95.97000122070312,95.18000030517578,95.19000244140625,75.46611785888672,2616700,,,,,,,,
2020-01-22,95.31999969482422,95.48999786376953,94.70999908447266,95.20999908447266,75.48197174072266,2763000,,,,,,,,
2020-01-23,95.08999633789062,95.16999816894531,94.44999694824219,94.91999816894531,75.2520523071289,2122800,,,,,,,,
2020-01-24,95.0,95.20999908447266,93.6500015258789,93.87000274658203,74.41962432861328,5575300,,,,,,,,
2020-01-27,93.05000305175781,94.04000091552734,92.95999908447266,93.69999694824219,74.28483581542969,1410100,,,,,,,,
2020-01-28,94.48999786376953,95.72000122070312,94.38999938964844,95.54000091552734,75.74359130859375,2442200,,,,,,,,
2020-01-29,96.2300033569336,96.77999877929688,95.63999938964844,95.73999786376953,75.90214538574219,3156700,,,,,,,,
2020-01-30,95.61000061035156,95.91999816894531,95.04000091552734,95.91999816894531,76.04486083984375,1849800,,,,,,,,
2020-01-31,95.1500015258789,95.33000183105469,94.20999908447266,94.51000213623047,74.92700958251953,2067100,,,,,,,,
2020-02-03,94.33999633789062,94.83999633789062,94.1500015258789,94.25,74.72089385986328,1615100,,,,,,,,
2020-02-04,94.45999908447266,95.33999633789062,94.41000366210938,95.0999984741211,75.39476013183594,1312800,,,,,,,,
2020-02-05,96.62999725341797,96.63999938964844,96.02999877929688,96.37000274658203,76.401611328125,2897100,,,,,,,,
2020-02-06,96.25,97.0,96.02999877929688,96.95999908447266,76.86935424804688,2116800,,,,,,,,
2020-02-07,96.63999938964844,96.83999633789062,95.73999786376953,95.83000183105469,75.97349548339844,1586700,,,,,,,,
2020-02-10,96.16999816894531,97.44999694824219,96.11000061035156,97.41999816894531,77.2340316772461,1455000,,,,,,,,
2020-02-11,97.81999969482422,98.29000091552734,97.77999877929688,98.2300033569336,77.87621307373047,1862300,,,,,,,,
2020-02-12,98.33999633789062,99.83999633789062,97.73999786376953,99.01000213623047,78.49457550048828,3000200,,,,,,,,
2020-02-13,97.88999938964844,98.2699966430664,97.7300033569336,97.7699966430664,77.51152038574219,1676100,,,,,,,,
2020-02-14,97.70999908447266,97.81999969482422,97.2699966430664,97.62999725341797,77.40052795410156,1058200,,,,,,,,
2020-02-18,96.97000122070312,97.47000122070312,96.94000244140625,97.19999694824219,77.05963134765625,1130800,,,,,,,,
2020-02-19,97.36000061035156,97.66000366210938,97.19000244140625,97.22000122070312,77.07547760009766,1331600,,,,,,,,
2020-02-20,97.05000305175781,97.08999633789062,95.87999725341797,96.29000091552734,76.33818817138672,1283400,,,,,,,,
2020-02-21,96.19000244140625,96.95999908447266,95.97000122070312,96.76000213623047,76.71080780029297,1452600,,,,,,,,
2020-02-24,92.72000122070312,93.66999816894531,89.97000122070312,90.08000183105469,71.41493225097656,4167900,,,,,,,,
2020-02-25,90.56999969482422,90.62999725341797,87.45999908447266,87.94999694824219,69.72628021240234,7630900,,,,,,,,
2020-02-26,88.58999633789062,89.37000274658203,86.86000061035156,87.11000061035156,69.0603256225586,5514300,,,,,,,,
2020-02-27,86.75,88.37999725341797,85.97000122070312,86.0199966430664,68.1961898803711,4530900,,,,,,,,
2020-02-28,83.93000030517578,84.80999755859375,83.05000305175781,83.95999908447266,66.56303405761719,4826000,,,,,,,,
2020-03-02,85.5999984741211,87.16000366210938,84.52999877929688,86.87000274658203,68.87005615234375,3202300,,,,,,,,
2020-03-03,85.73999786376953,86.6500015258789,83.20999908447266,83.62000274658203,68.69917297363281,2425900,,,,,,,,
2020-03-04,86.69999694824219,87.87000274658203,85.77999877929688,87.6500015258789,72.01008605957031,2416500,,,,,,,,
2020-03-05,85.43000030517578,86.3499984741211,85.05000305175781,85.80999755859375,70.4983901977539,2388900,,,,,,,,
2020-03-06,84.33000183105469,85.83000183105469,83.97000122070312,85.72000122070312,70.4244613647461,5624700,,,,,,,,
2020-03-09,82.94999694824219,83.7699966430664,80.52999877929688,81.45999908447266,66.92459106445312,5811000,,,,,,,,
2020-03-10,84.95999908447266,85.55999755859375,82.2699966430664,84.94999694824219,69.79185485839844,5580300,,,,,,,,
2020-03-11,83.27999877929688,83.63999938964844,81.55999755859375,82.13999938964844,67.4832534790039,2626200,,,,,,,,
2020-03-12,76.19000244140625,77.97000122070312,72.16000366210938,74.06999969482422,60.853240966796875,5738000,,,,,,,,
2020-03-13,79.20999908447266,79.69000244140625,73.80999755859375,79.61000061035156,65.40470886230469,4352400,,,,,,,,
2020-03-16,70.06999969482422,76.16000366210938,69.18000030517578,73.13999938964844,60.089195251464844,5888200,,,,,,,,
2020-03-17,73.80999755859375,77.51000213623047,73.0,76.94999694824219,63.21934509277344,3689700,,,,,,,,
2020-03-18,73.69999694824219,75.75,71.56999969482422,74.95999908447266,61.584434509277344,4221600,,,,,,,,
