date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MH')","('high', 'MH')","('low', 'MH')","('close', 'MH')","('adj_close', 'MH')","('volume', 'MH')","('currency', '')"
2025-07-24,17.0,17.239999771118164,16.25,17.0,17.0,10941400,,,,,,,,
2025-07-25,16.940000534057617,17.25,16.760000228881836,16.809999465942383,16.809999465942383,1618200,,,,,,,,
2025-07-28,16.93000030517578,17.09000015258789,16.5,16.579999923706055,16.579999923706055,1054300,,,,,,,,
2025-07-29,16.770000457763672,16.799999237060547,16.0,16.350000381469727,16.350000381469727,1110600,,,,,,,,
2025-07-30,16.5,16.670000076293945,16.0,16.0,16.0,3618500,,,,,,,,
2025-07-31,16.0,16.450000762939453,15.920000076293945,16.09000015258789,16.09000015258789,1147000,,,,,,,,
2025-08-01,15.90999984741211,16.165000915527344,15.15999984741211,15.319999694824219,15.319999694824219,1236600,,,,,,,,
2025-08-04,15.319999694824219,15.729999542236328,15.0,15.239999771118164,15.239999771118164,899000,,,,,,,,
2025-08-05,15.0,15.069999694824219,13.399999618530273,13.40999984741211,13.40999984741211,2201500,,,,,,,,
2025-08-06,13.079999923706055,13.510000228881836,12.550000190734863,13.1899995803833,13.1899995803833,3115400,,,,,,,,
2025-08-07,13.140000343322754,13.239999771118164,12.710000038146973,12.949999809265137,12.949999809265137,1071100,,,,,,,,
2025-08-08,13.020000457763672,13.404999732971191,12.59000015258789,13.3100004196167,13.3100004196167,737200,,,,,,,,
2025-08-11,13.359999656677246,13.479999542236328,12.75,13.010000228881836,13.010000228881836,590600,,,,,,,,
2025-08-12,12.84000015258789,13.364999771118164,12.84000015258789,13.229999542236328,13.229999542236328,451900,,,,,,,,
2025-08-13,13.130000114440918,14.15999984741211,13.130000114440918,14.130000114440918,14.130000114440918,799000,,,,,,,,
2025-08-14,13.920000076293945,14.005000114440918,13.300000190734863,13.3100004196167,13.3100004196167,620800,,,,,,,,
2025-08-15,13.270000457763672,13.489999771118164,13.109999656677246,13.350000381469727,13.350000381469727,294200,,,,,,,,
2025-08-18,13.760000228881836,14.75,13.75,14.5,14.5,1290600,,,,,,,,
2025-08-19,14.579999923706055,14.880999565124512,14.270000457763672,14.600000381469727,14.600000381469727,855200,,,,,,,,
2025-08-20,14.510000228881836,15.520000457763672,14.3100004196167,15.210000038146973,15.210000038146973,706700,,,,,,,,
2025-08-21,15.039999961853027,15.710000038146973,14.989999771118164,15.350000381469727,15.350000381469727,582300,,,,,,,,
2025-08-22,15.350000381469727,15.979999542236328,14.300000190734863,14.600000381469727,14.600000381469727,836600,,,,,,,,
2025-08-25,14.84000015258789,14.96500015258789,14.0,14.460000038146973,14.460000038146973,510900,,,,,,,,
