date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ICHGF')","('high', 'ICHGF')","('low', 'ICHGF')","('close', 'ICHGF')","('adj_close', 'ICHGF')","('volume', 'ICHGF')","('currency', '')"
2020-01-02,68.5,68.5999984741211,68.5,68.5999984741211,64.14642333984375,600,,,,,,,,
2020-01-03,67.91999816894531,67.91999816894531,67.91999816894531,67.91999816894531,63.51056671142578,600,,,,,,,,
2020-01-06,65.95999908447266,65.95999908447266,65.95999908447266,65.95999908447266,61.67781448364258,200,,,,,,,,
2020-01-07,65.95999908447266,65.95999908447266,65.95999908447266,65.95999908447266,61.67781448364258,0,,,,,,,,
2020-01-08,66.25,66.25,66.25,66.25,61.94898223876953,300,,,,,,,,
2020-01-09,66.25,66.25,66.25,66.25,61.94898223876953,0,,,,,,,,
2020-01-10,65.5,65.5,65.5,65.5,61.2476806640625,100,,,,,,,,
2020-01-13,65.0,65.0,65.0,65.0,60.7801399230957,100,,,,,,,,
2020-01-14,65.91999816894531,65.91999816894531,65.91999816894531,65.91999816894531,61.64041519165039,300,,,,,,,,
2020-01-15,65.91999816894531,65.91999816894531,65.91999816894531,65.91999816894531,61.64041519165039,0,,,,,,,,
2020-01-16,65.91999816894531,65.91999816894531,65.91999816894531,65.91999816894531,61.64041519165039,0,,,,,,,,
2020-01-17,66.12000274658203,66.12000274658203,66.12000274658203,66.12000274658203,61.827423095703125,6400,,,,,,,,
2020-01-21,66.12000274658203,66.12000274658203,66.12000274658203,66.12000274658203,61.827423095703125,0,,,,,,,,
2020-01-22,65.4000015258789,65.4000015258789,65.4000015258789,65.4000015258789,61.154170989990234,200,,,,,,,,
2020-01-23,65.4000015258789,65.4000015258789,65.4000015258789,65.4000015258789,61.154170989990234,0,,,,,,,,
2020-01-24,65.4000015258789,65.4000015258789,65.4000015258789,65.4000015258789,61.154170989990234,0,,,,,,,,
2020-01-27,58.16999816894531,58.16999816894531,58.16999816894531,58.16999816894531,54.3935432434082,2800,,,,,,,,
2020-01-28,60.20000076293945,61.70000076293945,60.20000076293945,61.25,57.273590087890625,400,,,,,,,,
2020-01-29,61.25,61.25,61.25,61.25,57.273590087890625,0,,,,,,,,
2020-01-30,61.25,61.25,61.25,61.25,57.273590087890625,0,,,,,,,,
2020-01-31,61.25,61.25,61.25,61.25,57.273590087890625,0,,,,,,,,
2020-02-03,61.25,61.25,61.25,61.25,57.273590087890625,0,,,,,,,,
2020-02-04,62.75,64.0,62.75,64.0,59.845054626464844,1200,,,,,,,,
2020-02-05,64.0,64.0,64.0,64.0,59.845054626464844,0,,,,,,,,
2020-02-06,62.52000045776367,62.52000045776367,62.52000045776367,62.52000045776367,58.461143493652344,100,,,,,,,,
2020-02-07,62.900001525878906,62.900001525878906,61.0,61.0,57.03982162475586,2100,,,,,,,,
2020-02-10,61.0,61.0,61.0,61.0,57.03982162475586,0,,,,,,,,
2020-02-11,63.0099983215332,63.0099983215332,63.0099983215332,63.0099983215332,58.91932678222656,100,,,,,,,,
2020-02-12,63.0099983215332,63.0099983215332,63.0099983215332,63.0099983215332,58.91932678222656,1600,,,,,,,,
2020-02-13,62.79999923706055,62.79999923706055,62.79999923706055,62.79999923706055,58.722965240478516,400,,,,,,,,
2020-02-14,62.4900016784668,62.4900016784668,62.4900016784668,62.4900016784668,58.43309020996094,5800,,,,,,,,
2020-02-18,62.4900016784668,62.4900016784668,62.4900016784668,62.4900016784668,58.43309020996094,0,,,,,,,,
2020-02-19,65.5999984741211,65.5999984741211,65.5,65.5,61.2476806640625,2000,,,,,,,,
2020-02-20,65.5,65.5,65.5,65.5,61.2476806640625,0,,,,,,,,
2020-02-21,65.5,65.5,65.5,65.5,61.2476806640625,0,,,,,,,,
2020-02-24,65.5,65.5,65.5,65.5,61.2476806640625,0,,,,,,,,
2020-02-25,60.25,60.25,60.25,60.25,56.3385124206543,9600,,,,,,,,
2020-02-26,58.5,59.040000915527344,58.209999084472656,58.209999084472656,54.43095397949219,1800,,,,,,,,
2020-02-27,56.880001068115234,56.880001068115234,56.880001068115234,56.880001068115234,53.18730163574219,300,,,,,,,,
2020-02-28,54.349998474121094,54.349998474121094,54.349998474121094,54.349998474121094,50.82154083251953,11500,,,,,,,,
2020-03-02,54.220001220703125,54.220001220703125,54.220001220703125,54.220001220703125,50.699989318847656,200,,,,,,,,
2020-03-03,54.220001220703125,54.220001220703125,54.220001220703125,54.220001220703125,50.699989318847656,0,,,,,,,,
2020-03-04,54.220001220703125,54.220001220703125,54.220001220703125,54.220001220703125,50.699989318847656,0,,,,,,,,
2020-03-05,53.13999938964844,53.13999938964844,53.13999938964844,53.13999938964844,49.69009780883789,7500,,,,,,,,
2020-03-06,53.13999938964844,53.13999938964844,53.13999938964844,53.13999938964844,49.69009780883789,0,,,,,,,,
2020-03-09,49.5,49.5,49.5,49.5,46.28641128540039,500,,,,,,,,
2020-03-10,49.5,49.5,49.5,49.5,46.28641128540039,0,,,,,,,,
2020-03-11,48.599998474121094,48.599998474121094,47.25,47.25,44.1824836730957,1400,,,,,,,,
2020-03-12,41.5,41.5,41.41999816894531,41.41999816894531,38.7309684753418,1700,,,,,,,,
2020-03-13,41.41999816894531,41.41999816894531,41.41999816894531,41.41999816894531,38.7309684753418,0,,,,,,,,
2020-03-16,41.41999816894531,41.41999816894531,41.41999816894531,41.41999816894531,38.7309684753418,0,,,,,,,,
2020-03-17,35.61000061035156,35.61000061035156,34.5,35.61000061035156,33.29816436767578,2600,,,,,,,,
2020-03-18,28.75,28.75,28.75,28.75,26.883522033691406,2500,,,,,,,,
2020-03-19,28.25,28.25,27.219999313354492,27.219999313354492,25.452850341796875,3800,,,,,,,,
2020-03-20,27.219999313354492,27.219999313354492,27.219999313354492,27.219999313354492,25.452850341796875,0,,,,,,,,
2020-03-23,29.940000534057617,29.940000534057617,29.940000534057617,29.940000534057617,27.996267318725586,200,,,,,,,,
2020-03-24,36.06999969482422,36.06999969482422,36.06999969482422,36.06999969482422,33.728302001953125,300,,,,,,,,
2020-03-25,36.06999969482422,36.06999969482422,36.06999969482422,36.06999969482422,33.728302001953125,0,,,,,,,,
2020-03-26,29.940000534057617,29.940000534057617,29.940000534057617,29.940000534057617,27.996267318725586,700,,,,,,,,
2020-03-27,41.5,41.5,41.099998474121094,41.099998474121094,38.4317512512207,4300,,,,,,,,
2020-03-30,41.099998474121094,41.099998474121094,41.099998474121094,41.099998474121094,38.4317512512207,0,,,,,,,,
