date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OBIBF')","('high', 'OBIBF')","('low', 'OBIBF')","('close', 'OBIBF')","('adj_close', 'OBIBF')","('volume', 'OBIBF')","('currency', '')"
2025-01-06,44.25,44.25,44.25,44.25,-0.7458949089050293,100,,,,,,,,
2025-01-07,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-08,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-10,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-13,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-14,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-15,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-16,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-17,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-21,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-22,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-23,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-24,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-27,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-28,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-29,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-30,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-01-31,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-03,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-04,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-05,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-06,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-07,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-10,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-11,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-12,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-13,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-14,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-18,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-19,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-20,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-21,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-24,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-25,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-26,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-27,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-02-28,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-03,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-04,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-05,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-06,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-07,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-10,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-11,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-12,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-13,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-14,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-17,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-18,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-19,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-20,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-21,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-24,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-25,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-26,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-27,44.25,44.25,44.25,44.25,-0.7458949089050293,0,,,,,,,,
2025-03-28,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-03-31,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-01,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-02,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-03,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-04,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-07,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-08,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-09,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-10,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
2025-04-11,44.25,44.25,44.25,44.25,5.740148544311523,0,,,,,,,,
