date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NEMCL')","('high', 'NEMCL')","('low', 'NEMCL')","('close', 'NEMCL')","('adj_close', 'NEMCL')","('volume', 'NEMCL')","('currency', '')"
2024-03-26,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,178,,,,,,,,
2024-03-27,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-03-28,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-01,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-02,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-03,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-04,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-05,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-08,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-09,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-10,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-11,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-12,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-15,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-16,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-17,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-18,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-19,33.973899841308594,33.973899841308594,33.973899841308594,33.973899841308594,32.81083297729492,0,,,,,,,,
2024-04-22,37.0,37.0,37.0,37.0,35.73333740234375,618,,,,,,,,
2024-04-23,37.0,37.0,37.0,37.0,35.73333740234375,0,,,,,,,,
2024-04-24,37.0,37.0,37.0,37.0,35.73333740234375,0,,,,,,,,
2024-04-25,37.0,37.0,37.0,37.0,35.73333740234375,0,,,,,,,,
2024-04-26,37.0,37.0,37.0,37.0,35.73333740234375,0,,,,,,,,
2024-04-29,37.0,37.0,37.0,37.0,35.73333740234375,0,,,,,,,,
2024-04-30,37.0,37.0,37.0,37.0,35.73333740234375,0,,,,,,,,
