date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FNMAN')","('high', 'FNMAN')","('low', 'FNMAN')","('close', 'FNMAN')","('adj_close', 'FNMAN')","('volume', 'FNMAN')","('currency', '')"
2020-01-02,19.149999618530273,19.75,19.149999618530273,19.75,19.75,1100,,,,,,,,
2020-01-03,20.0,20.0,19.5,20.0,20.0,2600,,,,,,,,
2020-01-06,19.549999237060547,19.549999237060547,19.489999771118164,19.5,19.5,2400,,,,,,,,
2020-01-07,19.75,19.75,19.5,19.600000381469727,19.600000381469727,1500,,,,,,,,
2020-01-08,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,600,,,,,,,,
2020-01-09,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,200,,,,,,,,
2020-01-10,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,19.950000762939453,0,,,,,,,,
2020-01-13,19.450000762939453,19.450000762939453,19.0,19.0,19.0,500,,,,,,,,
2020-01-14,19.75,19.75,19.5,19.5,19.5,700,,,,,,,,
2020-01-15,19.5,19.5,19.5,19.5,19.5,0,,,,,,,,
2020-01-16,19.25,19.25,19.25,19.25,19.25,300,,,,,,,,
2020-01-17,19.5,19.600000381469727,19.399999618530273,19.600000381469727,19.600000381469727,7600,,,,,,,,
2020-01-21,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,19.100000381469727,200,,,,,,,,
2020-01-22,19.3799991607666,19.549999237060547,19.200000762939453,19.5,19.5,2900,,,,,,,,
2020-01-23,19.350000381469727,19.350000381469727,19.0,19.0,19.0,2800,,,,,,,,
2020-01-24,19.350000381469727,19.350000381469727,19.149999618530273,19.149999618530273,19.149999618530273,1300,,,,,,,,
2020-01-27,18.899999618530273,19.0,18.829999923706055,18.829999923706055,18.829999923706055,100400,,,,,,,,
2020-01-28,19.0,19.0,18.530000686645508,18.530000686645508,18.530000686645508,50200,,,,,,,,
