date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'IMDA.PA')","('high', 'IMDA.PA')","('low', 'IMDA.PA')","('close', 'IMDA.PA')","('adj_close', 'IMDA.PA')","('volume', 'IMDA.PA')","('currency', '')"
2020-01-02,70.0,70.0,70.0,70.0,58.37782287597656,497,,,,,,,,
2020-01-03,69.0,69.0,68.5,68.5,57.12686538696289,75,,,,,,,,
2020-01-06,69.5,70.0,69.0,70.0,58.37782287597656,333,,,,,,,,
2020-01-07,70.0,70.0,68.5,70.0,58.37782287597656,224,,,,,,,,
2020-01-08,69.5,69.5,68.5,69.0,57.54384994506836,175,,,,,,,,
2020-01-09,69.0,70.0,68.5,68.5,57.12686538696289,222,,,,,,,,
2020-01-10,69.0,69.0,68.5,68.5,57.12686538696289,637,,,,,,,,
2020-01-13,68.5,69.5,68.5,69.5,57.96083068847656,116,,,,,,,,
2020-01-14,70.0,70.0,69.0,69.0,57.54384994506836,102,,,,,,,,
2020-01-15,69.5,69.5,69.0,69.0,57.54384994506836,140,,,,,,,,
2020-01-16,69.0,74.5,69.0,73.5,61.296714782714844,596,,,,,,,,
2020-01-17,73.5,73.5,71.5,73.0,60.879722595214844,280,,,,,,,,
2020-01-20,72.0,74.0,72.0,74.0,61.71369552612305,1173,,,,,,,,
2020-01-21,74.0,81.0,74.0,76.0,63.381622314453125,1270,,,,,,,,
2020-01-22,77.0,78.5,75.0,78.0,65.04957580566406,740,,,,,,,,
2020-01-23,78.0,78.0,75.0,77.5,64.63257598876953,871,,,,,,,,
2020-01-24,77.0,78.0,75.0,77.0,64.2155990600586,1226,,,,,,,,
2020-01-27,76.0,79.0,76.0,77.5,64.63257598876953,361,,,,,,,,
2020-01-28,77.5,79.0,76.5,78.5,65.466552734375,1014,,,,,,,,
2020-01-29,78.5,78.5,77.5,78.0,65.04957580566406,69,,,,,,,,
2020-01-30,77.0,77.0,76.0,77.0,64.2155990600586,870,,,,,,,,
2020-01-31,77.0,79.0,77.0,78.0,65.04957580566406,260,,,,,,,,
2020-02-03,78.0,78.0,75.5,78.0,65.04957580566406,451,,,,,,,,
2020-02-04,78.0,78.0,76.5,78.0,65.04957580566406,107,,,,,,,,
2020-02-05,76.5,78.0,76.5,78.0,65.04957580566406,23,,,,,,,,
2020-02-06,78.0,79.0,78.0,78.5,65.466552734375,227,,,,,,,,
2020-02-07,79.0,82.5,79.0,81.5,67.96846008300781,1503,,,,,,,,
2020-02-10,81.5,86.5,81.5,83.5,69.63639831542969,3208,,,,,,,,
2020-02-11,83.5,87.5,83.0,85.5,71.30433654785156,1925,,,,,,,,
2020-02-12,85.5,85.5,82.5,84.5,70.4703598022461,570,,,,,,,,
2020-02-13,85.0,87.0,84.0,86.5,72.1383056640625,348,,,,,,,,
2020-02-14,87.0,87.5,84.5,87.0,72.55529022216797,297,,,,,,,,
2020-02-17,88.0,92.0,88.0,89.5,74.64020538330078,565,,,,,,,,
2020-02-18,91.0,92.0,90.0,91.0,75.89115905761719,521,,,,,,,,
2020-02-19,97.0,99.5,91.0,92.5,77.14212036132812,928,,,,,,,,
2020-02-20,96.5,96.5,91.5,96.0,80.06100463867188,516,,,,,,,,
